,why,might,a,physician,diagnose,a,large,number,of,conditions,?
otherwise,0.3565461039543152,0.5313209295272827,0.3438074290752411,0.1082579493522644,0.20767436921596527,0.3438074290752411,0.257167786359787,0.2603582739830017,0.2133692502975464,0.3537083566188812,0.29367905855178833
",",0.2827242314815521,0.2533247768878937,0.427140474319458,0.22756336629390717,0.2236541509628296,0.427140474319458,0.2263888567686081,0.2535701394081116,0.4946078956127167,0.17239321768283844,0.31091248989105225
the,0.30742117762565613,0.32504433393478394,0.5829201340675354,0.1636791080236435,0.2564682364463806,0.5829201340675354,0.3828733265399933,0.35145696997642517,0.733189046382904,0.2622014284133911,0.22068053483963013
physician,0.14366216957569122,0.17903919517993927,0.19198645651340485,1.0,0.3211536407470703,0.19198645651340485,0.06890290230512619,0.06648799777030945,0.1483788639307022,0.18792171776294708,0.1271199882030487
has,0.24175488948822021,0.32525649666786194,0.4670248031616211,0.11307813972234726,0.2317076027393341,0.4670248031616211,0.2609269917011261,0.31251442432403564,0.3909035325050354,0.15830765664577484,0.15994466841220856
a,0.2667238116264343,0.4210625886917114,1.0,0.19198645651340485,0.29609590768814087,1.0,0.3740714490413666,0.2992287278175354,0.5052502155303955,0.24847128987312317,0.23916715383529663
financial,0.16600318253040314,0.22219818830490112,0.2513774335384369,0.17126721143722534,0.24174624681472778,0.2513774335384369,0.23103466629981995,0.19385433197021484,0.30178552865982056,0.2499832957983017,0.06444920599460602
self-interest,0.31399208307266235,0.3103272616863251,0.27884796261787415,0.1896432787179947,0.12114722281694412,0.27884796261787415,0.14101271331310272,0.19557476043701172,0.21212652325630188,0.1569402664899826,0.2922072410583496
in,0.23227278888225555,0.26443570852279663,0.539380669593811,0.18979662656784058,0.24038934707641602,0.539380669593811,0.2841601073741913,0.3024539053440094,0.5696388483047485,0.2580132484436035,0.20430970191955566
``,0.05334433168172836,0.10682063549757004,0.07272057235240936,0.10022334009408951,0.12110385298728943,0.07272057235240936,0.06815113872289658,0.2640403211116791,0.06780257821083069,0.051184263080358505,0.0685480609536171
diagnosing,0.30215898156166077,0.32563236355781555,0.2820458710193634,0.30173566937446594,0.9089803099632263,0.2820458710193634,0.16463157534599304,0.2601102292537689,0.2752178907394409,0.3970060348510742,0.2675415575504303
'',-0.038651224225759506,0.07446564733982086,0.04890415817499161,-0.023116396740078926,0.0652855932712555,0.04890415817499161,0.07099534571170807,-0.07258276641368866,0.13035868108272552,-0.01879417710006237,0.018684765323996544
as,0.3103298544883728,0.3630484640598297,0.39550232887268066,0.18351462483406067,0.2243005335330963,0.39550232887268066,0.24282054603099823,0.26786008477211,0.3886612355709076,0.23607788980007172,0.27043893933296204
many,0.38531482219696045,0.40663015842437744,0.2872205972671509,0.15671959519386292,0.24907594919204712,0.2872205972671509,0.42789679765701294,0.41408368945121765,0.37253960967063904,0.3021313548088074,0.2124512493610382
conditions,0.2226572334766388,0.3326473534107208,0.24847128987312317,0.18792171776294708,0.39306139945983887,0.24847128987312317,0.20556579530239105,0.2373315691947937,0.2074868083000183,1.0,0.17021824419498444
as,0.3103298544883728,0.3630484640598297,0.39550232887268066,0.18351462483406067,0.2243005335330963,0.39550232887268066,0.24282054603099823,0.26786008477211,0.3886612355709076,0.23607788980007172,0.27043893933296204
possible,0.39430081844329834,0.48653697967529297,0.3421713411808014,0.12801417708396912,0.27116164565086365,0.3421713411808014,0.23027294874191284,0.3035445809364319,0.3314395844936371,0.36877524852752686,0.3059970438480377
",",0.2827242314815521,0.2533247768878937,0.427140474319458,0.22756336629390717,0.2236541509628296,0.427140474319458,0.2263888567686081,0.2535701394081116,0.4946078956127167,0.17239321768283844,0.31091248989105225
and,0.27806392312049866,0.31685465574264526,0.3739250600337982,0.16894976794719696,0.21647140383720398,0.3739250600337982,0.3404269814491272,0.28545793890953064,0.5116966962814331,0.252461701631546,0.20544172823429108
in,0.23227278888225555,0.26443570852279663,0.539380669593811,0.18979662656784058,0.24038934707641602,0.539380669593811,0.2841601073741913,0.3024539053440094,0.5696388483047485,0.2580132484436035,0.20430970191955566
exaggerating,0.34115538001060486,0.41132819652557373,0.28906112909317017,0.1617768108844757,0.3653995394706726,0.28906112909317017,0.25112584233283997,0.22864912450313568,0.2639245390892029,0.2818407118320465,0.2908308804035187
their,0.2619993984699249,0.3404811918735504,0.29698723554611206,0.10584181547164917,0.24818743765354156,0.29698723554611206,0.2902883291244507,0.26465821266174316,0.4329940676689148,0.2503899037837982,0.1898253709077835
seriousness,0.2623680830001831,0.3562251329421997,0.24326811730861664,0.253607839345932,0.30630603432655334,0.24326811730861664,0.1819886714220047,0.19151198863983154,0.24680529534816742,0.3030009865760803,0.2175779640674591
",",0.2827242314815521,0.2533247768878937,0.427140474319458,0.22756336629390717,0.2236541509628296,0.427140474319458,0.2263888567686081,0.2535701394081116,0.4946078956127167,0.17239321768283844,0.31091248989105225
because,0.5926418900489807,0.479086697101593,0.42230045795440674,0.11033879220485687,0.2415441870689392,0.42230045795440674,0.30616939067840576,0.26167333126068115,0.4075504541397095,0.3168095648288727,0.2528740465641022
he,0.26086166501045227,0.19044071435928345,0.4393508732318878,0.2208387702703476,0.24192361533641815,0.4393508732318878,0.22765910625457764,0.21133719384670258,0.38706058263778687,0.1553828865289688,0.2089974731206894
or,0.3391086459159851,0.534751296043396,0.48853766918182373,0.14814069867134094,0.261463463306427,0.48853766918182373,0.3501174747943878,0.28384777903556824,0.3792596757411957,0.36241093277931213,0.32389625906944275
she,0.22331202030181885,0.13826991617679596,0.3591071665287018,0.24173085391521454,0.29335713386535645,0.3591071665287018,0.1555691659450531,0.19843390583992004,0.28080645203590393,0.13630221784114838,0.14223381876945496
can,0.38329222798347473,0.6426551342010498,0.3915780484676361,0.10092807561159134,0.335703581571579,0.3915780484676361,0.30512937903404236,0.33886176347732544,0.2603091299533844,0.31035202741622925,0.3226337134838104
then,0.3774382174015045,0.32659319043159485,0.3970017731189728,0.0977882668375969,0.16721421480178833,0.3970017731189728,0.24922707676887512,0.2981860637664795,0.2937326431274414,0.18847830593585968,0.2884598970413208
sell,0.16303466260433197,0.26510775089263916,0.1961973011493683,0.07143466919660568,0.14380507171154022,0.1961973011493683,0.17588011920452118,0.20194877684116364,0.16354906558990479,0.1722068339586258,0.1556897759437561
more,0.3769288659095764,0.4014604389667511,0.3452818691730499,0.13194811344146729,0.2922735810279846,0.3452818691730499,0.30958428978919983,0.327032208442688,0.30478984117507935,0.3136771321296692,0.27894994616508484
medications,0.2556478679180145,0.36701634526252747,0.2712159752845764,0.3695383071899414,0.6185977458953857,0.2712159752845764,0.2190093696117401,0.21523228287696838,0.25834259390830994,0.4758725166320801,0.22114922106266022
to,0.4100138247013092,0.5153919458389282,0.45503583550453186,0.14378811419010162,0.3157602846622467,0.45503583550453186,0.3150999844074249,0.2706126868724823,0.41548454761505127,0.2756218910217285,0.29463258385658264
the,0.30742117762565613,0.32504433393478394,0.5829201340675354,0.1636791080236435,0.2564682364463806,0.5829201340675354,0.3828733265399933,0.35145696997642517,0.733189046382904,0.2622014284133911,0.22068053483963013
patient,0.21499547362327576,0.2917565107345581,0.2571181356906891,0.37089985609054565,0.5668928027153015,0.2571181356906891,0.11876261979341507,0.13224275410175323,0.1500403732061386,0.3110395073890686,0.24355199933052063
.,0.32909876108169556,0.27493223547935486,0.50484299659729,0.18716977536678314,0.23115043342113495,0.50484299659729,0.2304532378911972,0.3256329298019409,0.5352458953857422,0.17719176411628723,0.4130953550338745
