,who,opened,the,new,parliament,building,on,october,9,",",2004,?
crow-stepped,0.33657902479171753,0.2969307601451874,0.3305864930152893,0.25920847058296204,0.24820998311042786,0.3096267282962799,0.298391729593277,0.2512089014053345,-0.0224774070084095,0.3247327506542206,-0.06473112106323242,0.19811218976974487
gables,0.17971456050872803,0.20727893710136414,0.2467966228723526,0.19330909848213196,0.18169595301151276,0.2487630546092987,0.29414883255958557,0.21803584694862366,0.0083621209487319,0.34400856494903564,-0.05864562839269638,0.09798520803451538
and,0.41279885172843933,0.22545495629310608,0.5171257257461548,0.31402453780174255,0.26227831840515137,0.2593274712562561,0.4077630043029785,0.2883152663707733,-0.07761130481958389,0.6633074283599854,-0.1820128858089447,0.20544172823429108
the,0.3733934462070465,0.28544309735298157,1.0,0.3845241069793701,0.26521381735801697,0.3159640431404114,0.5107308030128479,0.2621108889579773,0.023652536794543266,0.4933079481124878,-0.2467794269323349,0.22068053483963013
upturned,0.2014794498682022,0.24926075339317322,0.42034292221069336,0.1953744739294052,0.21997851133346558,0.1829625815153122,0.3542921245098114,0.14852634072303772,-0.020902467891573906,0.32642385363578796,-0.20865195989608765,0.19134968519210815
boat,0.22659839689731598,0.18581801652908325,0.2424127608537674,0.11954476684331894,0.16951413452625275,0.1842411607503891,0.22551585733890533,0.11953649669885635,-0.07367699593305588,0.21446914970874786,-0.19500049948692322,0.1711711287498474
skylights,0.1461515575647354,0.2593708336353302,0.25170016288757324,0.1786077320575714,0.18488167226314545,0.31947484612464905,0.26674410700798035,0.14305242896080017,0.020393943414092064,0.26157498359680176,-0.16545210778713226,0.15434342622756958
of,0.2827862501144409,0.16720551252365112,0.733189046382904,0.343457967042923,0.2885259687900543,0.26200541853904724,0.3966929316520691,0.20846129953861237,0.01387986820191145,0.4946078956127167,-0.21980851888656616,0.1826142966747284
the,0.3733934462070465,0.28544309735298157,1.0,0.3845241069793701,0.26521381735801697,0.3159640431404114,0.5107308030128479,0.2621108889579773,0.023652536794543266,0.4933079481124878,-0.2467794269323349,0.22068053483963013
garden,0.20798394083976746,0.2810719609260559,0.23359008133411407,0.22931212186813354,0.1454097330570221,0.2359945923089981,0.18135347962379456,0.1745651364326477,-0.040594011545181274,0.2712799608707428,-0.12238910794258118,0.16720405220985413
lobby,0.28304094076156616,0.19613899290561676,0.2575444281101227,0.18095743656158447,0.3544248044490814,0.34485650062561035,0.24443255364894867,0.09180040657520294,0.019067376852035522,0.20420397818088531,-0.17633290588855743,0.12613822519779205
",",0.3365725874900818,0.24598844349384308,0.4933079481124878,0.36073189973831177,0.25442883372306824,0.2374238669872284,0.49057599902153015,0.4369233250617981,-0.04171276465058327,1.0000001192092896,-0.17696323990821838,0.31091248989105225
complete,0.16334585845470428,0.15663640201091766,0.277624249458313,0.26397082209587097,0.17176203429698944,0.2067669928073883,0.22802568972110748,0.1377183347940445,0.07549884170293808,0.23945219814777374,-0.14143308997154236,0.11962060630321503
the,0.3733934462070465,0.28544309735298157,1.0,0.3845241069793701,0.26521381735801697,0.3159640431404114,0.5107308030128479,0.2621108889579773,0.023652536794543266,0.4933079481124878,-0.2467794269323349,0.22068053483963013
unique,0.18227706849575043,0.16104048490524292,0.26165643334388733,0.2919061779975891,0.17137782275676727,0.17565858364105225,0.17812061309814453,0.042139243334531784,0.030260594561696053,0.2386896163225174,-0.17809666693210602,0.17680858075618744
architecture,0.12630945444107056,0.21378614008426666,0.24488379061222076,0.1548197865486145,0.23772135376930237,0.4623510539531708,0.1650944948196411,0.17515522241592407,-0.006348622031509876,0.2120368629693985,-0.11535116285085678,0.14343059062957764
.,0.3541337847709656,0.26111578941345215,0.5934505462646484,0.35031336545944214,0.23747818171977997,0.275610089302063,0.49257001280784607,0.36217865347862244,-0.06234462931752205,0.6812511086463928,-0.23090453445911407,0.4130953550338745
