,people,behaving,with,civil,disobedience,that,is,not-violent,is,said,to,make,society,have,more,of,what,?
civil,0.24625034630298615,0.22391647100448608,0.13053880631923676,1.0,0.5442691445350647,0.16867391765117645,0.16941262781620026,0.2933919131755829,0.16941262781620026,0.18422499299049377,0.2019355595111847,0.13057351112365723,0.22966893017292023,0.16153892874717712,0.17124666273593903,0.24698495864868164,0.15091551840305328,0.1494513899087906
disobedients,0.33281001448631287,0.44726645946502686,0.2729675769805908,0.5063242316246033,0.8955491185188293,0.403700053691864,0.22793690860271454,0.48319530487060547,0.22793690860271454,0.3148580491542816,0.34340938925743103,0.3065727651119232,0.27387452125549316,0.30075547099113464,0.25965648889541626,0.32510921359062195,0.3241478204727173,0.18925230205059052
',0.19970586895942688,0.15781229734420776,0.2546919286251068,0.16727153956890106,0.20764939486980438,0.3494868278503418,0.5508411526679993,0.2073594033718109,0.5508411526679993,0.29683712124824524,0.34544456005096436,0.2516511380672455,0.12646715342998505,0.2580406367778778,0.20702357590198517,0.39136970043182373,0.3245812654495239,0.330942302942276
refraining,0.17962081730365753,0.3666936457157135,0.28631243109703064,0.24242471158504486,0.3729965388774872,0.3087036609649658,0.24138319492340088,0.23716320097446442,0.24138319492340088,0.24191585183143616,0.25406554341316223,0.3040447533130646,0.15439625084400177,0.27151724696159363,0.35897698998451233,0.230971559882164,0.3167164623737335,0.2907414734363556
from,0.30292633175849915,0.16813354194164276,0.26272761821746826,0.11420916765928268,0.1641564965248108,0.3477667272090912,0.27355384826660156,0.25406286120414734,0.27355384826660156,0.23566637933254242,0.4069952368736267,0.24641869962215424,0.18421071767807007,0.30702701210975647,0.2529715299606323,0.4249346852302551,0.2737620174884796,0.19969791173934937
violence,0.2949585020542145,0.2678626775741577,0.15887562930583954,0.2751532793045044,0.5268648862838745,0.2665633261203766,0.17799268662929535,0.6896244287490845,0.17799268662929535,0.2544821798801422,0.20034150779247284,0.1820952594280243,0.2477312982082367,0.20082411170005798,0.22072415053844452,0.21331627666950226,0.24788525700569153,0.20634515583515167
is,0.34254953265190125,0.22759485244750977,0.3250955045223236,0.16941262781620026,0.21453623473644257,0.3995479643344879,1.0,0.23850712180137634,1.0,0.2595660388469696,0.42745086550712585,0.3331545889377594,0.15995073318481445,0.3613572418689728,0.2946030795574188,0.4854315221309662,0.28837618231773376,0.22961433231830597
also,0.34775957465171814,0.3005135655403137,0.44397303462028503,0.22241419553756714,0.30266615748405457,0.6005857586860657,0.5012649297714233,0.33795228600502014,0.5012649297714233,0.40141957998275757,0.5348826050758362,0.45424434542655945,0.2379170060157776,0.5252172946929932,0.40204599499702454,0.4924938678741455,0.42747777700424194,0.21848613023757935
said,0.2570343613624573,0.25285160541534424,0.28060880303382874,0.18422499299049377,0.32107311487197876,0.5459781289100647,0.2595660388469696,0.2715075612068176,0.2595660388469696,1.0000001192092896,0.34274402260780334,0.31795334815979004,0.18242183327674866,0.3617204427719116,0.2598523497581482,0.29014745354652405,0.3951668441295624,0.28991883993148804
to,0.37275731563568115,0.3315027058124542,0.4239959120750427,0.2019355595111847,0.30665844678878784,0.5436353087425232,0.42745086550712585,0.24772527813911438,0.42745086550712585,0.34274402260780334,1.0,0.497876912355423,0.20199917256832123,0.4544740617275238,0.47084665298461914,0.41548454761505127,0.455847829580307,0.29463258385658264
