,what,may,also,be,required,of,teachers,",",in,some,areas,?
in,0.30808621644973755,0.3424151837825775,0.5073733329772949,0.3481820821762085,0.20162324607372284,0.5696388483047485,0.2128150761127472,0.5201468467712402,1.0,0.4010399878025055,0.33029478788375854,0.20430970191955566
most,0.3219912350177765,0.21794430911540985,0.5312551259994507,0.3381733000278473,0.24453169107437134,0.4178851246833801,0.23214590549468994,0.3636029064655304,0.41416558623313904,0.6355911493301392,0.32060956954956055,0.2107497900724411
provinces,0.20201168954372406,0.18692979216575623,0.18323910236358643,0.15164786577224731,0.14661583304405212,0.2959076762199402,0.20870353281497955,0.23710061609745026,0.21957094967365265,0.1783476173877716,0.3336004316806793,0.10239427536725998
a,0.3320399522781372,0.29255667328834534,0.5149940252304077,0.39883795380592346,0.2891559302806854,0.5052502155303955,0.2509842813014984,0.427140474319458,0.539380669593811,0.34539633989334106,0.24730755388736725,0.23916715383529663
second,0.19948028028011322,0.18801350891590118,0.3509063720703125,0.22983969748020172,0.18817909061908722,0.353416383266449,0.1370897889137268,0.29927265644073486,0.34510284662246704,0.17522670328617096,0.16952203214168549,0.17239587008953094
bachelor,0.19332286715507507,0.1545906960964203,0.23078395426273346,0.14262454211711884,0.22442255914211273,0.162046417593956,0.3475145995616913,0.23690266907215118,0.2620902359485626,0.1825086623430252,0.16374175250530243,0.07728833705186844
's,0.02692362666130066,-0.07006479054689407,-0.0014726108638569713,0.025217169895768166,0.010141395032405853,-0.03817026689648628,0.044750411063432693,-0.0016132977325469255,-0.037580832839012146,0.056411296129226685,0.03540606424212456,-0.023395681753754616
degree,0.21753965318202972,0.13779017329216003,0.22983203828334808,0.17036838829517365,0.24687190353870392,0.22760991752147675,0.33347171545028687,0.1912073791027069,0.28089648485183716,0.23050886392593384,0.1992330253124237,0.1060895025730133
such,0.23989605903625488,0.327393501996994,0.4748345613479614,0.5239806771278381,0.26925382018089294,0.3209529519081116,0.21735963225364685,0.39626169204711914,0.2704046070575714,0.6118295192718506,0.314820796251297,0.17851735651493073
as,0.31749409437179565,0.32133710384368896,0.5774298906326294,0.5230465531349182,0.23791028559207916,0.3886612355709076,0.24171572923660278,0.48816442489624023,0.3887844979763031,0.4293700158596039,0.24697712063789368,0.27043893933296204
a,0.3320399522781372,0.29255667328834534,0.5149940252304077,0.39883795380592346,0.2891559302806854,0.5052502155303955,0.2509842813014984,0.427140474319458,0.539380669593811,0.34539633989334106,0.24730755388736725,0.23916715383529663
bachelor,0.19332286715507507,0.1545906960964203,0.23078395426273346,0.14262454211711884,0.22442255914211273,0.162046417593956,0.3475145995616913,0.23690266907215118,0.2620902359485626,0.1825086623430252,0.16374175250530243,0.07728833705186844
of,0.33290785551071167,0.26447007060050964,0.4924938678741455,0.33904364705085754,0.26183071732521057,1.0,0.27737662196159363,0.4946078956127167,0.5696388483047485,0.4300730526447296,0.2803763747215271,0.1826142966747284
education,0.19940856099128723,0.15223878622055054,0.23276391625404358,0.19451211392879486,0.2273806780576706,0.3015166223049164,0.5322820544242859,0.2718683183193207,0.2654339671134949,0.17574875056743622,0.23415730893611908,0.18067774176597595
is,0.28837618231773376,0.322792649269104,0.5012649297714233,0.4819129705429077,0.21426478028297424,0.4854315221309662,0.15701442956924438,0.4691906273365021,0.5394441485404968,0.3038453459739685,0.28282591700553894,0.22961433231830597
required,0.2506856620311737,0.24076144397258759,0.2510998845100403,0.3677930235862732,1.0000001192092896,0.26183071732521057,0.2004682421684265,0.22653338313102722,0.20162324607372284,0.32315412163734436,0.2448405623435974,0.24962718784809113
to,0.455847829580307,0.391582727432251,0.5348826050758362,0.4972836375236511,0.3613971471786499,0.41548454761505127,0.2668606638908386,0.44245919585227966,0.45010748505592346,0.4636894166469574,0.29808273911476135,0.29463258385658264
become,0.27134042978286743,0.20094400644302368,0.3522845208644867,0.4037199020385742,0.16337065398693085,0.31678006052970886,0.228617861866951,0.29676204919815063,0.23238378763198853,0.3464999496936798,0.23402047157287598,0.19511328637599945
a,0.3320399522781372,0.29255667328834534,0.5149940252304077,0.39883795380592346,0.2891559302806854,0.5052502155303955,0.2509842813014984,0.427140474319458,0.539380669593811,0.34539633989334106,0.24730755388736725,0.23916715383529663
qualified,0.19747373461723328,0.2340737134218216,0.21835914254188538,0.214191272854805,0.3135068416595459,0.1594466269016266,0.26602065563201904,0.2805010974407196,0.21319082379341125,0.21735481917858124,0.17273953557014465,0.1370558738708496
teacher,0.20492632687091827,0.15417979657649994,0.23410376906394958,0.1891087293624878,0.1378142237663269,0.19968076050281525,0.7334206104278564,0.2884024977684021,0.22632350027561188,0.1678750216960907,0.14911551773548126,0.1797819435596466
.,0.3567904531955719,0.35826805233955383,0.49166762828826904,0.4383580684661865,0.2724599838256836,0.5352458953857422,0.24628326296806335,0.6812511086463928,0.5591574311256409,0.40663889050483704,0.23760369420051575,0.4130953550338745
