,how,many,square,miles,large,was,the,region,impacted,by,the,2010,drought,?
the,0.33890387415885925,0.4335206151008606,0.2809545397758484,0.25706055760383606,0.3828733265399933,0.48711544275283813,1.0,0.35020557045936584,0.2348020076751709,0.4408751428127289,1.0,0.31722962856292725,0.33421388268470764,0.22068053483963013
affected,0.3436889946460724,0.3368847966194153,0.09634324163198471,0.1337279975414276,0.28759247064590454,0.20290926098823547,0.32402780652046204,0.24532315135002136,0.538480818271637,0.289350301027298,0.32402780652046204,0.1892339438199997,0.4405706524848938,0.21614891290664673
region,0.15155482292175293,0.17234529554843903,0.1688937395811081,0.21494553983211517,0.276833713054657,0.19296804070472717,0.35020557045936584,1.0,0.22224721312522888,0.15175513923168182,0.35020557045936584,0.23918043076992035,0.25285619497299194,0.13441751897335052
was,0.16678167879581451,0.260356068611145,0.17827357351779938,0.1818082183599472,0.21717436611652374,1.0000001192092896,0.48711544275283813,0.19296804070472717,0.27704545855522156,0.4752357602119446,0.48711544275283813,0.23825319111347198,0.22419406473636627,0.18412111699581146
approximate,0.17572124302387238,0.17567329108715057,0.2886382043361664,0.3105061948299408,0.24915283918380737,0.16364194452762604,0.24583132565021515,0.17071416974067688,0.12059979140758514,0.18803852796554565,0.24583132565021515,0.09595832228660583,0.10510897636413574,0.16609327495098114
"1,160,000",-0.11359699815511703,-0.17534834146499634,-0.08368489891290665,-0.013080604374408722,-0.1823405921459198,0.11331382393836975,0.028366228565573692,0.09328468888998032,-0.13817405700683594,0.03356987610459328,0.028366228565573692,0.1667192429304123,-0.18314620852470398,0.03633289039134979
square,0.0836852416396141,0.2124457061290741,1.0,0.45552563667297363,0.2875150740146637,0.17827357351779938,0.2809545397758484,0.1688937395811081,0.16110561788082123,0.20503279566764832,0.2809545397758484,0.11952751874923706,0.11732680350542068,0.1201515942811966
miles,0.13798850774765015,0.12950319051742554,0.45552563667297363,1.0000001192092896,0.1880512535572052,0.1818082183599472,0.25706055760383606,0.21494553983211517,0.3083874583244324,0.19836436212062836,0.25706055760383606,0.15565940737724304,0.19555118680000305,0.09363767504692078
(,0.1676948219537735,0.1455259770154953,0.16847030818462372,0.17103469371795654,0.1259251832962036,0.2980341613292694,0.33289089798927307,0.1544569879770279,0.19812548160552979,0.20696312189102173,0.33289089798927307,0.08905135095119476,0.15684910118579865,0.40561532974243164
"3,000,000",0.0015926837222650647,-0.010240063071250916,0.20988604426383972,0.1185157299041748,-0.0011313332943245769,0.2387695461511612,0.24885405600070953,0.08072926104068756,-0.023077186197042465,0.12135472148656845,0.24885405600070953,0.04258840158581734,-0.036172639578580856,-0.036482859402894974
km2,0.22562161087989807,0.18448369204998016,0.321200430393219,0.5521893501281738,0.2516777813434601,0.1547725945711136,0.2664898931980133,0.31027865409851074,0.30971014499664307,0.19811156392097473,0.2664898931980133,0.16429908573627472,0.2128446251153946,0.20544767379760742
),0.17939934134483337,0.16602720320224762,0.1760134994983673,0.203369602560997,0.12569274008274078,0.3267642855644226,0.3456730246543884,0.1620774269104004,0.18384158611297607,0.2151763141155243,0.3456730246543884,0.09984386712312698,0.13511866331100464,0.42300865054130554
of,0.2480744868516922,0.37253960967063904,0.2585134208202362,0.2263605147600174,0.3569655418395996,0.4069072902202606,0.733189046382904,0.2852717339992523,0.2348475158214569,0.3646814823150635,0.733189046382904,0.26419875025749207,0.26836544275283813,0.1826142966747284
rainforest,0.15943723917007446,0.30444011092185974,0.23421312868595123,0.26837971806526184,0.23300468921661377,0.13883572816848755,0.2571161389350891,0.25668972730636597,0.2720150351524353,0.16387821733951569,0.2571161389350891,0.19763165712356567,0.44729626178741455,0.1917492002248764
",",0.22659391164779663,0.40610817074775696,0.2723195254802704,0.29495540261268616,0.2263888567686081,0.45456063747406006,0.4933079481124878,0.2119160145521164,0.27414676547050476,0.3680937886238098,0.4933079481124878,0.24006164073944092,0.2273346185684204,0.31091248989105225
compared,0.2966770529747009,0.3869759738445282,0.08247683942317963,0.11312040686607361,0.3351972699165344,0.22795094549655914,0.28685078024864197,0.14870038628578186,0.2985725998878479,0.2387654036283493,0.28685078024864197,0.1578592211008072,0.20361608266830444,0.21399109065532684
