,residential,construction,practices,",",technologies,",",and,resources,must,conform,to,what,?
residential,0.9999998807907104,0.33850225806236267,0.245087668299675,0.21989741921424866,0.27032381296157837,0.21989741921424866,0.3452662229537964,0.24395626783370972,0.1820039600133896,0.25612813234329224,0.20668092370033264,0.09814727306365967,0.08603290468454361
construction,0.33850225806236267,1.0,0.2340427190065384,0.23704268038272858,0.3247302174568176,0.23704268038272858,0.22762417793273926,0.2788107693195343,0.11125131696462631,0.21071748435497284,0.24810278415679932,0.20329850912094116,0.13494056463241577
practices,0.245087668299675,0.2340427190065384,1.0,0.25552815198898315,0.2941945493221283,0.25552815198898315,0.2842017412185669,0.34686732292175293,0.27804267406463623,0.33935222029685974,0.28297853469848633,0.30286267399787903,0.18974241614341736
",",0.21989741921424866,0.23704268038272858,0.25552815198898315,1.0000001192092896,0.2701035439968109,1.0000001192092896,0.6633074283599854,0.2789028584957123,0.2231246829032898,0.2339903563261032,0.44245919585227966,0.3087472915649414,0.31091248989105225
technologies,0.27032381296157837,0.3247302174568176,0.2941945493221283,0.2701035439968109,1.0000001192092896,0.2701035439968109,0.23279522359371185,0.45366567373275757,0.18735414743423462,0.21567262709140778,0.2781873047351837,0.1962265968322754,0.1638062298297882
",",0.21989741921424866,0.23704268038272858,0.25552815198898315,1.0000001192092896,0.2701035439968109,1.0000001192092896,0.6633074283599854,0.2789028584957123,0.2231246829032898,0.2339903563261032,0.44245919585227966,0.3087472915649414,0.31091248989105225
and,0.3452662229537964,0.22762417793273926,0.2842017412185669,0.6633074283599854,0.23279522359371185,0.6633074283599854,1.0,0.3116118013858795,0.33253467082977295,0.28835994005203247,0.48971283435821533,0.31309178471565247,0.20544172823429108
resources,0.24395626783370972,0.2788107693195343,0.34686732292175293,0.2789028584957123,0.45366567373275757,0.2789028584957123,0.3116118013858795,1.0000001192092896,0.23171590268611908,0.2815621495246887,0.3263809382915497,0.24701403081417084,0.26047492027282715
must,0.1820039600133896,0.11125131696462631,0.27804267406463623,0.2231246829032898,0.18735414743423462,0.2231246829032898,0.33253467082977295,0.23171590268611908,1.0,0.3484540581703186,0.43356871604919434,0.30362528562545776,0.23707495629787445
conform,0.25612813234329224,0.21071748435497284,0.33935222029685974,0.2339903563261032,0.21567262709140778,0.2339903563261032,0.28835994005203247,0.2815621495246887,0.3484540581703186,1.0,0.3866899013519287,0.3150136172771454,0.24211841821670532
to,0.20668092370033264,0.24810278415679932,0.28297853469848633,0.44245919585227966,0.2781873047351837,0.44245919585227966,0.48971283435821533,0.3263809382915497,0.43356871604919434,0.3866899013519287,1.0,0.455847829580307,0.29463258385658264
local,0.215201735496521,0.1434377133846283,0.1684718281030655,0.20673875510692596,0.08002861589193344,0.20673875510692596,0.2468787580728531,0.15229357779026031,0.18212547898292542,0.2400999367237091,0.2207600325345993,0.18981902301311493,0.15022775530815125
building,0.36065441370010376,0.5609999895095825,0.1989089399576187,0.2374238669872284,0.22333353757858276,0.2374238669872284,0.2593274712562561,0.21781755983829498,0.16345065832138062,0.15140560269355774,0.2658686637878418,0.23529528081417084,0.13549931347370148
authority,0.27377456426620483,0.19971297681331635,0.3050972521305084,0.22133024036884308,0.20409062504768372,0.22133024036884308,0.22905389964580536,0.30365660786628723,0.24763083457946777,0.3650757074356079,0.2155669927597046,0.23046736419200897,0.18404170870780945
regulations,0.20877867937088013,0.3426515460014343,0.43023407459259033,0.24835379421710968,0.3479469120502472,0.24835379421710968,0.29460906982421875,0.35357990860939026,0.2661283314228058,0.3667925298213959,0.2838025987148285,0.21871556341648102,0.17806588113307953
and,0.3452662229537964,0.22762417793273926,0.2842017412185669,0.6633074283599854,0.23279522359371185,0.6633074283599854,1.0,0.3116118013858795,0.33253467082977295,0.28835994005203247,0.48971283435821533,0.31309178471565247,0.20544172823429108
codes,0.19880333542823792,0.2217719554901123,0.2223377227783203,0.2278735190629959,0.27833864092826843,0.2278735190629959,0.23982839286327362,0.23643358051776886,0.2199721485376358,0.3646889328956604,0.223367840051651,0.15951980650424957,0.16803960502147675
of,0.2898116707801819,0.2815735340118408,0.25354546308517456,0.4946078956127167,0.20219539105892181,0.4946078956127167,0.5116966962814331,0.2746381163597107,0.24322323501110077,0.3114124834537506,0.41548454761505127,0.33290785551071167,0.1826142966747284
practice,0.22840481996536255,0.23244798183441162,0.8208321928977966,0.2838936448097229,0.17988619208335876,0.2838936448097229,0.2791718542575836,0.282795786857605,0.2852766215801239,0.30885404348373413,0.289366751909256,0.2749895751476288,0.21386858820915222
.,0.2399243861436844,0.23682771623134613,0.20493070781230927,0.6812511086463928,0.20465774834156036,0.6812511086463928,0.588965117931366,0.2478848099708557,0.27722811698913574,0.2717445194721222,0.4645031690597534,0.3567904531955719,0.4130953550338745
