,in,what,year,was,the,charter,granted,for,harvard,corporation,?
the,0.6662389636039734,0.42745697498321533,0.3609684407711029,0.48711544275283813,1.0,0.26436546444892883,0.27588096261024475,0.4739971458911896,0.24496200680732727,0.26837587356567383,0.22068053483963013
charter,0.20881880819797516,0.13714581727981567,0.24134770035743713,0.23359626531600952,0.26436546444892883,1.0000001192092896,0.43319937586784363,0.2007191777229309,0.23860929906368256,0.320706307888031,0.14220231771469116
creating,0.20338892936706543,0.28780505061149597,0.14181025326251984,0.17785660922527313,0.286904513835907,0.18201905488967896,0.23285351693630219,0.3886813819408417,0.10117063671350479,0.19161339104175568,0.2842518985271454
the,0.6662389636039734,0.42745697498321533,0.3609684407711029,0.48711544275283813,1.0,0.26436546444892883,0.27588096261024475,0.4739971458911896,0.24496200680732727,0.26837587356567383,0.22068053483963013
harvard,0.26072487235069275,0.2177114188671112,0.12264450639486313,0.2415156066417694,0.24496200680732727,0.23860929906368256,0.06296128779649734,0.14800849556922913,1.0,0.20924554765224457,0.11685016006231308
corporation,0.16382643580436707,0.1715448498725891,0.14837299287319183,0.2535845935344696,0.26837587356567383,0.320706307888031,0.2362479567527771,0.24735866487026215,0.20924554765224457,1.0000001192092896,0.13731837272644043
was,0.45514053106307983,0.22111038863658905,0.3209837079048157,1.0000001192092896,0.48711544275283813,0.23359626531600952,0.213484525680542,0.3863949179649353,0.2415156066417694,0.2535845935344696,0.18412111699581146
granted,0.21880222856998444,0.2214755117893219,0.19557014107704163,0.213484525680542,0.27588096261024475,0.43319937586784363,1.0000001192092896,0.2961326837539673,0.06296128779649734,0.2362479567527771,0.22870221734046936
in,1.0,0.30808621644973755,0.3359307050704956,0.45514053106307983,0.6662389636039734,0.20881880819797516,0.21880222856998444,0.4322226941585541,0.26072487235069275,0.16382643580436707,0.20430970191955566
1650,0.14294439554214478,0.09350967407226562,0.14171470701694489,0.13947506248950958,0.08536592125892639,0.13084900379180908,0.16537940502166748,0.12149135768413544,0.22340986132621765,0.10956080257892609,0.1653914600610733
.,0.5591574311256409,0.3567904531955719,0.32538118958473206,0.40146201848983765,0.5934505462646484,0.17250345647335052,0.23590165376663208,0.4726039469242096,0.254516065120697,0.21741247177124023,0.4130953550338745
