,what,do,the,former,midlothian,county,buildings,face,?
the,0.42745697498321533,0.30239659547805786,1.0,0.2251449078321457,0.285175621509552,0.21715226769447327,0.25566717982292175,0.2601291239261627,0.22068053483963013
former,0.13598288595676422,0.11748439818620682,0.2251449078321457,1.0,0.24930907785892487,0.20206119120121002,0.15495318174362183,0.054177917540073395,0.10570605844259262
midlothian,0.1484738439321518,0.16427995264530182,0.285175621509552,0.24930907785892487,0.9999999403953552,0.33658263087272644,0.17910264432430267,0.17245988547801971,0.1218378022313118
county,0.16114220023155212,0.09545829147100449,0.21715226769447327,0.20206119120121002,0.33658263087272644,1.0,0.2245645523071289,0.0894027054309845,0.07680056244134903
buildings,0.17147983610630035,0.12130619585514069,0.25566717982292175,0.15495318174362183,0.17910264432430267,0.2245645523071289,1.0,0.12071087956428528,0.11192528158426285
facing,0.24964790046215057,0.1538630574941635,0.3941035270690918,0.14929801225662231,0.2070341408252716,0.1996486932039261,0.19763273000717163,0.49129512906074524,0.09210152924060822
parliament,0.21650300920009613,0.12404073029756546,0.26521381735801697,0.18833327293395996,0.310120552778244,0.22692018747329712,0.24943777918815613,0.13122160732746124,0.1586504578590393
square,0.12660330533981323,0.1229860708117485,0.2809545397758484,0.11574940383434296,0.14698830246925354,0.23851685225963593,0.30092841386795044,0.21438387036323547,0.1201515942811966
",",0.3087472915649414,0.3283645510673523,0.4933079481124878,0.2738454341888428,0.26023268699645996,0.26861095428466797,0.272444486618042,0.2059936672449112,0.31091248989105225
high,0.20466077327728271,0.15005089342594147,0.28034812211990356,0.13269129395484924,0.13573266565799713,0.16007284820079803,0.21258452534675598,0.12474539875984192,0.11137914657592773
street,0.14271703362464905,0.05603339523077011,0.20947860181331635,0.12709318101406097,0.2297232449054718,0.24153092503547668,0.32379141449928284,0.15130974352359772,0.07315441966056824
and,0.31309178471565247,0.276123583316803,0.5171257257461548,0.2516189515590668,0.26195403933525085,0.2045455276966095,0.3477250337600708,0.24315419793128967,0.20544172823429108
george,0.22000353038311005,0.10085618495941162,0.2510760426521301,0.23100890219211578,0.17149069905281067,0.1582127958536148,0.07082165032625198,0.07189533114433289,0.1479024887084961
iv,0.1177578791975975,0.13275954127311707,0.22478210926055908,0.11966893821954727,0.18322862684726715,0.08732738345861435,0.10015030205249786,0.098154716193676,0.16932271420955658
bridge,0.16739098727703094,0.0630105510354042,0.27692803740501404,0.10415758192539215,0.17360560595989227,0.2101220041513443,0.27880948781967163,0.1086357831954956,0.1396101862192154
in,0.30808621644973755,0.23402775824069977,0.6662389636039734,0.2668642997741699,0.25739943981170654,0.31363439559936523,0.3479180932044983,0.17266811430454254,0.20430970191955566
edinburgh,0.10800135135650635,0.0991506278514862,0.2266589254140854,0.13360360264778137,0.5025639533996582,0.20561279356479645,0.19686084985733032,0.09682342410087585,0.09266204386949539
(,0.2411840260028839,0.24216170608997345,0.33289089798927307,0.2858748733997345,0.2126220166683197,0.1641167849302292,0.16379432380199432,0.14767329394817352,0.40561532974243164
