,there,is,growing,interest,in,what,indigenous,group,in,the,amazon,?
meanwhile,0.1742328256368637,0.12701289355754852,0.1871381253004074,0.22836396098136902,0.18316087126731873,0.24885934591293335,0.15553899109363556,0.15016818046569824,0.18316087126731873,0.2615615129470825,0.17107561230659485,0.16201108694076538
",",0.4587128460407257,0.4691906273365021,0.2344273030757904,0.2741461396217346,0.5201468467712402,0.3087472915649414,0.20256207883358002,0.2809832692146301,0.5201468467712402,0.4933079481124878,0.2214922308921814,0.31091248989105225
the,0.47025805711746216,0.5823672413825989,0.33280637860298157,0.197127103805542,0.6662389636039734,0.42745697498321533,0.24885469675064087,0.30795547366142273,0.6662389636039734,1.0,0.260541707277298,0.22068053483963013
relationship,0.16667471826076508,0.22806847095489502,0.24548038840293884,0.34799638390541077,0.20233847200870514,0.24358563125133514,0.15471313893795013,0.20066513121128082,0.20233847200870514,0.21018025279045105,0.14752380549907684,0.11361731588840485
between,0.37209540605545044,0.26809602975845337,0.19811703264713287,0.24197827279567719,0.41100412607192993,0.2462156116962433,0.20565351843833923,0.22781062126159668,0.41100412607192993,0.39067012071609497,0.12149064987897873,0.12887074053287506
non-human,0.227760449051857,0.26165997982025146,0.1508553922176361,0.21741046011447906,0.25450780987739563,0.25379765033721924,0.32709458470344543,0.3046475648880005,0.25450780987739563,0.3160475492477417,0.16053324937820435,0.2629164159297943
primates,0.2543675899505615,0.26225176453590393,0.20713695883750916,0.20935872197151184,0.19309717416763306,0.24427421391010284,0.2141452133655548,0.26444917917251587,0.19309717416763306,0.24906249344348907,0.2332470715045929,0.17433509230613708
in,0.5361666083335876,0.5394441485404968,0.33161869645118713,0.27232617139816284,1.0,0.30808621644973755,0.19140906631946564,0.2304753065109253,1.0,0.6662389636039734,0.12227833271026611,0.20430970191955566
the,0.47025805711746216,0.5823672413825989,0.33280637860298157,0.197127103805542,0.6662389636039734,0.42745697498321533,0.24885469675064087,0.30795547366142273,0.6662389636039734,1.0,0.260541707277298,0.22068053483963013
subsistence,0.3162400722503662,0.243722066283226,0.3540903627872467,0.3331123888492584,0.27142032980918884,0.25011420249938965,0.24612408876419067,0.21247905492782593,0.27142032980918884,0.2609193027019501,0.26410073041915894,0.13591037690639496
and,0.4242868423461914,0.3859752118587494,0.3007805347442627,0.26105934381484985,0.4954058527946472,0.31309178471565247,0.2567821443080902,0.3510662019252777,0.4954058527946472,0.5171257257461548,0.23464977741241455,0.20544172823429108
symbolism,0.1865868866443634,0.23534630239009857,0.1963847130537033,0.18347199261188507,0.19021116197109222,0.24349315464496613,0.1955532431602478,0.18036693334579468,0.19021116197109222,0.26660382747650146,0.12845976650714874,0.1440187692642212
of,0.44397735595703125,0.4854315221309662,0.3095463812351227,0.2115241438150406,0.5696388483047485,0.33290785551071167,0.2675965428352356,0.25542253255844116,0.5696388483047485,0.733189046382904,0.20143137872219086,0.1826142966747284
indigenous,0.2375781238079071,0.1472627967596054,0.17258645594120026,0.16827768087387085,0.19140906631946564,0.19103914499282837,1.0,0.25942838191986084,0.19140906631946564,0.24885469675064087,0.3022803068161011,0.14450161159038544
lowland,0.24405764043331146,0.2310178130865097,0.25298747420310974,0.14425723254680634,0.21987305581569672,0.13359485566616058,0.314364492893219,0.1453428417444229,0.21987305581569672,0.23083484172821045,0.28689879179000854,0.11702325940132141
south,0.22120301425457,0.27680471539497375,0.21980924904346466,0.10913028568029404,0.33642083406448364,0.15388517081737518,0.2991349697113037,0.20942701399326324,0.33642083406448364,0.3129390776157379,0.23864558339118958,0.12336621433496475
american,0.1605825424194336,0.1853146106004715,0.1536049097776413,0.20636911690235138,0.22871561348438263,0.1909721940755844,0.21793654561042786,0.19752807915210724,0.22871561348438263,0.24562937021255493,0.15544374287128448,0.18877598643302917
peoples,0.2643774449825287,0.21010412275791168,0.11318160593509674,0.18712922930717468,0.2226382941007614,0.26138749718666077,0.5374720096588135,0.29561853408813477,0.2226382941007614,0.3388310670852661,0.22153738141059875,0.2085462063550949
has,0.42909398674964905,0.5668748617172241,0.2893432378768921,0.23859544098377228,0.4173259735107422,0.20338068902492523,0.2230142503976822,0.1970849484205246,0.4173259735107422,0.4177538752555847,0.1779293268918991,0.15994466841220856
gained,0.13265593349933624,0.2201099395751953,0.24454110860824585,0.22447559237480164,0.2935055196285248,0.15457381308078766,0.22489628195762634,0.1293080598115921,0.2935055196285248,0.29543522000312805,0.14820462465286255,0.11261032521724701
increased,0.24919840693473816,0.1395888477563858,0.38849636912345886,0.3303491771221161,0.244624063372612,0.1599731743335724,0.22576192021369934,0.17435093224048615,0.244624063372612,0.3188653886318207,0.11138453334569931,0.09587585180997849
attention,0.2325713187456131,0.2123902142047882,0.17229405045509338,0.4217952489852905,0.2495301067829132,0.3020271062850952,0.19194841384887695,0.1480347067117691,0.2495301067829132,0.256243497133255,0.11114959418773651,0.19994445145130157
",",0.4587128460407257,0.4691906273365021,0.2344273030757904,0.2741461396217346,0.5201468467712402,0.3087472915649414,0.20256207883358002,0.2809832692146301,0.5201468467712402,0.4933079481124878,0.2214922308921814,0.31091248989105225
as,0.33535557985305786,0.43216490745544434,0.21813169121742249,0.2380698025226593,0.3887844979763031,0.31749409437179565,0.2537745237350464,0.2519444227218628,0.3887844979763031,0.48381632566452026,0.1877562403678894,0.27043893933296204
have,0.5194604992866516,0.3613572418689728,0.2941470444202423,0.3377552330493927,0.36843645572662354,0.39808809757232666,0.2725403606891632,0.3034582734107971,0.36843645572662354,0.40389683842658997,0.20372521877288818,0.32991164922714233
ethno-biology,0.1876620650291443,0.2030179351568222,0.21359510719776154,0.30764883756637573,0.23561730980873108,0.3067247271537781,0.30501484870910645,0.2622217535972595,0.23561730980873108,0.21843476593494415,0.21188582479953766,0.20440973341464996
and,0.4242868423461914,0.3859752118587494,0.3007805347442627,0.26105934381484985,0.4954058527946472,0.31309178471565247,0.2567821443080902,0.3510662019252777,0.4954058527946472,0.5171257257461548,0.23464977741241455,0.20544172823429108
community-based,0.366373747587204,0.3226366639137268,0.2475280612707138,0.24888350069522858,0.3082197308540344,0.3286023437976837,0.3264639973640442,0.2828555107116699,0.3082197308540344,0.33529433608055115,0.20259559154510498,0.2916834056377411
conservation,0.20598118007183075,0.24397225677967072,0.2038135528564453,0.31758663058280945,0.24742233753204346,0.18246638774871826,0.30722522735595703,0.20553810894489288,0.24742233753204346,0.2678036689758301,0.1920786052942276,0.1391831338405609
