,what,is,the,mortality,rate,of,the,modern,bubonic,plague,?
the,0.42745697498321533,0.5823672413825989,1.0,0.267873615026474,0.24881242215633392,0.733189046382904,1.0,0.3283970355987549,0.3366847634315491,0.2537761330604553,0.22068053483963013
modern,0.2655639946460724,0.24170172214508057,0.3283970355987549,0.15700305998325348,0.18145029246807098,0.3482828736305237,0.3283970355987549,0.9999999403953552,0.1714317351579666,0.14019879698753357,0.12475407868623734
bubonic,0.24423125386238098,0.2304987907409668,0.3366847634315491,0.44366592168807983,0.2651504874229431,0.30323511362075806,0.3366847634315491,0.1714317351579666,1.0,0.6634843349456787,0.21706949174404144
plague,0.22263506054878235,0.15890252590179443,0.2537761330604553,0.3367435932159424,0.19315223395824432,0.27455615997314453,0.2537761330604553,0.14019879698753357,0.6634843349456787,0.9999999403953552,0.11872942000627518
has,0.20338068902492523,0.5668748617172241,0.4177538752555847,0.1462177038192749,0.18859195709228516,0.3909035325050354,0.4177538752555847,0.2644438147544861,0.17788304388523102,0.11916206032037735,0.15994466841220856
a,0.3320399522781372,0.658733606338501,0.5829201340675354,0.22303511202335358,0.24373900890350342,0.5052502155303955,0.5829201340675354,0.24361324310302734,0.2694512903690338,0.22077761590480804,0.23916715383529663
mortality,0.20401974022388458,0.1907704472541809,0.267873615026474,0.9999998807907104,0.4438514709472656,0.2717146873474121,0.267873615026474,0.15700305998325348,0.44366592168807983,0.3367435932159424,0.18695609271526337
rate,0.21845893561840057,0.24290183186531067,0.24881242215633392,0.4438514709472656,1.0000001192092896,0.24132871627807617,0.24881242215633392,0.18145029246807098,0.2651504874229431,0.19315223395824432,0.1308269053697586
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.2717146873474121,0.24132871627807617,1.0,0.733189046382904,0.3482828736305237,0.30323511362075806,0.27455615997314453,0.1826142966747284
30–75,0.2579483687877655,0.17484523355960846,0.21273408830165863,0.24066737294197083,0.12004146724939346,0.16368401050567627,0.21273408830165863,0.019289158284664154,0.17365838587284088,0.1607208400964737,0.269350528717041
%,0.20738190412521362,0.18672586977481842,0.21490740776062012,0.28851237893104553,0.330258846282959,0.19953428208827972,0.21490740776062012,0.15925908088684082,0.2086096853017807,0.13837918639183044,0.21441808342933655
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.2165900021791458,0.17405889928340912,0.5116966962814331,0.5171257257461548,0.3277876079082489,0.2855597734451294,0.2229994833469391,0.20544172823429108
symptoms,0.23864661157131195,0.1578281670808792,0.20678415894508362,0.35970720648765564,0.24849170446395874,0.19591152667999268,0.20678415894508362,0.08766359090805054,0.5273566842079163,0.39422205090522766,0.23707963526248932
including,0.18328791856765747,0.25093933939933777,0.3738902807235718,0.1768634170293808,0.04506166651844978,0.44195112586021423,0.3738902807235718,0.28622159361839294,0.22533895075321198,0.25680461525917053,0.1633303165435791
fever,0.18325752019882202,0.1894121617078781,0.22987264394760132,0.34613969922065735,0.2158016562461853,0.1963004767894745,0.22987264394760132,0.06908854097127914,0.5351678729057312,0.4541141986846924,0.19472312927246094
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.2717146873474121,0.24132871627807617,1.0,0.733189046382904,0.3482828736305237,0.30323511362075806,0.27455615997314453,0.1826142966747284
38–41,-0.04126463457942009,0.18965192139148712,0.16051363945007324,0.002815784653648734,0.04480939358472824,0.18640018999576569,0.16051363945007324,0.09556934237480164,-0.032223302870988846,-0.07937734574079514,-0.07617872953414917
°c,0.2101275473833084,0.22964106500148773,0.1833128035068512,0.291077196598053,0.32737892866134644,0.11791849136352539,0.1833128035068512,0.10051474720239639,0.2593678832054138,0.14716140925884247,0.2095707356929779
(,0.2411840260028839,0.35393038392066956,0.33289089798927307,0.14529243111610413,0.14072664082050323,0.35032153129577637,0.33289089798927307,0.15444137156009674,0.21811968088150024,0.137485072016716,0.40561532974243164
100–106,-0.0208355113863945,0.08174775540828705,-0.05504841357469559,0.01678726263344288,-0.043358348309993744,-0.017269808799028397,-0.05504841357469559,0.0037486646324396133,0.0606280118227005,0.11261273920536041,0.1267109513282776
