,who,was,limited,by,denver,'s,defense,?
the,0.3733934462070465,0.48711544275283813,0.2757521867752075,0.4408751428127289,0.2052404284477234,-0.01540423184633255,0.2604767382144928,0.22068053483963013
broncos,0.1763724684715271,0.23574475944042206,0.16614718735218048,0.11333504319190979,0.5774994492530823,-0.037254199385643005,0.29830923676490784,0.18377114832401276
took,0.2481452226638794,0.48213186860084534,0.15478111803531647,0.21169665455818176,0.11745014786720276,0.06150028854608536,0.11428600549697876,0.14109265804290771
an,0.2848317325115204,0.3694365322589874,0.17557017505168915,0.2719563841819763,0.17798778414726257,0.025255560874938965,0.15669359266757965,0.19793890416622162
early,0.23985694348812103,0.4148794412612915,0.17862483859062195,0.25586557388305664,0.17425069212913513,0.03384959325194359,0.13907261192798615,0.15272949635982513
lead,0.19455209374427795,0.1970783770084381,0.1748950183391571,0.23356960713863373,0.23341892659664154,-0.057115159928798676,0.14407217502593994,0.14552436769008636
in,0.2792111933231354,0.45514053106307983,0.23956921696662903,0.370934396982193,0.2221570909023285,-0.037580832839012146,0.20235490798950195,0.20430970191955566
super,0.1819351613521576,0.21420986950397491,0.1865544468164444,0.15233319997787476,0.24589714407920837,0.09726737439632416,0.20172932744026184,0.166326642036438
bowl,0.09189514070749283,0.21915455162525177,0.07423671334981918,0.12992306053638458,0.2861449718475342,-0.02838491089642048,0.20597675442695618,0.21118052303791046
50,0.0322180911898613,-0.0011744623770937324,0.005426090210676193,0.03871260583400726,0.03614028915762901,-0.01041578408330679,0.002296598395332694,0.030512850731611252
and,0.41279885172843933,0.3740963041782379,0.28220537304878235,0.4289871156215668,0.20625516772270203,0.06895173341035843,0.20962949097156525,0.20544172823429108
never,0.36659350991249084,0.3237079679965973,0.19941399991512299,0.2587071359157562,0.19854427874088287,0.06527213007211685,0.15151701867580414,0.24137508869171143
trailed,0.22292272746562958,0.27575740218162537,0.2637152075767517,0.24821841716766357,0.18342739343643188,0.07720556855201721,0.13979245722293854,0.2317388355731964
.,0.3541337847709656,0.40146201848983765,0.23431839048862457,0.3936232924461365,0.2573630213737488,-0.003708066651597619,0.26610422134399414,0.4130953550338745
