,what,characteristic,of,oxygen,makes,it,necessary,to,life,?
due,0.15204688906669617,0.19825777411460876,0.2533245384693146,0.23325195908546448,0.220703125,0.2184215486049652,0.2642507553100586,0.35188060998916626,0.12112262099981308,0.10954997688531876
to,0.455847829580307,0.26635119318962097,0.41548454761505127,0.24193501472473145,0.35811367630958557,0.513711154460907,0.40437278151512146,1.0,0.24560359120368958,0.29463258385658264
its,0.30393704771995544,0.39111703634262085,0.48690423369407654,0.23293741047382355,0.3279924988746643,0.5786119699478149,0.2252175211906433,0.3691340684890747,0.14865194261074066,0.15103481709957123
energy,0.190252885222435,0.2918274402618408,0.26257598400115967,0.4261608421802521,0.2283012419939041,0.17379210889339447,0.23051190376281738,0.27179354429244995,0.18988990783691406,0.14860127866268158
content,0.3614070415496826,0.2824440896511078,0.18281257152557373,0.2936687469482422,0.27504512667655945,0.3222239315509796,0.40240439772605896,0.2765587866306305,0.19537007808685303,0.37093979120254517
",",0.3087472915649414,0.263354629278183,0.4946078956127167,0.21812842786312103,0.2926395535469055,0.48329564929008484,0.2641502320766449,0.44245919585227966,0.24050940573215485,0.31091248989105225
o2,-0.039665523916482925,0.06371592730283737,-0.11047574132680893,-0.037116553634405136,-0.0556001290678978,-0.06567507982254028,0.00935144629329443,-0.057241544127464294,0.05916711315512657,0.008434558287262917
is,0.28837618231773376,0.2790224850177765,0.4854315221309662,0.21825239062309265,0.4565773010253906,0.6328473687171936,0.23441283404827118,0.42745086550712585,0.2110576033592224,0.22961433231830597
used,0.27546408772468567,0.277374267578125,0.3075267970561981,0.21276918053627014,0.27865099906921387,0.3575260639190674,0.4542721211910248,0.40058770775794983,0.15016493201255798,0.22430120408535004
by,0.2455483376979828,0.18503454327583313,0.3646814823150635,0.1292176991701126,0.2263995260000229,0.40926623344421387,0.13851328194141388,0.33534231781959534,0.18554949760437012,0.17966607213020325
complex,0.2605343163013458,0.270647794008255,0.24271073937416077,0.21453747153282166,0.20390471816062927,0.30943289399147034,0.33967626094818115,0.2934706509113312,0.16621561348438263,0.17752902209758759
forms,0.16334041953086853,0.4151400923728943,0.33835989236831665,0.21243564784526825,0.2660399079322815,0.3264540135860443,0.19600576162338257,0.2363802045583725,0.28528743982315063,0.1196754202246666
of,0.33290785551071167,0.2943860590457916,1.0,0.16848602890968323,0.2927091419696808,0.38761502504348755,0.26879626512527466,0.41548454761505127,0.2788603901863098,0.1826142966747284
life,0.24693015217781067,0.2354281097650528,0.2788603901863098,0.27629178762435913,0.16964326798915863,0.20706775784492493,0.15517717599868774,0.24560359120368958,1.0,0.21677987277507782
",",0.3087472915649414,0.263354629278183,0.4946078956127167,0.21812842786312103,0.2926395535469055,0.48329564929008484,0.2641502320766449,0.44245919585227966,0.24050940573215485,0.31091248989105225
such,0.23989605903625488,0.330599844455719,0.3209529519081116,0.23563316464424133,0.26607847213745117,0.28879642486572266,0.35518208146095276,0.2871878743171692,0.19185678660869598,0.17851735651493073
as,0.31749409437179565,0.30598020553588867,0.3886612355709076,0.16691245138645172,0.24537688493728638,0.4461488723754883,0.31026116013526917,0.42092081904411316,0.23248597979545593,0.27043893933296204
animals,0.26212990283966064,0.29848137497901917,0.2599885165691376,0.2666795253753662,0.21707557141780853,0.21757186949253082,0.26147013902664185,0.28293174505233765,0.2941637337207794,0.16430135071277618
",",0.3087472915649414,0.263354629278183,0.4946078956127167,0.21812842786312103,0.2926395535469055,0.48329564929008484,0.2641502320766449,0.44245919585227966,0.24050940573215485,0.31091248989105225
in,0.30808621644973755,0.2336774468421936,0.5696388483047485,0.1672476977109909,0.22258508205413818,0.5130809545516968,0.1872260719537735,0.45010748505592346,0.27054134011268616,0.20430970191955566
cellular,0.17455364763736725,0.22816365957260132,0.19871774315834045,0.41241124272346497,0.1883457750082016,0.14601285755634308,0.26898545026779175,0.16043607890605927,0.2637525200843811,0.16428864002227783
respiration,0.23671798408031464,0.37738698720932007,0.2836471498012543,0.5477889776229858,0.23639075458049774,0.26122739911079407,0.29964524507522583,0.2922604978084564,0.31577616930007935,0.17575538158416748
(,0.2411840260028839,0.15405966341495514,0.35032153129577637,0.189798504114151,0.21432405710220337,0.2745298147201538,0.21910002827644348,0.30882009863853455,0.16464252769947052,0.40561532974243164
see,0.44941186904907227,0.22571438550949097,0.33962661027908325,0.20267128944396973,0.29975399374961853,0.31568437814712524,0.4066166281700134,0.3792734146118164,0.13702435791492462,0.42005208134651184
biological,0.23008453845977783,0.41658541560173035,0.315677285194397,0.3240869343280792,0.18707065284252167,0.20384328067302704,0.26521745324134827,0.2652481198310852,0.2980731427669525,0.15755151212215424
role,0.22614215314388275,0.1946561634540558,0.1797693818807602,0.11571505665779114,0.18123362958431244,0.17076654732227325,0.23049764335155487,0.17841029167175293,0.24258683621883392,0.18676944077014923
),0.26259949803352356,0.14360031485557556,0.3680361211299896,0.19541971385478973,0.22693562507629395,0.28560304641723633,0.24269233644008636,0.31236231327056885,0.17696817219257355,0.42300865054130554
.,0.3567904531955719,0.2017466127872467,0.5352458953857422,0.2554275095462799,0.265095978975296,0.5593622326850891,0.26437801122665405,0.4645031690597534,0.3029138445854187,0.4130953550338745
