,what,books,did,bayle,publish,?
he,0.3114890456199646,0.214491605758667,0.3292143940925598,0.29233184456825256,0.22674933075904846,0.2089974731206894
started,0.21609699726104736,0.21565669775009155,0.3904789686203003,0.18429620563983917,0.19519956409931183,0.19447724521160126
teaching,0.27416905760765076,0.366538941860199,0.27443423867225647,0.1096060499548912,0.26286986470222473,0.20424684882164001
in,0.30808621644973755,0.250139981508255,0.2593238651752472,0.20703253149986267,0.17019827663898468,0.20430970191955566
rotterdam,0.11243750900030136,0.11299482733011246,0.1776346117258072,0.11436339467763901,0.16898782551288605,0.10616995394229889
",",0.3087472915649414,0.258169561624527,0.3015086054801941,0.27753013372421265,0.25024911761283875,0.31091248989105225
where,0.4457937180995941,0.2016160786151886,0.24159270524978638,0.19242484867572784,0.18357878923416138,0.24793872237205505
he,0.3114890456199646,0.214491605758667,0.3292143940925598,0.29233184456825256,0.22674933075904846,0.2089974731206894
finished,0.2113480567932129,0.15021254122257233,0.34182655811309814,0.16369548439979553,0.19210822880268097,0.14789283275604248
writing,0.3355313539505005,0.42201682925224304,0.2745545208454132,0.034536104649305344,0.3649209439754486,0.21497225761413574
and,0.31309178471565247,0.3090738356113434,0.34479495882987976,0.24857883155345917,0.23082147538661957,0.20544172823429108
publishing,0.16863952577114105,0.4761435091495514,0.12893380224704742,0.12715142965316772,0.729714035987854,0.11419087648391724
his,0.26976513862609863,0.23605668544769287,0.3546801507472992,0.24305595457553864,0.27212437987327576,0.18075084686279297
multi-volume,0.20081286132335663,0.28999748826026917,0.14211776852607727,0.04479145258665085,0.2773309051990509,0.172145277261734
masterpiece,0.24372225999832153,0.29658976197242737,0.24979044497013092,0.12704040110111237,0.21917828917503357,0.21904873847961426
",",0.3087472915649414,0.258169561624527,0.3015086054801941,0.27753013372421265,0.25024911761283875,0.31091248989105225
historical,0.2923852205276489,0.2812085747718811,0.1825733780860901,0.12467039376497269,0.17101633548736572,0.1665111482143402
and,0.31309178471565247,0.3090738356113434,0.34479495882987976,0.24857883155345917,0.23082147538661957,0.20544172823429108
critical,0.3103362023830414,0.2948078215122223,0.26059970259666443,0.06241639330983162,0.365783154964447,0.2388133704662323
dictionary,0.2296953797340393,0.29295089840888977,0.14636196196079254,0.13985967636108398,0.31408366560935974,0.229842871427536
.,0.3567904531955719,0.2393038123846054,0.35288307070732117,0.22955068945884705,0.19971393048763275,0.4130953550338745
