,what,was,peyton,manning,'s,passer,rating,for,the,season,?
manning,0.20007498562335968,0.2607507109642029,0.5102329254150391,0.9999998807907104,0.021839646622538567,0.36685898900032043,0.3009924292564392,0.33057859539985657,0.27058160305023193,0.33529460430145264,0.15856626629829407
finished,0.2113480567932129,0.3428505063056946,0.28829672932624817,0.2231869399547577,0.008866960182785988,0.17242439091205597,0.2376279979944229,0.261849045753479,0.2754973769187927,0.30780723690986633,0.14789283275604248
the,0.42745697498321533,0.48711544275283813,0.2709864377975464,0.27058160305023193,-0.01540423184633255,0.2630290985107422,0.24654440581798553,0.4739971458911896,1.0,0.2507155239582062,0.22068053483963013
year,0.15184831619262695,0.3209837079048157,0.23666128516197205,0.2521476149559021,-0.04087831452488899,0.13037538528442383,0.19003897905349731,0.29294124245643616,0.3609684407711029,0.3561827838420868,0.18315006792545319
with,0.2464839518070221,0.27411898970603943,0.23540177941322327,0.18539859354496002,-0.04624466598033905,0.15256080031394958,0.19669030606746674,0.39140474796295166,0.4223487675189972,0.26700887084007263,0.2433311939239502
a,0.3320399522781372,0.4508470594882965,0.298135370016098,0.2509649395942688,0.04866964742541313,0.26529693603515625,0.2611633539199829,0.44038116931915283,0.5829201340675354,0.1855505406856537,0.23916715383529663
career-low,0.1360963135957718,0.3346470892429352,0.39296090602874756,0.39836275577545166,0.004731756169348955,0.21728135645389557,0.32565706968307495,0.32845163345336914,0.21368016302585602,0.3512099087238312,0.15329208970069885
67.9,0.07309284061193466,0.2790275514125824,0.3196260631084442,0.31852784752845764,0.014591431245207787,0.2346932739019394,0.11260618269443512,0.09831956028938293,0.2065390944480896,0.15665824711322784,0.07895093411207199
passer,0.15117526054382324,0.1708153933286667,0.35299578309059143,0.36685898900032043,0.045714449137449265,1.0,0.3141902685165405,0.16886559128761292,0.2630290985107422,0.2606119215488434,0.15625450015068054
rating,0.20312486588954926,0.22355882823467255,0.308472603559494,0.3009924292564392,0.06594817340373993,0.3141902685165405,1.0000001192092896,0.26534613966941833,0.24654440581798553,0.31314903497695923,0.18754872679710388
",",0.3087472915649414,0.45456063747406006,0.2979121208190918,0.30921146273612976,-0.0016132977325469255,0.23041673004627228,0.2322022169828415,0.4464869201183319,0.4933079481124878,0.2232367992401123,0.31091248989105225
throwing,0.19878846406936646,0.19002126157283783,0.22289134562015533,0.3527540862560272,0.050111886113882065,0.24170824885368347,0.26065024733543396,0.29772108793258667,0.2748998701572418,0.14558328688144684,0.15241092443466187
for,0.3017193675041199,0.3863949179649353,0.30435749888420105,0.33057859539985657,-0.07241261005401611,0.16886559128761292,0.26534613966941833,0.9999999403953552,0.4739971458911896,0.24490800499916077,0.264628142118454
"2,249",0.19346028566360474,0.17390935122966766,0.07875607162714005,0.029534146189689636,-0.028861666098237038,0.042042527347803116,-0.07130713015794754,0.028921572491526604,0.06310079246759415,-0.0024333468172699213,0.018604634329676628
yards,0.1304803043603897,0.1823360025882721,0.4152722656726837,0.5283294916152954,0.0408332459628582,0.4222199618816376,0.2996661067008972,0.21746347844600677,0.16070343554019928,0.3280850648880005,0.12453813850879669
and,0.31309178471565247,0.3740963041782379,0.27112144231796265,0.2638654112815857,0.06895173341035843,0.20604027807712555,0.19924680888652802,0.5064792633056641,0.5171257257461548,0.2369309365749359,0.20544172823429108
nine,0.11931172013282776,0.2782309651374817,0.13646109402179718,0.2181665301322937,0.011213268153369427,0.21552196145057678,0.19047234952449799,0.26828351616859436,0.33253175020217896,0.23210260272026062,0.13964155316352844
touchdowns,0.15067923069000244,0.2174215018749237,0.44845646619796753,0.5383488535881042,0.06078888103365898,0.4908857047557831,0.39720848202705383,0.2948407232761383,0.20508192479610443,0.4151381552219391,0.1509619653224945
",",0.3087472915649414,0.45456063747406006,0.2979121208190918,0.30921146273612976,-0.0016132977325469255,0.23041673004627228,0.2322022169828415,0.4464869201183319,0.4933079481124878,0.2232367992401123,0.31091248989105225
with,0.2464839518070221,0.27411898970603943,0.23540177941322327,0.18539859354496002,-0.04624466598033905,0.15256080031394958,0.19669030606746674,0.39140474796295166,0.4223487675189972,0.26700887084007263,0.2433311939239502
17,0.1129629984498024,0.06704052537679672,0.08144426345825195,0.02101394347846508,-0.00850291270762682,0.04645882174372673,0.1306629627943039,0.08391384035348892,0.10537172853946686,0.16613055765628815,0.17603135108947754
interceptions,0.1888427734375,0.1664523184299469,0.33540111780166626,0.47789567708969116,-0.01916782185435295,0.39980578422546387,0.34637343883514404,0.30427032709121704,0.22331646084785461,0.35161852836608887,0.10945115238428116
.,0.3567904531955719,0.40146201848983765,0.2932659685611725,0.2937074899673462,-0.003708066651597619,0.20697903633117676,0.2531067430973053,0.4726039469242096,0.5934505462646484,0.24674734473228455,0.4130953550338745
