,along,with,a,desire,for,more,steam,pressure,",",what,were,early,drivers,looking,to,generate,when,they,fastened,safety,valves,down,?
early,0.17541852593421936,0.23919914662837982,0.2710886299610138,0.16267535090446472,0.2892865538597107,0.2593020796775818,0.24322280287742615,0.2305201292037964,0.3022546172142029,0.2454567849636078,0.39198037981987,1.0000001192092896,0.12075741589069366,0.1932695358991623,0.24557004868984222,0.14387840032577515,0.32107013463974,0.29354071617126465,0.2514708638191223,0.13753031194210052,0.1920730322599411,0.19078439474105835,0.15272949635982513
valves,0.1635342240333557,0.2232566922903061,0.2422410100698471,0.06623376160860062,0.12008462101221085,0.2206522673368454,0.3912201225757599,0.37645605206489563,0.22446955740451813,0.21307212114334106,0.2325812429189682,0.1920730322599411,0.2722074091434479,0.1134689450263977,0.24288403987884521,0.2651045024394989,0.23051993548870087,0.3256209194660187,0.39311835169792175,0.240688756108284,1.0000001192092896,0.2379826307296753,0.1826052963733673
could,0.20523416996002197,0.32055896520614624,0.3736826181411743,0.3244292736053467,0.3405117690563202,0.4129549562931061,0.23015202581882477,0.1919572353363037,0.27399855852127075,0.4188697934150696,0.40738195180892944,0.2772548794746399,0.22221288084983826,0.3403277099132538,0.5461788773536682,0.26819854974746704,0.42036551237106323,0.5337496995925903,0.3231251537799835,0.2235517054796219,0.24896551668643951,0.2582706809043884,0.3411986827850342
be,0.21169698238372803,0.36101722717285156,0.39883795380592346,0.25275754928588867,0.3801851272583008,0.5445363521575928,0.22586002945899963,0.23846358060836792,0.39254459738731384,0.3929833769798279,0.4064064621925354,0.2155047357082367,0.22723793983459473,0.30536243319511414,0.4972836375236511,0.3970622420310974,0.4451393485069275,0.4858434796333313,0.26768380403518677,0.21974404156208038,0.2678241431713104,0.24427638947963715,0.3324260413646698
adjusted,0.14123298227787018,0.22697226703166962,0.21326683461666107,0.23262238502502441,0.26131200790405273,0.3225543797016144,0.25647300481796265,0.25184375047683716,0.19749963283538818,0.25919830799102783,0.20812726020812988,0.2073545604944229,0.1960308849811554,0.2889040410518646,0.24388428032398224,0.375774621963501,0.25749871134757996,0.2554978132247925,0.3400873839855194,0.24568749964237213,0.2999444007873535,0.22739578783512115,0.17176997661590576
by,0.34227433800697327,0.39731505513191223,0.32094135880470276,0.16310028731822968,0.3248702883720398,0.2627272307872772,0.18134352564811707,0.22995758056640625,0.3680937886238098,0.2455483376979828,0.4406847059726715,0.25586557388305664,0.1960451900959015,0.19453264772891998,0.33534231781959534,0.2439229041337967,0.4376842677593231,0.3391372263431549,0.20328384637832642,0.19907283782958984,0.19573190808296204,0.27259311079978943,0.17966607213020325
engine,0.08872011303901672,0.1990211457014084,0.24768835306167603,0.11205020546913147,0.17779722809791565,0.19883699715137482,0.4921848475933075,0.2742706835269928,0.19789794087409973,0.18463268876075745,0.164800226688385,0.12666913866996765,0.31926605105400085,0.12775588035583496,0.20794793963432312,0.29651179909706116,0.2008768618106842,0.1433132439851761,0.2703119218349457,0.2191149890422821,0.35318049788475037,0.17752285301685333,0.17739196121692657
drivers,0.1469680517911911,0.1808365285396576,0.1796540766954422,0.1222483217716217,0.21755066514015198,0.1712648719549179,0.2736409902572632,0.15051566064357758,0.20039424300193787,0.15575307607650757,0.22410455346107483,0.12075741589069366,1.0,0.1267421394586563,0.2224927544593811,0.22112217545509338,0.1851528286933899,0.3106653094291687,0.26099854707717896,0.3217218220233917,0.2722074091434479,0.14695307612419128,0.13031116127967834
",",0.29824912548065186,0.4120737314224243,0.427140474319458,0.2094406634569168,0.4464869201183319,0.3696524500846863,0.2264556586742401,0.21867604553699493,1.0000001192092896,0.3087472915649414,0.36755475401878357,0.3022546172142029,0.20039424300193787,0.23123399913311005,0.44245919585227966,0.18701888620853424,0.36674630641937256,0.390799880027771,0.16947655379772186,0.22221899032592773,0.22446955740451813,0.23362469673156738,0.31091248989105225
leading,0.25283509492874146,0.2195664644241333,0.26281067728996277,0.20106491446495056,0.3854183852672577,0.2605990171432495,0.20356057584285736,0.18693150579929352,0.25808972120285034,0.197072371840477,0.1924321949481964,0.27566763758659363,0.1757483333349228,0.19441503286361694,0.260200560092926,0.19327469170093536,0.23494918644428253,0.16099339723587036,0.15853580832481384,0.24588871002197266,0.10777580738067627,0.1790608912706375,0.1360926628112793
