,what,has,been,characterized,as,arminian,theology,with,an,emphasis,on,the,work,of,the,holy,spirit,?
wesleyan,0.20013505220413208,0.28476762771606445,0.20594491064548492,0.13914257287979126,0.22576166689395905,0.20715990662574768,0.4519738554954529,0.19912858307361603,0.23247945308685303,0.13149665296077728,0.205825075507164,0.25883370637893677,0.19580045342445374,0.3143579363822937,0.25883370637893677,0.27214178442955017,0.21839290857315063,0.15342922508716583
theology,0.322174996137619,0.16022847592830658,0.11897768080234528,0.1515614092350006,0.19763466715812683,0.29412969946861267,1.0000001192092896,0.16383852064609528,0.15769019722938538,0.3028368055820465,0.1613156795501709,0.1939574033021927,0.21736106276512146,0.274120032787323,0.1939574033021927,0.3292882442474365,0.26706525683403015,0.1560962051153183
stands,0.16123995184898376,0.2955288589000702,0.1627107411623001,0.20559319853782654,0.2086646854877472,0.19700048863887787,0.09137480705976486,0.20143254101276398,0.20766951143741608,0.2290363609790802,0.23329508304595947,0.31032469868659973,0.13348603248596191,0.27837875485420227,0.31032469868659973,0.13972824811935425,0.13722676038742065,0.10421594232320786
at,0.2838611304759979,0.2743658423423767,0.2504468560218811,0.10057102888822556,0.28092536330223083,0.0804794430732727,0.21463027596473694,0.29126521944999695,0.2446778565645218,0.16693095862865448,0.4806317389011383,0.457212895154953,0.24906395375728607,0.42558613419532776,0.457212895154953,0.16606567800045013,0.18186362087726593,0.21978627145290375
a,0.3320399522781372,0.4670248031616211,0.3315402865409851,0.3205097019672394,0.39550232887268066,0.25533220171928406,0.18280601501464844,0.3783375024795532,0.44552403688430786,0.23661457002162933,0.3848365545272827,0.5829201340675354,0.266241192817688,0.5052502155303955,0.5829201340675354,0.19890426099300385,0.24163883924484253,0.23916715383529663
unique,0.2536143958568573,0.37577468156814575,0.2628082036972046,0.30958953499794006,0.2774978280067444,0.14048735797405243,0.13004103302955627,0.28004732728004456,0.21689726412296295,0.2891826331615448,0.17812061309814453,0.26165643334388733,0.20540295541286469,0.29481077194213867,0.26165643334388733,0.17799009382724762,0.19637909531593323,0.17680858075618744
cross-roads,0.2496010810136795,0.1730276346206665,0.2405916154384613,0.24333807826042175,0.23476642370224,0.2340138852596283,0.1779443770647049,0.2318367063999176,0.21380332112312317,0.25265178084373474,0.3208937346935272,0.3355255424976349,0.2620285749435425,0.2880546748638153,0.3355255424976349,0.15985040366649628,0.15645594894886017,0.1760929822921753
between,0.2462156116962433,0.2653839886188507,0.16697090864181519,0.2796158492565155,0.22009976208209991,0.2097024917602539,0.1771109253168106,0.3829993009567261,0.18003802001476288,0.20448744297027588,0.3335416913032532,0.39067012071609497,0.1000707820057869,0.3737983703613281,0.39067012071609497,0.1470588594675064,0.10916601121425629,0.12887074053287506
evangelical,0.20315878093242645,0.18427330255508423,0.17216618359088898,0.10551619529724121,0.23795071244239807,0.2763301432132721,0.5081013441085815,0.11379848420619965,0.12248681485652924,0.26009827852249146,0.18489494919776917,0.23743100464344025,0.13816533982753754,0.2919469177722931,0.23743100464344025,0.3829956650733948,0.3134082555770874,0.16597984731197357
and,0.31309178471565247,0.43716782331466675,0.3424558639526367,0.2979883849620819,0.49487000703811646,0.20098955929279327,0.22933346033096313,0.5477725267410278,0.2838519215583801,0.2842515707015991,0.4077630043029785,0.5171257257461548,0.37551814317703247,0.5116966962814331,0.5171257257461548,0.1533736139535904,0.17865221202373505,0.20544172823429108
sacramental,0.26630717515945435,0.15436352789402008,0.16495168209075928,0.2853023409843445,0.22347213327884674,0.24258947372436523,0.37305590510368347,0.1913413256406784,0.19403299689292908,0.22559446096420288,0.18163537979125977,0.3087221086025238,0.20950642228126526,0.32077181339263916,0.3087221086025238,0.3806791603565216,0.30088868737220764,0.18376803398132324
",",0.3087472915649414,0.3734780251979828,0.34873589873313904,0.23185861110687256,0.48816442489624023,0.22540943324565887,0.23964712023735046,0.4120737314224243,0.3581022024154663,0.2289692610502243,0.49057599902153015,0.4933079481124878,0.3283594250679016,0.4946078956127167,0.4933079481124878,0.2074567973613739,0.19358892738819122,0.31091248989105225
between,0.2462156116962433,0.2653839886188507,0.16697090864181519,0.2796158492565155,0.22009976208209991,0.2097024917602539,0.1771109253168106,0.3829993009567261,0.18003802001476288,0.20448744297027588,0.3335416913032532,0.39067012071609497,0.1000707820057869,0.3737983703613281,0.39067012071609497,0.1470588594675064,0.10916601121425629,0.12887074053287506
liturgical,0.2206096053123474,0.14589230716228485,0.2123505175113678,0.27638015151023865,0.3078303933143616,0.3347089886665344,0.5046215057373047,0.15428651869297028,0.21373334527015686,0.3010619580745697,0.1784237176179886,0.28711211681365967,0.26155439019203186,0.3143458962440491,0.28711211681365967,0.3626917004585266,0.18569886684417725,0.14931263029575348
and,0.31309178471565247,0.43716782331466675,0.3424558639526367,0.2979883849620819,0.49487000703811646,0.20098955929279327,0.22933346033096313,0.5477725267410278,0.2838519215583801,0.2842515707015991,0.4077630043029785,0.5171257257461548,0.37551814317703247,0.5116966962814331,0.5171257257461548,0.1533736139535904,0.17865221202373505,0.20544172823429108
charismatic,0.22532416880130768,0.1893170326948166,0.16663379967212677,0.2922564744949341,0.26229462027549744,0.32517558336257935,0.47629591822624207,0.16980871558189392,0.2164427638053894,0.30943477153778076,0.14788618683815002,0.25931552052497864,0.22121155261993408,0.26724255084991455,0.25931552052497864,0.30849727988243103,0.30072787404060364,0.10361214727163315
",",0.3087472915649414,0.3734780251979828,0.34873589873313904,0.23185861110687256,0.48816442489624023,0.22540943324565887,0.23964712023735046,0.4120737314224243,0.3581022024154663,0.2289692610502243,0.49057599902153015,0.4933079481124878,0.3283594250679016,0.4946078956127167,0.4933079481124878,0.2074567973613739,0.19358892738819122,0.31091248989105225
and,0.31309178471565247,0.43716782331466675,0.3424558639526367,0.2979883849620819,0.49487000703811646,0.20098955929279327,0.22933346033096313,0.5477725267410278,0.2838519215583801,0.2842515707015991,0.4077630043029785,0.5171257257461548,0.37551814317703247,0.5116966962814331,0.5171257257461548,0.1533736139535904,0.17865221202373505,0.20544172823429108
between,0.2462156116962433,0.2653839886188507,0.16697090864181519,0.2796158492565155,0.22009976208209991,0.2097024917602539,0.1771109253168106,0.3829993009567261,0.18003802001476288,0.20448744297027588,0.3335416913032532,0.39067012071609497,0.1000707820057869,0.3737983703613281,0.39067012071609497,0.1470588594675064,0.10916601121425629,0.12887074053287506
anglo-catholic,0.25321096181869507,0.2019418627023697,0.16635891795158386,0.19727593660354614,0.24056576192378998,0.3799971640110016,0.5100266337394714,0.24215027689933777,0.20898030698299408,0.25491026043891907,0.15805727243423462,0.33620038628578186,0.1751338690519333,0.39576640725135803,0.33620038628578186,0.49486619234085083,0.2953328788280487,0.22723160684108734
and,0.31309178471565247,0.43716782331466675,0.3424558639526367,0.2979883849620819,0.49487000703811646,0.20098955929279327,0.22933346033096313,0.5477725267410278,0.2838519215583801,0.2842515707015991,0.4077630043029785,0.5171257257461548,0.37551814317703247,0.5116966962814331,0.5171257257461548,0.1533736139535904,0.17865221202373505,0.20544172823429108
