,what,is,the,parliamentary,mace,made,of,?
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.2472391128540039,0.13083815574645996,0.25271502137184143,0.5696388483047485,0.20430970191955566
front,0.19401875138282776,0.21630217134952545,0.3733479380607605,0.21647793054580688,0.16698189079761505,0.19315804541110992,0.2804802656173706,0.16351862251758575
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.33805084228515625,0.17358121275901794,0.33167365193367004,1.0,0.1826142966747284
the,0.42745697498321533,0.5823672413825989,1.0,0.2708897888660431,0.18704354763031006,0.3885267674922943,0.733189046382904,0.22068053483963013
presiding,0.21225658059120178,0.2072397768497467,0.3267684876918793,0.4496363401412964,0.09487076103687286,0.20778697729110718,0.3004159927368164,0.177648663520813
officers,0.20936226844787598,0.1602698415517807,0.2831277847290039,0.28845396637916565,0.2173415571451187,0.1910153478384018,0.24383078515529633,0.14072641730308533
',0.3245812654495239,0.5508411526679993,0.474788099527359,0.12446722388267517,0.17710840702056885,0.27472299337387085,0.39136970043182373,0.330942302942276
desk,0.2312716841697693,0.21144966781139374,0.2488364726305008,0.14121630787849426,0.17881397902965546,0.1410982459783554,0.16877113282680511,0.19536134600639343
is,0.28837618231773376,1.0,0.5823672413825989,0.1731702983379364,0.18705031275749207,0.29543453454971313,0.4854315221309662,0.22961433231830597
the,0.42745697498321533,0.5823672413825989,1.0,0.2708897888660431,0.18704354763031006,0.3885267674922943,0.733189046382904,0.22068053483963013
parliamentary,0.23120512068271637,0.1731702983379364,0.2708897888660431,1.0,0.1259879469871521,0.2169574797153473,0.33805084228515625,0.1612216979265213
mace,0.09177103638648987,0.18705031275749207,0.18704354763031006,0.1259879469871521,1.0000001192092896,0.190179705619812,0.17358121275901794,0.07025778293609619
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.23071794211864471,0.2637544572353363,0.32507219910621643,0.4946078956127167,0.31091248989105225
which,0.5261979103088379,0.4457404911518097,0.6521818041801453,0.2640989124774933,0.14371919631958008,0.3407467305660248,0.5011631846427917,0.25814583897590637
is,0.28837618231773376,1.0,0.5823672413825989,0.1731702983379364,0.18705031275749207,0.29543453454971313,0.4854315221309662,0.22961433231830597
made,0.23419176042079926,0.29543453454971313,0.3885267674922943,0.2169574797153473,0.190179705619812,1.0,0.33167365193367004,0.17218779027462006
from,0.2737620174884796,0.27355384826660156,0.40150508284568787,0.17162030935287476,0.12413929402828217,0.23003742098808289,0.4249346852302551,0.19969791173934937
silver,0.10540545731782913,0.20722414553165436,0.2600913643836975,0.10823360085487366,0.23728060722351074,0.2191540002822876,0.18475119769573212,0.11920861899852753
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.30461975932121277,0.24771526455879211,0.34954607486724854,0.5116966962814331,0.20544172823429108
inlaid,0.15765802562236786,0.1383982002735138,0.29471835494041443,0.1642235368490219,0.22763141989707947,0.27398791909217834,0.304464191198349,0.17906951904296875
with,0.2464839518070221,0.3250955045223236,0.4223487675189972,0.15965069830417633,0.2863532602787018,0.3459964990615845,0.41827285289764404,0.2433311939239502
gold,0.15779642760753632,0.16155372560024261,0.27136439085006714,0.13841357827186584,0.15767322480678558,0.21762214601039886,0.2101457566022873,0.11542754620313644
panned,0.1705074906349182,0.13873252272605896,0.271035760641098,0.16586263477802277,0.011758267879486084,0.256587415933609,0.20262065529823303,0.18019860982894897
from,0.2737620174884796,0.27355384826660156,0.40150508284568787,0.17162030935287476,0.12413929402828217,0.23003742098808289,0.4249346852302551,0.19969791173934937
scottish,0.13777151703834534,0.16398480534553528,0.21724988520145416,0.3121192455291748,0.27674221992492676,0.11702211946249008,0.1698460429906845,0.06442669779062271
rivers,0.14092835783958435,0.23340918123722076,0.25597620010375977,0.14589038491249084,0.15109491348266602,0.14286692440509796,0.2839193344116211,0.15866327285766602
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.30461975932121277,0.24771526455879211,0.34954607486724854,0.5116966962814331,0.20544172823429108
inscribed,0.12315846979618073,0.19934935867786407,0.2901443839073181,0.13800980150699615,0.1300564706325531,0.2288162261247635,0.29527798295021057,0.14062443375587463
with,0.2464839518070221,0.3250955045223236,0.4223487675189972,0.15965069830417633,0.2863532602787018,0.3459964990615845,0.41827285289764404,0.2433311939239502
the,0.42745697498321533,0.5823672413825989,1.0,0.2708897888660431,0.18704354763031006,0.3885267674922943,0.733189046382904,0.22068053483963013
words,0.3355468809604645,0.2681862413883209,0.29205581545829773,0.17685754597187042,0.16237512230873108,0.21717607975006104,0.26259833574295044,0.27074310183525085
:,-0.12022944539785385,-0.07222653180360794,-0.03403344005346298,0.015653613954782486,0.04092516750097275,-0.08421014994382858,-0.08807745575904846,-0.07156077772378922
wisdom,0.22927740216255188,0.16524584591388702,0.15685300529003143,0.2142893522977829,0.22983551025390625,0.08301795274019241,0.22658999264240265,0.20659728348255157
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.23071794211864471,0.2637544572353363,0.32507219910621643,0.4946078956127167,0.31091248989105225
compassion,0.34850433468818665,0.20133861899375916,0.17049308121204376,0.1376885026693344,0.17766869068145752,0.13394591212272644,0.241567462682724,0.17932067811489105
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.23071794211864471,0.2637544572353363,0.32507219910621643,0.4946078956127167,0.31091248989105225
justice,0.21462921798229218,0.18458157777786255,0.23470892012119293,0.31965479254722595,0.15863129496574402,0.09509546309709549,0.2658293545246124,0.19269752502441406
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.30461975932121277,0.24771526455879211,0.34954607486724854,0.5116966962814331,0.20544172823429108
integrity,0.2928520143032074,0.16717810928821564,0.2173859030008316,0.26694485545158386,0.20061272382736206,0.12368190288543701,0.23285920917987823,0.25075602531433105
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.21747009456157684,0.2058405876159668,0.4032190144062042,0.5352458953857422,0.4130953550338745
