,which,two,groups,have,cells,bound,by,inter-cell,connections,and,membranes,",",muscles,",",a,nervous,system,and,sensory,organs,?
unlike,0.4358089566230774,0.3460691571235657,0.23086050152778625,0.4786527156829834,0.2151651829481125,0.22765403985977173,0.22217169404029846,0.30799373984336853,0.31592005491256714,0.4084906280040741,0.33936241269111633,0.27131539583206177,0.29937782883644104,0.27131539583206177,0.29892557859420776,0.19003203511238098,0.30355367064476013,0.4084906280040741,0.2294308990240097,0.29282012581825256,0.12876726686954498
sponges,0.33021700382232666,0.23194894194602966,0.3058322072029114,0.32197675108909607,0.40721917152404785,0.17556323111057281,0.1240498498082161,0.3144495189189911,0.2435837835073471,0.23735865950584412,0.5111386179924011,0.1916227787733078,0.4448201060295105,0.1916227787733078,0.20649303495883942,0.30564868450164795,0.21088971197605133,0.23735865950584412,0.3745949864387512,0.39875587821006775,0.20355616509914398
",",0.3658004403114319,0.35859420895576477,0.2671695053577423,0.3541618287563324,0.20582014322280884,0.2750377655029297,0.3680937886238098,0.27537092566490173,0.27407124638557434,0.6633074283599854,0.22312511503696442,1.0000001192092896,0.14451542496681213,1.0000001192092896,0.427140474319458,0.17746691405773163,0.18439900875091553,0.6633074283599854,0.17958305776119232,0.21816115081310272,0.31091248989105225
both,0.5140923857688904,0.6091675162315369,0.2229064553976059,0.43702858686447144,0.21880505979061127,0.28830522298812866,0.3367134630680084,0.3300236463546753,0.3509525656700134,0.5503310561180115,0.23099347949028015,0.38080528378486633,0.2478930801153183,0.38080528378486633,0.3171786069869995,0.1847783625125885,0.2039085328578949,0.5503310561180115,0.21333566308021545,0.2675274908542633,0.19455738365650177
ctenophores,0.37328192591667175,0.21687746047973633,0.32488834857940674,0.3612369894981384,0.5050276517868042,0.17477211356163025,0.13966427743434906,0.41161131858825684,0.25810930132865906,0.20973104238510132,0.5966922640800476,0.19362998008728027,0.4864092469215393,0.19362998008728027,0.25153061747550964,0.4223034977912903,0.2405490130186081,0.20973104238510132,0.4867403507232666,0.484861820936203,0.2054179310798645
and,0.506277859210968,0.4671151638031006,0.29783302545547485,0.4711785912513733,0.24033623933792114,0.27447953820228577,0.4289871156215668,0.28786930441856384,0.3397684693336487,1.0,0.2664068639278412,0.6633074283599854,0.26383450627326965,0.6633074283599854,0.3739250600337982,0.25562524795532227,0.231138214468956,1.0,0.22244484722614288,0.28131723403930664,0.20544172823429108
cnidarians,0.38001200556755066,0.2748662829399109,0.4200176000595093,0.42581048607826233,0.47849786281585693,0.176550954580307,0.17198091745376587,0.35035088658332825,0.29437217116355896,0.27171704173088074,0.5226678848266602,0.20915824174880981,0.4419262707233429,0.20915824174880981,0.25800085067749023,0.3534298241138458,0.258868008852005,0.27171704173088074,0.38989049196243286,0.45017769932746887,0.18796975910663605
have,0.49652695655822754,0.4498785734176636,0.3388051986694336,0.9999999403953552,0.294906347990036,0.2305329442024231,0.3359639644622803,0.33706387877464294,0.29966920614242554,0.4711785912513733,0.3564684987068176,0.3541618287563324,0.3042620122432709,0.3541618287563324,0.338716596364975,0.23037825524806976,0.27033093571662903,0.4711785912513733,0.2956799864768982,0.333672434091568,0.32991164922714233
:,-0.11049769818782806,0.016365518793463707,-0.051747195422649384,-0.10825085639953613,-0.1667492538690567,-0.0715576782822609,-0.11676844954490662,-0.0702737495303154,-0.09293528646230698,-0.04625999182462692,-0.09436117857694626,-0.004729332868009806,-0.027705350890755653,-0.004729332868009806,-0.0007584693375974894,-0.040646810084581375,-0.1002127006649971,-0.04625999182462692,-0.11275558918714523,-0.1092781201004982,-0.07156077772378922
cells,0.3000165820121765,0.23961083590984344,0.21140767633914948,0.294906347990036,1.0,0.15919986367225647,0.19208736717700958,0.5333234667778015,0.2728707194328308,0.24033623933792114,0.6483176946640015,0.20582014322280884,0.4262569844722748,0.20582014322280884,0.2297232300043106,0.4194115698337555,0.29856014251708984,0.24033623933792114,0.41364818811416626,0.4845079779624939,0.1898086667060852
