,what,is,the,name,of,contemporary,mongolian,currency,?
his,0.26976513862609863,0.24372583627700806,0.4394008219242096,0.1914493292570114,0.38364991545677185,0.23148587346076965,0.12383781373500824,0.06871481239795685,0.18075084686279297
face,0.227594256401062,0.2126556932926178,0.2601291239261627,0.08529201149940491,0.19828438758850098,0.126383975148201,0.2090309113264084,0.10916471481323242,0.12476722151041031
can,0.34502777457237244,0.44256699085235596,0.312528520822525,0.1310177892446518,0.2603091299533844,0.15811480581760406,0.1494331806898117,0.18084527552127838,0.3226337134838104
be,0.3929833769798279,0.4819129705429077,0.4248143136501312,0.19639723002910614,0.33904364705085754,0.20694810152053833,0.0907370075583458,0.17047230899333954,0.3324260413646698
found,0.1796332150697708,0.3526395261287689,0.3452354073524475,0.175145223736763,0.2982911467552185,0.12652164697647095,0.21139132976531982,0.09506042301654816,0.16790300607681274
on,0.34226128458976746,0.3635730445384979,0.5107308030128479,0.17627742886543274,0.3966929316520691,0.18855053186416626,0.14454014599323273,0.12201688438653946,0.2714994251728058
everyday,0.3378273546695709,0.20871149003505707,0.21434803307056427,0.08530904352664948,0.24470168352127075,0.21432936191558838,0.09073615819215775,0.15370728075504303,0.1742577999830246
commodities,0.1862771064043045,0.2267184555530548,0.19182176887989044,0.11511628329753876,0.18926386535167694,0.25393542647361755,0.16552968323230743,0.4320369362831116,0.18083880841732025
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.28145334124565125,0.4946078956127167,0.28917112946510315,0.22636307775974274,0.21310937404632568,0.31091248989105225
from,0.2737620174884796,0.27355384826660156,0.40150508284568787,0.2635002136230469,0.4249346852302551,0.19228921830654144,0.1933802217245102,0.13677111268043518,0.19969791173934937
liquor,0.20728212594985962,0.16114352643489838,0.19452908635139465,0.1854368895292282,0.17330831289291382,0.14103853702545166,0.12432454526424408,0.2513592541217804,0.20718055963516235
bottles,0.17244592308998108,0.22872157394886017,0.23449267446994781,0.11868692934513092,0.18182061612606049,0.07065672427415848,0.054730743169784546,0.20958346128463745,0.1524665355682373
to,0.455847829580307,0.42745086550712585,0.535392165184021,0.27806994318962097,0.41548454761505127,0.19410967826843262,0.152916818857193,0.22004546225070953,0.29463258385658264
candy,0.24435654282569885,0.21580442786216736,0.16176815330982208,0.20258359611034393,0.1055506244301796,0.08953247964382172,0.07284743338823318,0.16002611815929413,0.21327351033687592
products,0.2088814079761505,0.2552259862422943,0.2547704577445984,0.19886085391044617,0.21450084447860718,0.09412393718957901,0.10853458195924759,0.23353782296180725,0.20429900288581848
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.28145334124565125,0.4946078956127167,0.28917112946510315,0.22636307775974274,0.21310937404632568,0.31091248989105225
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.21235932409763336,0.5116966962814331,0.31080201268196106,0.22904802858829498,0.16085569560527802,0.20544172823429108
on,0.34226128458976746,0.3635730445384979,0.5107308030128479,0.17627742886543274,0.3966929316520691,0.18855053186416626,0.14454014599323273,0.12201688438653946,0.2714994251728058
