,southern,california,had,a,population,of,"22,680,010",according,to,the,census,from,which,year,?
as,0.17950406670570374,0.1933012157678604,0.3393979072570801,0.39550232887268066,0.22002090513706207,0.3886612355709076,0.2284904569387436,0.24795791506767273,0.42092081904411316,0.48381632566452026,0.22827468812465668,0.3251767158508301,0.41006597876548767,0.28440728783607483,0.27043893933296204
of,0.31933003664016724,0.24929828941822052,0.37755560874938965,0.5052502155303955,0.3060894012451172,1.0,0.27405911684036255,0.3307822346687317,0.41548454761505127,0.733189046382904,0.19615516066551208,0.4249346852302551,0.5011631846427917,0.2578314542770386,0.1826142966747284
the,0.3282862603664398,0.2750805914402008,0.3875846862792969,0.5829201340675354,0.32044094800949097,0.733189046382904,0.3122144937515259,0.3202974498271942,0.535392165184021,1.0,0.2524987757205963,0.40150508284568787,0.6521818041801453,0.3609684407711029,0.22068053483963013
2010,0.27399176359176636,0.1594199538230896,0.28968116641044617,0.18140065670013428,0.27324092388153076,0.26419875025749207,0.7629252672195435,0.23854248225688934,0.3413967490196228,0.31722962856292725,0.24752415716648102,0.21823202073574066,0.18768779933452606,0.14087317883968353,0.21232788264751434
united,0.2923206686973572,0.33969607949256897,0.1966206431388855,0.2732578217983246,0.28376269340515137,0.3187655806541443,0.12106165289878845,0.2191866785287857,0.2715383470058441,0.34367692470550537,0.3416788876056671,0.27339106798171997,0.2821946144104004,0.23911906778812408,0.17266890406608582
states,0.29004350304603577,0.3858724534511566,0.19475843012332916,0.24708621203899384,0.3036004900932312,0.30884552001953125,0.12503983080387115,0.2622531056404114,0.2828785181045532,0.3463578522205353,0.38321805000305176,0.24283263087272644,0.27476921677589417,0.24276629090309143,0.16272737085819244
census,0.23120006918907166,0.2092263251543045,0.18697713315486908,0.13645486533641815,0.6778454184532166,0.19615516066551208,0.3006860911846161,0.4436514675617218,0.16890135407447815,0.2524987757205963,1.0,0.18090838193893433,0.1733984500169754,0.18410784006118774,0.12548218667507172
",",0.2795628309249878,0.2704589068889618,0.35487717390060425,0.427140474319458,0.2967977225780487,0.4946078956127167,0.2581799030303955,0.3107093870639801,0.44245919585227966,0.4933079481124878,0.2530386745929718,0.39760664105415344,0.3658004403114319,0.28560417890548706,0.31091248989105225
southern,1.0,0.2983402609825134,0.19639550149440765,0.25843560695648193,0.2896978557109833,0.31933003664016724,0.23183822631835938,0.13379259407520294,0.18284058570861816,0.3282862603664398,0.23120006918907166,0.21689370274543762,0.2648681700229645,0.18763160705566406,0.11225555837154388
california,0.2983402609825134,1.0,0.17242708802223206,0.2426064908504486,0.19116398692131042,0.24929828941822052,0.14340804517269135,0.1669517457485199,0.20697450637817383,0.2750805914402008,0.2092263251543045,0.23643477261066437,0.17128102481365204,0.14150623977184296,0.1409905105829239
has,0.16921117901802063,0.1442752480506897,0.5787927508354187,0.4670248031616211,0.25973978638648987,0.3909035325050354,0.21876268088817596,0.2567046284675598,0.3619994819164276,0.4177538752555847,0.2098473161458969,0.2621968984603882,0.4350704550743103,0.2526876926422119,0.15994466841220856
a,0.25843560695648193,0.2426064908504486,0.34897568821907043,1.0,0.2345738559961319,0.5052502155303955,0.17370422184467316,0.239227756857872,0.45503583550453186,0.5829201340675354,0.13645486533641815,0.322764128446579,0.56894451379776,0.29350247979164124,0.23916715383529663
population,0.2896978557109833,0.19116398692131042,0.21385526657104492,0.2345738559961319,1.0,0.3060894012451172,0.28851404786109924,0.3151155114173889,0.19776633381843567,0.32044094800949097,0.6778454184532166,0.22323650121688843,0.2151837795972824,0.2023945301771164,0.14449454843997955
of,0.31933003664016724,0.24929828941822052,0.37755560874938965,0.5052502155303955,0.3060894012451172,1.0,0.27405911684036255,0.3307822346687317,0.41548454761505127,0.733189046382904,0.19615516066551208,0.4249346852302551,0.5011631846427917,0.2578314542770386,0.1826142966747284
"22,680,010",0.23183822631835938,0.14340804517269135,0.16819630563259125,0.17370422184467316,0.28851404786109924,0.27405911684036255,0.9999999403953552,0.263588547706604,0.26440325379371643,0.3122144937515259,0.3006860911846161,0.21956650912761688,0.24377086758613586,0.223576158285141,0.17748694121837616
.,0.26629969477653503,0.2870451807975769,0.37348684668540955,0.50484299659729,0.26950228214263916,0.5352458953857422,0.2559767961502075,0.29052162170410156,0.4645031690597534,0.5934505462646484,0.22575056552886963,0.41536515951156616,0.45942068099975586,0.32538118958473206,0.4130953550338745
