,was,the,bubonic,plague,spread,faster,or,slower,than,modern,bubonic,plague,?
other,0.14651623368263245,0.44152235984802246,0.26793164014816284,0.14735755324363708,0.30261480808258057,0.32517939805984497,0.5325124859809875,0.3511512577533722,0.5105555653572083,0.2693008780479431,0.26793164014816284,0.14735755324363708,0.24682199954986572
arguments,0.13274891674518585,0.19616100192070007,0.16218307614326477,0.1493535339832306,0.07195544987916946,0.14568854868412018,0.24308069050312042,0.11905651539564133,0.2157895267009735,0.11054348200559616,0.16218307614326477,0.1493535339832306,0.2545352280139923
include,0.10680413991212845,0.2951717972755432,0.2425539642572403,0.16709429025650024,0.21684034168720245,0.19965599477291107,0.34163498878479004,0.19835256040096283,0.26059964299201965,0.23768767714500427,0.2425539642572403,0.16709429025650024,0.14925788342952728
the,0.48711544275283813,1.0,0.3366847634315491,0.2537761330604553,0.28994160890579224,0.25383174419403076,0.4174870550632477,0.24923589825630188,0.3227543234825134,0.3283970355987549,0.3366847634315491,0.2537761330604553,0.22068053483963013
lack,0.12372270971536636,0.2674623131752014,0.26180464029312134,0.19686730206012726,0.14945851266384125,0.19999897480010986,0.3214116096496582,0.2538347542285919,0.28099721670150757,0.1834772825241089,0.26180464029312134,0.19686730206012726,0.16953514516353607
of,0.4069072902202606,0.733189046382904,0.30323511362075806,0.27455615997314453,0.2895529866218567,0.1398756504058838,0.3792596757411957,0.1872742921113968,0.33036211133003235,0.3482828736305237,0.30323511362075806,0.27455615997314453,0.1826142966747284
accounts,0.22098946571350098,0.20863397419452667,0.19055454432964325,0.17410379648208618,0.13142919540405273,0.19098427891731262,0.30155813694000244,0.13208767771720886,0.26629722118377686,0.16854561865329742,0.19055454432964325,0.17410379648208618,0.32252734899520874
of,0.4069072902202606,0.733189046382904,0.30323511362075806,0.27455615997314453,0.2895529866218567,0.1398756504058838,0.3792596757411957,0.1872742921113968,0.33036211133003235,0.3482828736305237,0.30323511362075806,0.27455615997314453,0.1826142966747284
the,0.48711544275283813,1.0,0.3366847634315491,0.2537761330604553,0.28994160890579224,0.25383174419403076,0.4174870550632477,0.24923589825630188,0.3227543234825134,0.3283970355987549,0.3366847634315491,0.2537761330604553,0.22068053483963013
death,0.28516459465026855,0.21438048779964447,0.34941592812538147,0.2767121493816376,0.14307217299938202,0.13481789827346802,0.09040720015764236,0.11487080156803131,0.08458006381988525,0.04700516536831856,0.34941592812538147,0.2767121493816376,0.21149799227714539
of,0.4069072902202606,0.733189046382904,0.30323511362075806,0.27455615997314453,0.2895529866218567,0.1398756504058838,0.3792596757411957,0.1872742921113968,0.33036211133003235,0.3482828736305237,0.30323511362075806,0.27455615997314453,0.1826142966747284
rats,0.15457850694656372,0.216946080327034,0.4363233745098114,0.34604722261428833,0.2650812864303589,0.17728014290332794,0.24110253155231476,0.19961686432361603,0.24747799336910248,0.12959429621696472,0.4363233745098114,0.34604722261428833,0.08418426662683487
before,0.38607707619667053,0.45900648832321167,0.29486119747161865,0.20913517475128174,0.20284338295459747,0.29558008909225464,0.3352810740470886,0.2565784156322479,0.286297082901001,0.2096414566040039,0.29486119747161865,0.20913517475128174,0.2507109045982361
