,students,show,more,interest,in,classes,taught,by,what,type,of,teachers,?
students,1.0,0.15391837060451508,0.27059733867645264,0.25365766882896423,0.2676171064376831,0.4321373403072357,0.5147935152053833,0.19252489507198334,0.2380729615688324,0.11906036734580994,0.25513339042663574,0.7183375358581543,0.18017297983169556
are,0.2835792899131775,0.26362085342407227,0.4066504240036011,0.22280853986740112,0.3841303884983063,0.2913099527359009,0.15458330512046814,0.37842893600463867,0.29724663496017456,0.24155041575431824,0.39081433415412903,0.2565288841724396,0.24591213464736938
likely,0.19751271605491638,0.24218235909938812,0.4661065638065338,0.2524639666080475,0.21680790185928345,0.1259617805480957,0.10997334122657776,0.22235819697380066,0.4101858139038086,0.20120690762996674,0.2704482078552246,0.11304396390914917,0.35971182584762573
to,0.2905822694301605,0.29833272099494934,0.47084665298461914,0.29384326934814453,0.45010748505592346,0.2503586411476135,0.25677984952926636,0.33534231781959534,0.455847829580307,0.19930607080459595,0.41548454761505127,0.2668606638908386,0.29463258385658264
build,0.1825328767299652,0.1893128603696823,0.29524558782577515,0.2100316286087036,0.26063278317451477,0.17644372582435608,0.14479592442512512,0.15823611617088318,0.27055490016937256,0.20549337565898895,0.22630037367343903,0.20148025453090668,0.1704305112361908
stronger,0.1374104917049408,0.18607915937900543,0.4462660253047943,0.19084899127483368,0.20021474361419678,0.1353704184293747,0.17792119085788727,0.21266263723373413,0.26740801334381104,0.20023520290851593,0.19056105613708496,0.14249840378761292,0.12132075428962708
relations,0.2846711277961731,0.17227008938789368,0.15459491312503815,0.29451388120651245,0.22494478523731232,0.19799304008483887,0.28742337226867676,0.20610614120960236,0.184731587767601,0.05423892289400101,0.272710919380188,0.2687673270702362,0.13942402601242065
with,0.17162418365478516,0.3004990220069885,0.3535402715206146,0.1937357634305954,0.4080928862094879,0.19796571135520935,0.15994487702846527,0.39731505513191223,0.2464839518070221,0.1964726597070694,0.41827285289764404,0.17936164140701294,0.2433311939239502
teachers,0.7183375358581543,0.17230913043022156,0.22816872596740723,0.2429947704076767,0.2128150761127472,0.40751945972442627,0.58847576379776,0.20573484897613525,0.2526462972164154,0.09933348745107651,0.27737662196159363,1.0,0.19522249698638916
who,0.3510516881942749,0.2095358669757843,0.31567877531051636,0.28795894980430603,0.2792111933231354,0.1798713654279709,0.35031798481941223,0.39727845788002014,0.40942975878715515,0.1257498413324356,0.2827862501144409,0.34250906109809875,0.26220351457595825
