,haeckelia,prey,mostly,on,what,animal,?
members,0.16746899485588074,0.19991719722747803,0.21697241067886353,0.22849144041538239,0.16873176395893097,0.16344651579856873,0.10212311148643494
of,0.307922899723053,0.16259106993675232,0.2964755594730377,0.3966929316520691,0.33290785551071167,0.2429264932870865,0.1826142966747284
the,0.24928739666938782,0.2732231020927429,0.3490641117095947,0.5107308030128479,0.42745697498321533,0.2502762973308563,0.22068053483963013
genus,0.44983282685279846,0.33981525897979736,0.16472241282463074,0.0642479881644249,0.10777679085731506,0.23058249056339264,0.1421816647052765
haeckelia,1.0,0.2554682791233063,0.24391189217567444,0.220432311296463,0.28672394156455994,0.24877963960170746,0.23024362325668335
prey,0.2554682791233063,1.0,0.19527770578861237,0.16649864614009857,0.21349354088306427,0.3894936442375183,0.15793472528457642
on,0.220432311296463,0.16649864614009857,0.3382900059223175,0.9999999403953552,0.34226128458976746,0.2100268453359604,0.2714994251728058
jellyfish,0.4020928144454956,0.4972385764122009,0.22515127062797546,0.1282213181257248,0.19957445561885834,0.34005123376846313,0.16284534335136414
and,0.2770765721797943,0.21927660703659058,0.45551156997680664,0.4077630043029785,0.31309178471565247,0.28363606333732605,0.20544172823429108
incorporate,0.1588018238544464,0.09760118275880814,0.14844165742397308,0.22554732859134674,0.27291518449783325,0.140321746468544,0.2177756130695343
their,0.18341240286827087,0.400272935628891,0.3278186619281769,0.3598666191101074,0.35142919421195984,0.2727503478527069,0.1898253709077835
prey,0.2554682791233063,1.0,0.19527770578861237,0.16649864614009857,0.21349354088306427,0.3894936442375183,0.15793472528457642
's,0.032829660922288895,0.05851830169558525,0.12171249091625214,0.0026888418942689896,0.02692362666130066,0.12318587303161621,-0.023395681753754616
nematocysts,0.3945496380329132,0.5842141509056091,0.3058318495750427,0.18412181735038757,0.23919658362865448,0.39802250266075134,0.2249772846698761
(,0.2527052164077759,0.0782286748290062,0.21308210492134094,0.28656116127967834,0.2411840260028839,0.16953758895397186,0.40561532974243164
stinging,0.30248722434043884,0.5631694793701172,0.2891060709953308,0.19628697633743286,0.23266787827014923,0.42146313190460205,0.1810075342655182
cells,0.3851640522480011,0.2766021192073822,0.18619559705257416,0.14727668464183807,0.1758001297712326,0.30846908688545227,0.1898086667060852
),0.24486282467842102,0.06634737551212311,0.2386501282453537,0.29937487840652466,0.26259949803352356,0.17377310991287231,0.42300865054130554
into,0.1894187033176422,0.21212105453014374,0.1453588455915451,0.30585673451423645,0.2180619090795517,0.1752668172121048,0.15662476420402527
their,0.18341240286827087,0.400272935628891,0.3278186619281769,0.3598666191101074,0.35142919421195984,0.2727503478527069,0.1898253709077835
own,0.16656428575515747,0.20988599956035614,0.23873528838157654,0.305448979139328,0.35062843561172485,0.19150041043758392,0.1937696635723114
tentacles,0.2973722219467163,0.5000530481338501,0.17489705979824066,0.22140857577323914,0.17259258031845093,0.3169682025909424,0.15145425498485565
instead,0.19588682055473328,0.22733305394649506,0.30847540497779846,0.3444349467754364,0.4104403555393219,0.21081125736236572,0.2942638397216797
of,0.307922899723053,0.16259106993675232,0.2964755594730377,0.3966929316520691,0.33290785551071167,0.2429264932870865,0.1826142966747284
colloblasts,0.39741989970207214,0.26033806800842285,0.2971731126308441,0.2383861094713211,0.25280773639678955,0.24547992646694183,0.20071622729301453
.,0.34629738330841064,0.16321569681167603,0.3207794427871704,0.49257001280784607,0.3567904531955719,0.2140108346939087,0.4130953550338745
