,what,pushed,up,the,pyrenees,?
several,0.22446060180664062,0.1985710859298706,0.2875290513038635,0.40559855103492737,0.2378515750169754,0.15595775842666626
microplates,0.2719307243824005,0.2363339364528656,0.2769382894039154,0.3150313198566437,0.16282503306865692,0.23344238102436066
were,0.22298263013362885,0.2491251826286316,0.29601457715034485,0.3906462490558624,0.2078877091407776,0.17890112102031708
caught,0.19015973806381226,0.27873194217681885,0.27153462171554565,0.2087310254573822,0.1709403246641159,0.20266211032867432
in,0.30808621644973755,0.16919030249118805,0.3120773434638977,0.6662389636039734,0.23907256126403809,0.20430970191955566
the,0.42745697498321533,0.3394152522087097,0.38423117995262146,1.0,0.33046674728393555,0.22068053483963013
squeeze,0.28991928696632385,0.3692367374897003,0.3226911723613739,0.23718300461769104,0.1623683124780655,0.18890054523944855
and,0.31309178471565247,0.28285926580429077,0.4032393991947174,0.5171257257461548,0.23341646790504456,0.20544172823429108
rotated,0.21268752217292786,0.3376763164997101,0.20307643711566925,0.28645768761634827,0.15538842976093292,0.09326861798763275
or,0.33867141604423523,0.21882043778896332,0.28756099939346313,0.4174870550632477,0.21900761127471924,0.32389625906944275
were,0.22298263013362885,0.2491251826286316,0.29601457715034485,0.3906462490558624,0.2078877091407776,0.17890112102031708
pushed,0.24479293823242188,1.0,0.3265756070613861,0.3394152522087097,0.21089965105056763,0.10158352553844452
laterally,0.23155911266803741,0.2377507984638214,0.1976773589849472,0.344184935092926,0.25459587574005127,0.15653516352176666
",",0.3087472915649414,0.22971470654010773,0.34193792939186096,0.4933079481124878,0.21258093416690826,0.31091248989105225
generating,0.22770389914512634,0.1873999536037445,0.27221012115478516,0.24966508150100708,0.07991981506347656,0.20393006503582
the,0.42745697498321533,0.3394152522087097,0.38423117995262146,1.0,0.33046674728393555,0.22068053483963013
individual,0.34021541476249695,0.12074796855449677,0.2357223480939865,0.3706541955471039,0.10558727383613586,0.2058374285697937
features,0.20126673579216003,0.17320723831653595,0.20090122520923615,0.29863014817237854,0.14412368834018707,0.23497378826141357
of,0.33290785551071167,0.24163289368152618,0.32945773005485535,0.733189046382904,0.2696080803871155,0.1826142966747284
mediterranean,0.18149876594543457,0.16385816037654877,0.07484989613294601,0.33625227212905884,0.4569719731807709,0.15430885553359985
geography,0.28860387206077576,0.12146220356225967,0.15906278789043427,0.20259734988212585,0.24167382717132568,0.17832398414611816
:,-0.12022944539785385,-0.045517828315496445,-0.053053371608257294,-0.03403344005346298,0.009406031109392643,-0.07156077772378922
iberia,0.15775369107723236,0.1633327752351761,0.11680832505226135,0.27008959650993347,0.4057682156562805,0.1888108253479004
pushed,0.24479293823242188,1.0,0.3265756070613861,0.3394152522087097,0.21089965105056763,0.10158352553844452
up,0.28591108322143555,0.3265756070613861,1.0000001192092896,0.38423117995262146,0.13448330760002136,0.1819818764925003
the,0.42745697498321533,0.3394152522087097,0.38423117995262146,1.0,0.33046674728393555,0.22068053483963013
pyrenees,0.19550085067749023,0.21089965105056763,0.13448330760002136,0.33046674728393555,0.9999999403953552,0.15335507690906525
;,0.10986888408660889,0.001142724184319377,-0.028705401346087456,0.09152708947658539,0.06450403481721878,0.10349778085947037
italy,0.16949890553951263,0.18674015998840332,0.13005085289478302,0.2633645832538605,0.31880122423171997,0.11567100137472153
",",0.3087472915649414,0.22971470654010773,0.34193792939186096,0.4933079481124878,0.21258093416690826,0.31091248989105225
the,0.42745697498321533,0.3394152522087097,0.38423117995262146,1.0,0.33046674728393555,0.22068053483963013
alps,0.12007275223731995,0.197334423661232,0.16005240380764008,0.315137654542923,0.4731884300708771,0.07792776823043823
",",0.3087472915649414,0.22971470654010773,0.34193792939186096,0.4933079481124878,0.21258093416690826,0.31091248989105225
and,0.31309178471565247,0.28285926580429077,0.4032393991947174,0.5171257257461548,0.23341646790504456,0.20544172823429108
anatolia,0.22850893437862396,0.1933274269104004,0.1363980919122696,0.2979101240634918,0.3661513328552246,0.13391660153865814
",",0.3087472915649414,0.22971470654010773,0.34193792939186096,0.4933079481124878,0.21258093416690826,0.31091248989105225
moving,0.3154623508453369,0.4325177073478699,0.33924806118011475,0.34510132670402527,0.1653660237789154,0.21667467057704926
west,0.1946573108434677,0.13656777143478394,0.18261216580867767,0.32918402552604675,0.3521285653114319,0.12088293582201004
",",0.3087472915649414,0.22971470654010773,0.34193792939186096,0.4933079481124878,0.21258093416690826,0.31091248989105225
the,0.42745697498321533,0.3394152522087097,0.38423117995262146,1.0,0.33046674728393555,0.22068053483963013
mountains,0.1498076319694519,0.227908194065094,0.20150098204612732,0.27269288897514343,0.5137404203414917,0.08633821457624435
of,0.33290785551071167,0.24163289368152618,0.32945773005485535,0.733189046382904,0.2696080803871155,0.1826142966747284
greece,0.14225120842456818,0.08441179245710373,0.12672853469848633,0.26573094725608826,0.30340898036956787,0.10547919571399689
and,0.31309178471565247,0.28285926580429077,0.4032393991947174,0.5171257257461548,0.23341646790504456,0.20544172823429108
the,0.42745697498321533,0.3394152522087097,0.38423117995262146,1.0,0.33046674728393555,0.22068053483963013
islands,0.12194207310676575,0.16026313602924347,0.19731807708740234,0.27959951758384705,0.2512892782688141,0.11824353039264679
.,0.3567904531955719,0.2080259770154953,0.351434588432312,0.5934505462646484,0.17674948275089264,0.4130953550338745
