,what,is,another,term,for,the,pivot,mounting,?
instead,0.4104403555393219,0.3180348575115204,0.3453333079814911,0.25048768520355225,0.4413341283798218,0.3940567970275879,0.2676504850387573,0.24136655032634735,0.2942638397216797
of,0.33290785551071167,0.4854315221309662,0.38147079944610596,0.26047757267951965,0.4185989499092102,0.733189046382904,0.27355581521987915,0.2874223291873932,0.1826142966747284
valves,0.21307212114334106,0.22393418848514557,0.21201466023921967,0.11948089301586151,0.12008462101221085,0.23917143046855927,0.3408128619194031,0.1895626038312912,0.1826052963733673
",",0.3087472915649414,0.4691906273365021,0.3283841907978058,0.21599270403385162,0.4464869201183319,0.4933079481124878,0.2366001158952713,0.2634623348712921,0.31091248989105225
the,0.42745697498321533,0.5823672413825989,0.5019711852073669,0.2740369141101837,0.4739971458911896,1.0,0.3556489944458008,0.3319452106952667,0.22068053483963013
entire,0.37562522292137146,0.31832677125930786,0.3717258870601654,0.22448845207691193,0.30485764145851135,0.4870373010635376,0.3278627097606659,0.2546336352825165,0.17068447172641754
cylinder,0.09421046078205109,0.19112510979175568,0.18818378448486328,0.1815960705280304,0.16607409715652466,0.19659645855426788,0.2937965989112854,0.27497315406799316,0.12323369085788727
rocks,0.24802041053771973,0.23288390040397644,0.20755961537361145,0.18097926676273346,0.16357912123203278,0.24413059651851654,0.30097341537475586,0.2853972315788269,0.17394492030143738
",",0.3087472915649414,0.4691906273365021,0.3283841907978058,0.21599270403385162,0.4464869201183319,0.4933079481124878,0.2366001158952713,0.2634623348712921,0.31091248989105225
or,0.33867141604423523,0.41870999336242676,0.4401204288005829,0.34949591755867004,0.4111599624156952,0.4174870550632477,0.35578131675720215,0.26215505599975586,0.32389625906944275
oscillates,0.2807577848434448,0.28932473063468933,0.2806542217731476,0.240575909614563,0.18787464499473572,0.2899077236652374,0.3956354856491089,0.2624186873435974,0.18758563697338104
",",0.3087472915649414,0.4691906273365021,0.3283841907978058,0.21599270403385162,0.4464869201183319,0.4933079481124878,0.2366001158952713,0.2634623348712921,0.31091248989105225
such,0.23989605903625488,0.23545363545417786,0.268036812543869,0.21969899535179138,0.36098620295524597,0.3575236201286316,0.24271975457668304,0.25221845507621765,0.17851735651493073
that,0.6297725439071655,0.3995479643344879,0.5273378491401672,0.2833994925022125,0.4137635827064514,0.5473989248275757,0.38007837533950806,0.282399445772171,0.32716336846351624
one,0.376489520072937,0.4544198513031006,0.5444791913032532,0.20483051240444183,0.384836345911026,0.5514441132545471,0.3568412661552429,0.2546969950199127,0.2673267424106598
or,0.33867141604423523,0.41870999336242676,0.4401204288005829,0.34949591755867004,0.4111599624156952,0.4174870550632477,0.35578131675720215,0.26215505599975586,0.32389625906944275
more,0.3484537899494171,0.2946030795574188,0.4338461756706238,0.2468089461326599,0.3891189992427826,0.39758381247520447,0.25501230359077454,0.28288787603378296,0.27894994616508484
holes,0.18916402757167816,0.17948907613754272,0.22849464416503906,0.1579371988773346,0.2154911756515503,0.2561991512775421,0.33499667048454285,0.24395889043807983,0.16975146532058716
in,0.30808621644973755,0.5394441485404968,0.3397690951824188,0.27866655588150024,0.4322226941585541,0.6662389636039734,0.23470795154571533,0.21415366232395172,0.20430970191955566
the,0.42745697498321533,0.5823672413825989,0.5019711852073669,0.2740369141101837,0.4739971458911896,1.0,0.3556489944458008,0.3319452106952667,0.22068053483963013
cylinder,0.09421046078205109,0.19112510979175568,0.18818378448486328,0.1815960705280304,0.16607409715652466,0.19659645855426788,0.2937965989112854,0.27497315406799316,0.12323369085788727
line,0.2245367169380188,0.19879867136478424,0.22005698084831238,0.07405126094818115,0.2019100785255432,0.29789501428604126,0.21891827881336212,0.21270225942134857,0.16271452605724335
up,0.28591108322143555,0.2853454053401947,0.30968350172042847,0.12385809421539307,0.342966228723526,0.38423117995262146,0.2701624631881714,0.1725119650363922,0.1819818764925003
with,0.2464839518070221,0.3250955045223236,0.359900563955307,0.18053050339221954,0.39140474796295166,0.4223487675189972,0.23606088757514954,0.2668156623840332,0.2433311939239502
holes,0.18916402757167816,0.17948907613754272,0.22849464416503906,0.1579371988773346,0.2154911756515503,0.2561991512775421,0.33499667048454285,0.24395889043807983,0.16975146532058716
in,0.30808621644973755,0.5394441485404968,0.3397690951824188,0.27866655588150024,0.4322226941585541,0.6662389636039734,0.23470795154571533,0.21415366232395172,0.20430970191955566
a,0.3320399522781372,0.658733606338501,0.6191956996917725,0.3080509603023529,0.44038116931915283,0.5829201340675354,0.35040491819381714,0.2872787415981293,0.23916715383529663
fixed,0.255135715007782,0.19544963538646698,0.23000678420066833,0.13180211186408997,0.19920459389686584,0.27127328515052795,0.2837720215320587,0.22354361414909363,0.2728462815284729
port,0.1327695995569229,0.26270607113838196,0.20355242490768433,0.1535034328699112,0.15345950424671173,0.2648184895515442,0.2666977345943451,0.12937839329242706,0.06519711017608643
face,0.227594256401062,0.2126556932926178,0.21575269103050232,0.1331576406955719,0.19529861211776733,0.2601291239261627,0.23559200763702393,0.27018725872039795,0.12476722151041031
or,0.33867141604423523,0.41870999336242676,0.4401204288005829,0.34949591755867004,0.4111599624156952,0.4174870550632477,0.35578131675720215,0.26215505599975586,0.32389625906944275
in,0.30808621644973755,0.5394441485404968,0.3397690951824188,0.27866655588150024,0.4322226941585541,0.6662389636039734,0.23470795154571533,0.21415366232395172,0.20430970191955566
the,0.42745697498321533,0.5823672413825989,0.5019711852073669,0.2740369141101837,0.4739971458911896,1.0,0.3556489944458008,0.3319452106952667,0.22068053483963013
pivot,0.32640883326530457,0.34782150387763977,0.31080278754234314,0.24686843156814575,0.30522438883781433,0.3556489944458008,0.9999999403953552,0.34025031328201294,0.1810339093208313
mounting,0.23100295662879944,0.20025472342967987,0.2547775208950043,0.21626512706279755,0.2982681393623352,0.3319452106952667,0.34025031328201294,1.0,0.11803524941205978
(,0.2411840260028839,0.35393038392066956,0.2500171959400177,0.16755855083465576,0.3357032239437103,0.33289089798927307,0.14126084744930267,0.15467949211597443,0.40561532974243164
trunnion,0.2941541075706482,0.3418252766132355,0.31044235825538635,0.23890362679958344,0.23776361346244812,0.3707965612411499,0.4053160846233368,0.25559258460998535,0.2302783727645874
),0.26259949803352356,0.37732169032096863,0.2743632197380066,0.14937621355056763,0.3639558255672455,0.3456730246543884,0.16760528087615967,0.17481525242328644,0.42300865054130554
.,0.3567904531955719,0.4569662809371948,0.3817248046398163,0.18456575274467468,0.4726039469242096,0.5934505462646484,0.26684388518333435,0.20987047255039215,0.4130953550338745
