,inflammation,occurs,during,sleep,times,because,of,the,presence,of,what,molecule,?
second,0.12226057797670364,0.19409099221229553,0.3398754596710205,0.1359141767024994,0.24258649349212646,0.2534537613391876,0.353416383266449,0.4620301127433777,0.13324318826198578,0.353416383266449,0.19948028028011322,0.1639774739742279,0.17239587008953094
",",0.21966072916984558,0.2801711857318878,0.3225448727607727,0.22850069403648376,0.2897866368293762,0.372031033039093,0.4946078956127167,0.4933079481124878,0.21457527577877045,0.4946078956127167,0.3087472915649414,0.16086536645889282,0.31091248989105225
inflammation,0.9999999403953552,0.4122486114501953,0.25477415323257446,0.36696234345436096,0.09059539437294006,0.2604886293411255,0.24866501986980438,0.2567841410636902,0.3023970425128937,0.24866501986980438,0.24853453040122986,0.4219600558280945,0.2187519371509552
may,0.3544425964355469,0.2858814001083374,0.24263088405132294,0.19290754199028015,0.22239290177822113,0.2774706780910492,0.26447007060050964,0.2694292366504669,0.222115159034729,0.26447007060050964,0.25739946961402893,0.17892597615718842,0.2768254578113556
occur,0.434195876121521,0.7793484926223755,0.29609251022338867,0.3005731403827667,0.17967745661735535,0.3185916543006897,0.24223870038986206,0.26611819863319397,0.2847687005996704,0.24223870038986206,0.2129514068365097,0.2577541470527649,0.17999543249607086
during,0.25477415323257446,0.3328857719898224,1.0,0.25961247086524963,0.36593833565711975,0.4070228338241577,0.3869180977344513,0.4838213622570038,0.24668066203594208,0.3869180977344513,0.24137552082538605,0.1382828652858734,0.1325719803571701
sleep,0.36696234345436096,0.2531106770038605,0.25961247086524963,0.9999999403953552,0.13195091485977173,0.19747309386730194,0.20480428636074066,0.20454104244709015,0.11610005795955658,0.20480428636074066,0.21082337200641632,0.14452408254146576,0.20425266027450562
times,0.09059539437294006,0.1831110417842865,0.36593833565711975,0.13195091485977173,1.0,0.3253556191921234,0.24352745711803436,0.29093852639198303,0.18829654157161713,0.24352745711803436,0.21414996683597565,0.1544492542743683,0.18880689144134521
due,0.23396573960781097,0.26576995849609375,0.2717488408088684,0.1275288611650467,0.1784268468618393,0.50762939453125,0.2533245384693146,0.22577603161334991,0.2458963394165039,0.2533245384693146,0.15204688906669617,0.14455774426460266,0.10954997688531876
to,0.23084807395935059,0.17478640377521515,0.2828781306743622,0.22335325181484222,0.32875269651412964,0.5166091918945312,0.41548454761505127,0.535392165184021,0.3215413987636566,0.41548454761505127,0.455847829580307,0.2560041546821594,0.29463258385658264
the,0.2567841410636902,0.30771008133888245,0.4838213622570038,0.20454104244709015,0.29093852639198303,0.44596394896507263,0.733189046382904,1.0,0.34114351868629456,0.733189046382904,0.42745697498321533,0.24164284765720367,0.22068053483963013
presence,0.3023970425128937,0.2454334795475006,0.24668066203594208,0.11610005795955658,0.18829654157161713,0.31033989787101746,0.2917717397212982,0.34114351868629456,0.9999999403953552,0.2917717397212982,0.24428647756576538,0.2977553904056549,0.08592845499515533
of,0.24866501986980438,0.24937129020690918,0.3869180977344513,0.20480428636074066,0.24352745711803436,0.4075504541397095,1.0,0.733189046382904,0.2917717397212982,1.0,0.33290785551071167,0.24491971731185913,0.1826142966747284
melatonin,0.5031426548957825,0.2570321261882782,0.22694647312164307,0.4022705554962158,0.1117810308933258,0.25719451904296875,0.27170878648757935,0.31908950209617615,0.2814846336841583,0.27170878648757935,0.2530684769153595,0.3962754011154175,0.17366556823253632
.,0.2382277250289917,0.1716700792312622,0.3485563397407532,0.25573426485061646,0.2891986668109894,0.45765790343284607,0.5352458953857422,0.5934505462646484,0.19082973897457123,0.5352458953857422,0.3567904531955719,0.24118401110172272,0.4130953550338745
