,how,long,did,plague,last,in,the,ottoman,empire,?
plague,0.16610242426395416,0.12461181730031967,0.1901843398809433,0.9999999403953552,0.1814889907836914,0.2488756626844406,0.2537761330604553,0.25837182998657227,0.28419533371925354,0.11872942000627518
remained,0.09373094886541367,0.19804318249225616,0.371289998292923,0.1111476868391037,0.30199819803237915,0.30947351455688477,0.3492392301559448,0.23068349063396454,0.22809278964996338,0.08263323456048965
a,0.29312583804130554,0.3795371353626251,0.2552328109741211,0.22077761590480804,0.2864423990249634,0.539380669593811,0.5829201340675354,0.15384846925735474,0.1900206059217453,0.23916715383529663
major,0.12500809133052826,0.1498563438653946,0.20997437834739685,0.1585586667060852,0.229953333735466,0.3249945342540741,0.31775903701782227,0.12047941237688065,0.1665656566619873,0.19788557291030884
event,0.1736278086900711,0.21647603809833527,0.17957442998886108,0.17992720007896423,0.22930040955543518,0.27304479479789734,0.2960145175457001,0.13760432600975037,0.17348310351371765,0.16076280176639557
in,0.2601168751716614,0.2759332060813904,0.2593238651752472,0.2488756626844406,0.30714505910873413,1.0,0.6662389636039734,0.17080391943454742,0.24110576510429382,0.20430970191955566
ottoman,0.11808605492115021,0.10159239917993546,0.18248897790908813,0.25837182998657227,0.19887633621692657,0.17080391943454742,0.2623080313205719,0.9999999403953552,0.5869483351707458,0.14455440640449524
society,0.2293161153793335,0.11108305305242538,0.18197309970855713,0.21582041680812836,0.13152042031288147,0.21229879558086395,0.2789285480976105,0.10468798130750656,0.24018749594688416,0.1373005360364914
until,0.1887991726398468,0.25296199321746826,0.33905428647994995,0.18395349383354187,0.38339319825172424,0.38338494300842285,0.37191009521484375,0.19446326792240143,0.24648873507976532,0.20304496586322784
the,0.33890387415885925,0.3075225353240967,0.34736719727516174,0.2537761330604553,0.3698786795139313,0.6662389636039734,1.0,0.2623080313205719,0.32532164454460144,0.22068053483963013
second,0.16459402441978455,0.25551390647888184,0.20727969706058502,0.17621594667434692,0.42563509941101074,0.34510284662246704,0.4620301127433777,0.1597224473953247,0.22846785187721252,0.17239587008953094
quarter,0.16386651992797852,0.18798097968101501,0.13370782136917114,0.19801627099514008,0.2207430750131607,0.2899305522441864,0.3659466803073883,0.2712508738040924,0.24314096570014954,0.1356993168592453
of,0.2480744868516922,0.2567519545555115,0.2513895630836487,0.27455615997314453,0.3052992522716522,0.5696388483047485,0.733189046382904,0.239910289645195,0.30522286891937256,0.1826142966747284
the,0.33890387415885925,0.3075225353240967,0.34736719727516174,0.2537761330604553,0.3698786795139313,0.6662389636039734,1.0,0.2623080313205719,0.32532164454460144,0.22068053483963013
19th,0.15654316544532776,0.12428990006446838,0.11936882883310318,0.1317800134420395,0.14506672322750092,0.15408828854560852,0.24964287877082825,0.03688318282365799,0.055235907435417175,0.004712673369795084
century,0.1569085419178009,0.12708476185798645,0.2333737462759018,0.32605451345443726,0.2742094397544861,0.3174034655094147,0.3617299497127533,0.35807204246520996,0.3632965385913849,0.1026201918721199
.,0.3287222981452942,0.3247973620891571,0.35288307070732117,0.2547653317451477,0.3548945486545563,0.5591574311256409,0.5934505462646484,0.2524917721748352,0.2811720371246338,0.4130953550338745
