,what,properties,are,analyzed,with,a,conoscopic,lens,by,petrologists,?
in,0.30808621644973755,0.19315902888774872,0.3841303884983063,0.21864107251167297,0.4080928862094879,0.539380669593811,0.23185504972934723,0.2039916068315506,0.370934396982193,0.2137315720319748,0.20430970191955566
an,0.2821882665157318,0.22164952754974365,0.1556541919708252,0.24383887648582458,0.2730048894882202,0.44552403688430786,0.24105994403362274,0.19859883189201355,0.2719563841819763,0.21739022433757782,0.19793890416622162
optical,0.22512708604335785,0.33574435114860535,0.2227756679058075,0.3927859365940094,0.16278377175331116,0.23091289401054382,0.40164604783058167,0.4551796019077301,0.19709117710590363,0.21053728461265564,0.1144736036658287
mineralogy,0.23280811309814453,0.3590313792228699,0.2214362770318985,0.3829196095466614,0.17563213407993317,0.20854789018630981,0.36995452642440796,0.17043966054916382,0.11676476895809174,0.3771355152130127,0.2055518925189972
analysis,0.2842639982700348,0.2568920850753784,0.232616126537323,0.6649251580238342,0.17961592972278595,0.26785340905189514,0.31586217880249023,0.20619633793830872,0.17521482706069946,0.3217929005622864,0.15352053940296173
",",0.3087472915649414,0.21241174638271332,0.4062570035457611,0.17439183592796326,0.4120737314224243,0.427140474319458,0.22733476758003235,0.20018211007118225,0.3680937886238098,0.2381996214389801,0.31091248989105225
thin,0.20593488216400146,0.22609950602054596,0.2972051799297333,0.23845124244689941,0.2566887140274048,0.3303229808807373,0.4032607972621918,0.34154918789863586,0.20034094154834747,0.17345944046974182,0.18669506907463074
sections,0.29098522663116455,0.22154755890369415,0.3428250849246979,0.16426783800125122,0.2728218138217926,0.277556836605072,0.23000814020633698,0.19412861764431,0.1566195785999298,0.20209212601184845,0.2495482712984085
of,0.33290785551071167,0.2832101881504059,0.39081433415412903,0.21299321949481964,0.41827285289764404,0.5052502155303955,0.2831384837627411,0.22899305820465088,0.3646814823150635,0.2154196947813034,0.1826142966747284
rock,0.1923677921295166,0.2014910727739334,0.2232755869626999,0.16139334440231323,0.1656847447156906,0.25165656208992004,0.1879260390996933,0.1158103197813034,0.20411992073059082,0.2001747339963913,0.13172835111618042
