,what,type,of,movement,is,the,muslim,brotherhood,?
islamist,0.17762082815170288,0.09872180223464966,0.19512814283370972,0.3665052652359009,0.16276392340660095,0.2459319531917572,0.6390535831451416,0.427336186170578,0.14697067439556122
movements,0.23197974264621735,0.14660808444023132,0.24170123040676117,0.8651208281517029,0.1564955711364746,0.31594985723495483,0.2667117714881897,0.30064424872398376,0.1501890867948532
such,0.23989605903625488,0.2636772096157074,0.3209529519081116,0.1976577490568161,0.23545363545417786,0.3575236201286316,0.16065463423728943,0.22414007782936096,0.17851735651493073
as,0.31749409437179565,0.19307732582092285,0.3886612355709076,0.22513282299041748,0.43216490745544434,0.48381632566452026,0.22233983874320984,0.22813482582569122,0.27043893933296204
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.339571475982666,0.5823672413825989,1.0,0.28099653124809265,0.2368839830160141,0.22068053483963013
muslim,0.2631456255912781,0.01690736971795559,0.267849862575531,0.3103686273097992,0.18165594339370728,0.28099653124809265,1.0,0.41785529255867004,0.17456822097301483
brotherhood,0.168807253241539,0.046130966395139694,0.2067413628101349,0.340337872505188,0.16092538833618164,0.2368839830160141,0.41785529255867004,0.9999998807907104,0.1117945984005928
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.1862073689699173,0.4691906273365021,0.4933079481124878,0.21974200010299683,0.21324464678764343,0.31091248989105225
``,0.008517155423760414,0.03534303233027458,0.06780257821083069,0.12191136181354523,0.058766357600688934,0.029072100296616554,0.1470780074596405,-0.030100610107183456,0.0685480609536171
are,0.29724663496017456,0.24155041575431824,0.39081433415412903,0.1714496910572052,0.5330929756164551,0.40399202704429626,0.19271345436573029,0.19225813448429108,0.24591213464736938
well,0.4154493808746338,0.18039114773273468,0.3343164324760437,0.22969669103622437,0.33406564593315125,0.42630070447921753,0.21200791001319885,0.1805972158908844,0.24815571308135986
known,0.20381177961826324,0.15942366421222687,0.35814476013183594,0.21515174210071564,0.41921812295913696,0.3624623417854309,0.169891819357872,0.16414982080459595,0.18314571678638458
for,0.3017193675041199,0.20848464965820312,0.4185989499092102,0.1841055154800415,0.43268078565597534,0.4739971458911896,0.21262682974338531,0.21096177399158478,0.264628142118454
providing,0.21766136586666107,0.20639026165008545,0.24403119087219238,0.16275659203529358,0.27256250381469727,0.29839932918548584,0.16536299884319305,0.23995248973369598,0.1936793476343155
shelters,0.2443581372499466,0.17270053923130035,0.2133859097957611,0.18068262934684753,0.1740807294845581,0.23867706954479218,0.20070497691631317,0.2249099165201187,0.16473335027694702
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.1862073689699173,0.4691906273365021,0.4933079481124878,0.21974200010299683,0.21324464678764343,0.31091248989105225
educational,0.2158561795949936,0.11696594953536987,0.3187834620475769,0.21742670238018036,0.22074756026268005,0.22737358510494232,0.24978484213352203,0.24282754957675934,0.20904642343521118
assistance,0.21387380361557007,0.08496265113353729,0.17943856120109558,0.1811797171831131,0.09867464005947113,0.19771957397460938,0.17709414660930634,0.20535360276699066,0.14602699875831604
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.1862073689699173,0.4691906273365021,0.4933079481124878,0.21974200010299683,0.21324464678764343,0.31091248989105225
free,0.22754132747650146,0.15372367203235626,0.2430545836687088,0.17103612422943115,0.2297741025686264,0.22231732308864594,0.13522514700889587,0.13829518854618073,0.1278279572725296
or,0.33867141604423523,0.38183850049972534,0.3792596757411957,0.2641308009624481,0.41870999336242676,0.4174870550632477,0.24162378907203674,0.20390009880065918,0.32389625906944275
low,0.20743566751480103,0.22739683091640472,0.27171993255615234,0.18744516372680664,0.19289205968379974,0.2544175982475281,0.14820411801338196,0.10079549252986908,0.10658930987119675
cost,0.210266575217247,0.18680182099342346,0.23332229256629944,0.10782983154058456,0.21065181493759155,0.23177006840705872,0.15374961495399475,0.09796439111232758,0.17823095619678497
medical,0.2389855533838272,0.053759947419166565,0.2826511859893799,0.14135023951530457,0.22198186814785004,0.2398311346769333,0.24885132908821106,0.17228449881076813,0.13234087824821472
clinics,0.20099933445453644,0.09214433282613754,0.21459344029426575,0.15534041821956635,0.14037863910198212,0.21555426716804504,0.18208014965057373,0.1874091476202011,0.14777065813541412
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.1862073689699173,0.4691906273365021,0.4933079481124878,0.21974200010299683,0.21324464678764343,0.31091248989105225
housing,0.14871764183044434,0.062281928956508636,0.2954002916812897,0.17008797824382782,0.19461371004581451,0.24837790429592133,0.23340682685375214,0.2405315339565277,0.11872038245201111
assistance,0.21387380361557007,0.08496265113353729,0.17943856120109558,0.1811797171831131,0.09867464005947113,0.19771957397460938,0.17709414660930634,0.20535360276699066,0.14602699875831604
to,0.455847829580307,0.19930607080459595,0.41548454761505127,0.2780168950557709,0.42745086550712585,0.535392165184021,0.2551989257335663,0.21977385878562927,0.29463258385658264
students,0.2380729615688324,0.11906036734580994,0.25513339042663574,0.14928759634494781,0.2124544233083725,0.25268980860710144,0.28376346826553345,0.18218059837818146,0.18017297983169556
from,0.2737620174884796,0.1559610366821289,0.4249346852302551,0.23928771913051605,0.27355384826660156,0.40150508284568787,0.14690551161766052,0.1108299195766449,0.19969791173934937
out,0.3633197546005249,0.18749801814556122,0.34176841378211975,0.18235041201114655,0.2817855477333069,0.39404502511024475,0.20520347356796265,0.19660624861717224,0.22020699083805084
of,0.33290785551071167,0.18112817406654358,1.0,0.2662941515445709,0.4854315221309662,0.733189046382904,0.267849862575531,0.2067413628101349,0.1826142966747284
town,0.19713185727596283,0.034872543066740036,0.26585668325424194,0.12437362968921661,0.30097827315330505,0.2974243760108948,0.16239890456199646,0.1770368069410324,0.09902279824018478
