,when,did,mongke,khan,become,great,khan,?
möngke,0.22942474484443665,0.2022724449634552,0.6427226662635803,0.3151819407939911,0.18125946819782257,0.16448606550693512,0.3151819407939911,0.25006192922592163
khan,0.16355718672275543,0.155345618724823,0.4832756519317627,1.0,0.11089524626731873,0.22385743260383606,1.0,0.12862591445446014
succeeded,0.24497203528881073,0.22779136896133423,0.24892280995845795,0.21521282196044922,0.19908714294433594,0.19463631510734558,0.21521282196044922,0.12414717674255371
ögedei,0.23669065535068512,0.2727532982826233,0.5268194675445557,0.43523725867271423,0.27536913752555847,0.3142029941082001,0.43523725867271423,0.20177854597568512
's,-0.03368149697780609,0.05069678649306297,0.0372445322573185,0.05307086929678917,-0.06629510223865509,-0.014279589988291264,0.05307086929678917,-0.023395681753754616
son,0.24222131073474884,0.22313499450683594,0.31113293766975403,0.27596136927604675,0.20150725543498993,0.19783511757850647,0.27596136927604675,0.14735563099384308
",",0.36674630641937256,0.3015086054801941,0.3386213481426239,0.19700400531291962,0.29676204919815063,0.29579275846481323,0.19700400531291962,0.31091248989105225
güyük,0.12278231978416443,0.11588960140943527,0.49902766942977905,0.28848403692245483,0.15706497430801392,0.14464324712753296,0.28848403692245483,0.19520989060401917
",",0.36674630641937256,0.3015086054801941,0.3386213481426239,0.19700400531291962,0.29676204919815063,0.29579275846481323,0.19700400531291962,0.31091248989105225
as,0.4437963366508484,0.3596470057964325,0.22500713169574738,0.22500167787075043,0.36734503507614136,0.18627990782260895,0.22500167787075043,0.27043893933296204
great,0.2342798113822937,0.2083706259727478,0.2057863175868988,0.22385743260383606,0.18103040754795074,1.0,0.22385743260383606,0.13135133683681488
khan,0.16355718672275543,0.155345618724823,0.4832756519317627,1.0,0.11089524626731873,0.22385743260383606,1.0,0.12862591445446014
in,0.4431333839893341,0.2593238651752472,0.2523330748081207,0.1527150720357895,0.23238378763198853,0.23348836600780487,0.1527150720357895,0.20430970191955566
1251,0.009728612378239632,0.0640554130077362,0.1705378144979477,0.035235270857810974,0.0006366719608195126,-0.0061640371568500996,0.035235270857810974,-0.0584850087761879
.,0.475719153881073,0.35288307070732117,0.2765486538410187,0.19819748401641846,0.32859939336776733,0.2178412526845932,0.19819748401641846,0.4130953550338745
