,how,long,was,warsaw,the,capital,of,the,polish-lithuanian,commonwealth,?
warsaw,0.13025455176830292,0.11493027210235596,0.2614976763725281,1.0,0.23137180507183075,0.15139155089855194,0.19253842532634735,0.23137180507183075,0.5660087466239929,0.2659563720226288,0.09769917279481888
remained,0.09373094886541367,0.19804318249225616,0.49345076084136963,0.20149919390678406,0.3492392301559448,0.19183984398841858,0.35287612676620483,0.3492392301559448,0.23697644472122192,0.2601328492164612,0.08263323456048965
the,0.33890387415885925,0.3075225353240967,0.48711544275283813,0.23137180507183075,1.0,0.3049491047859192,0.733189046382904,1.0,0.30838483572006226,0.3297852873802185,0.22068053483963013
capital,0.10716020315885544,0.09177053719758987,0.21907466650009155,0.15139155089855194,0.3049491047859192,0.9999999403953552,0.30823585391044617,0.3049491047859192,0.19940443336963654,0.30710211396217346,0.0907452180981636
of,0.2480744868516922,0.2567519545555115,0.4069072902202606,0.19253842532634735,0.733189046382904,0.30823585391044617,1.0,0.733189046382904,0.3035924732685089,0.3000677525997162,0.1826142966747284
the,0.33890387415885925,0.3075225353240967,0.48711544275283813,0.23137180507183075,1.0,0.3049491047859192,0.733189046382904,1.0,0.30838483572006226,0.3297852873802185,0.22068053483963013
polish–lithuanian,0.21952855587005615,0.13755924999713898,0.2848982512950897,0.5739424228668213,0.35509294271469116,0.23667581379413605,0.35474205017089844,0.35509294271469116,0.9886502027511597,0.4962659180164337,0.1877656877040863
commonwealth,0.14836366474628448,0.16453717648983002,0.22805389761924744,0.2659563720226288,0.3297852873802185,0.30710211396217346,0.3000677525997162,0.3297852873802185,0.42736735939979553,1.0000001192092896,0.13252873718738556
until,0.1887991726398468,0.25296199321746826,0.43126991391181946,0.20678816735744476,0.37191009521484375,0.19370153546333313,0.2787701487541199,0.37191009521484375,0.18996134400367737,0.21662510931491852,0.20304496586322784
1796,0.07816579937934875,0.08587611466646194,0.042919453233480453,0.14122585952281952,0.10281962901353836,0.33338692784309387,0.11729281395673752,0.10281962901353836,0.16189110279083252,0.11455083638429642,0.17521953582763672
",",0.22659391164779663,0.3431144952774048,0.45456063747406006,0.25300899147987366,0.4933079481124878,0.28033894300460815,0.4946078956127167,0.4933079481124878,0.29850345849990845,0.2892886996269226,0.31091248989105225
when,0.4767928421497345,0.30121734738349915,0.37326499819755554,0.1615014374256134,0.5091903209686279,0.20230671763420105,0.3757161796092987,0.5091903209686279,0.20508909225463867,0.22960522770881653,0.22841128706932068
it,0.36714982986450195,0.34568047523498535,0.4577186405658722,0.1582006961107254,0.6251175999641418,0.27145886421203613,0.38761502504348755,0.6251175999641418,0.18628235161304474,0.2543860673904419,0.25732165575027466
was,0.16678167879581451,0.1968146562576294,1.0000001192092896,0.2614976763725281,0.48711544275283813,0.21907466650009155,0.4069072902202606,0.48711544275283813,0.25286540389060974,0.22805389761924744,0.18412111699581146
annexed,0.05171651765704155,0.15337884426116943,0.3178257644176483,0.21874290704727173,0.28790032863616943,0.37384602427482605,0.27883175015449524,0.28790032863616943,0.2571711242198944,0.34860339760780334,0.10068629682064056
by,0.34370526671409607,0.17269869148731232,0.4752357602119446,0.15291538834571838,0.4408751428127289,0.1853148639202118,0.3646814823150635,0.4408751428127289,0.18784315884113312,0.16132758557796478,0.17966607213020325
the,0.33890387415885925,0.3075225353240967,0.48711544275283813,0.23137180507183075,1.0,0.3049491047859192,0.733189046382904,1.0,0.30838483572006226,0.3297852873802185,0.22068053483963013
kingdom,0.14039388298988342,0.11498574912548065,0.27756404876708984,0.15099142491817474,0.3143408000469208,0.20243757963180542,0.3218171298503876,0.3143408000469208,0.23894044756889343,0.3527248203754425,0.12927088141441345
of,0.2480744868516922,0.2567519545555115,0.4069072902202606,0.19253842532634735,0.733189046382904,0.30823585391044617,1.0,0.733189046382904,0.3035924732685089,0.3000677525997162,0.1826142966747284
prussia,0.13865047693252563,0.0899171307682991,0.2695194482803345,0.37414947152137756,0.26054897904396057,0.22384996712207794,0.2725592255592346,0.26054897904396057,0.3997895419597626,0.32398658990859985,0.09988865256309509
to,0.44169697165489197,0.30218687653541565,0.3636345863342285,0.1953994333744049,0.535392165184021,0.1844596415758133,0.41548454761505127,0.535392165184021,0.13169395923614502,0.27652594447135925,0.29463258385658264
become,0.25223416090011597,0.2171066552400589,0.3147440552711487,0.1807192862033844,0.31731709837913513,0.13410331308841705,0.31678006052970886,0.31731709837913513,0.1905716508626938,0.17458651959896088,0.19511328637599945
the,0.33890387415885925,0.3075225353240967,0.48711544275283813,0.23137180507183075,1.0,0.3049491047859192,0.733189046382904,1.0,0.30838483572006226,0.3297852873802185,0.22068053483963013
capital,0.10716020315885544,0.09177053719758987,0.21907466650009155,0.15139155089855194,0.3049491047859192,0.9999999403953552,0.30823585391044617,0.3049491047859192,0.19940443336963654,0.30710211396217346,0.0907452180981636
of,0.2480744868516922,0.2567519545555115,0.4069072902202606,0.19253842532634735,0.733189046382904,0.30823585391044617,1.0,0.733189046382904,0.3035924732685089,0.3000677525997162,0.1826142966747284
the,0.33890387415885925,0.3075225353240967,0.48711544275283813,0.23137180507183075,1.0,0.3049491047859192,0.733189046382904,1.0,0.30838483572006226,0.3297852873802185,0.22068053483963013
province,0.08596524596214294,0.14400750398635864,0.2417035698890686,0.11284905672073364,0.24390551447868347,0.45526251196861267,0.28751370310783386,0.24390551447868347,0.1833294779062271,0.15120866894721985,0.11473246663808823
of,0.2480744868516922,0.2567519545555115,0.4069072902202606,0.19253842532634735,0.733189046382904,0.30823585391044617,1.0,0.733189046382904,0.3035924732685089,0.3000677525997162,0.1826142966747284
south,0.11786635220050812,0.18557339906692505,0.2792486846446991,0.18095728754997253,0.3129390776157379,0.32774990797042847,0.33382371068000793,0.3129390776157379,0.15249109268188477,0.2589680552482605,0.12336621433496475
prussia,0.13865047693252563,0.0899171307682991,0.2695194482803345,0.37414947152137756,0.26054897904396057,0.22384996712207794,0.2725592255592346,0.26054897904396057,0.3997895419597626,0.32398658990859985,0.09988865256309509
.,0.3287222981452942,0.3247973620891571,0.40146201848983765,0.26825499534606934,0.5934505462646484,0.23657599091529846,0.5352458953857422,0.5934505462646484,0.24164839088916779,0.21990390121936798,0.4130953550338745
