,what,is,the,colloquial,phrase,used,to,convey,the,continuum,of,algorithms,with,unlimited,availability,irrespective,of,time,?
however,0.4480680823326111,0.33769986033439636,0.49814513325691223,0.26976802945137024,0.24192340672016144,0.41882941126823425,0.5474119186401367,0.28766748309135437,0.49814513325691223,0.33704715967178345,0.3800618350505829,0.27350643277168274,0.44603243470191956,0.2878803312778473,0.31478771567344666,0.37920817732810974,0.3800618350505829,0.41736549139022827,0.2152075469493866
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.272344708442688,0.1876024752855301,0.3120402991771698,0.44245919585227966,0.1674049198627472,0.4933079481124878,0.3240966200828552,0.4946078956127167,0.22988320887088776,0.4120737314224243,0.21213458478450775,0.182151660323143,0.3400544822216034,0.4946078956127167,0.3029961884021759,0.31091248989105225
proving,0.35093116760253906,0.20472633838653564,0.279813677072525,0.17699819803237915,0.2988595962524414,0.24799484014511108,0.30774515867233276,0.2473541498184204,0.279813677072525,0.2494613379240036,0.29165971279144287,0.3641502261161804,0.22976411879062653,0.15375113487243652,0.3064776659011841,0.22830618917942047,0.29165971279144287,0.24698244035243988,0.3045685887336731
lower,0.20079238712787628,0.20806168019771576,0.3463275134563446,0.13571037352085114,0.09238709509372711,0.1612802892923355,0.233318492770195,0.11024332046508789,0.3463275134563446,0.2151484191417694,0.31757521629333496,0.13497580587863922,0.1784515678882599,0.11452513933181763,0.1884387880563736,0.17247344553470612,0.31757521629333496,0.13625381886959076,0.08471795171499252
bounds,0.17344798147678375,0.2745935618877411,0.30338889360427856,0.17340843379497528,0.17383837699890137,0.19300809502601624,0.320420503616333,0.23549862205982208,0.30338889360427856,0.317602276802063,0.24635128676891327,0.17609669268131256,0.256337434053421,0.15895697474479675,0.22823582589626312,0.21758337318897247,0.24635128676891327,0.2507743537425995,0.12707965075969696
is,0.28837618231773376,1.0,0.5823672413825989,0.34980207681655884,0.2389402985572815,0.3288823366165161,0.42745086550712585,0.2367914766073227,0.5823672413825989,0.30430060625076294,0.4854315221309662,0.24730736017227173,0.3250955045223236,0.11160263419151306,0.1924913078546524,0.2764158248901367,0.4854315221309662,0.25187405943870544,0.22961433231830597
much,0.45316147804260254,0.3156087100505829,0.35023224353790283,0.21873430907726288,0.1795709878206253,0.3209210932254791,0.40610215067863464,0.3035416901111603,0.35023224353790283,0.22665391862392426,0.2671096920967102,0.24026386439800262,0.2808258831501007,0.20481325685977936,0.36083728075027466,0.26254957914352417,0.2671096920967102,0.3794040381908417,0.23442231118679047
more,0.3484537899494171,0.2946030795574188,0.39758381247520447,0.213657408952713,0.18018971383571625,0.3030165731906891,0.47084665298461914,0.2619645893573761,0.39758381247520447,0.3295382559299469,0.30478984117507935,0.2581229507923126,0.3535402715206146,0.1983450949192047,0.30277881026268005,0.34940215945243835,0.30478984117507935,0.32185816764831543,0.27894994616508484
difficult,0.37928828597068787,0.29025518894195557,0.277450829744339,0.2560744881629944,0.2644699811935425,0.4287411868572235,0.4417358338832855,0.23850925266742706,0.277450829744339,0.2761414647102356,0.2539307773113251,0.3147290050983429,0.28730911016464233,0.2544221580028534,0.33838382363319397,0.279825896024704,0.2539307773113251,0.2930917739868164,0.20408590137958527
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.272344708442688,0.1876024752855301,0.3120402991771698,0.44245919585227966,0.1674049198627472,0.4933079481124878,0.3240966200828552,0.4946078956127167,0.22988320887088776,0.4120737314224243,0.21213458478450775,0.182151660323143,0.3400544822216034,0.4946078956127167,0.3029961884021759,0.31091248989105225
since,0.29783400893211365,0.3567592203617096,0.4054957628250122,0.12554392218589783,0.11561010032892227,0.23610791563987732,0.3733763098716736,0.05790947750210762,0.4054957628250122,0.24776750802993774,0.35513219237327576,0.19643591344356537,0.3120420575141907,0.19861409068107605,0.14083519577980042,0.26481664180755615,0.35513219237327576,0.4138842225074768,0.2876587212085724
lower,0.20079238712787628,0.20806168019771576,0.3463275134563446,0.13571037352085114,0.09238709509372711,0.1612802892923355,0.233318492770195,0.11024332046508789,0.3463275134563446,0.2151484191417694,0.31757521629333496,0.13497580587863922,0.1784515678882599,0.11452513933181763,0.1884387880563736,0.17247344553470612,0.31757521629333496,0.13625381886959076,0.08471795171499252
bounds,0.17344798147678375,0.2745935618877411,0.30338889360427856,0.17340843379497528,0.17383837699890137,0.19300809502601624,0.320420503616333,0.23549862205982208,0.30338889360427856,0.317602276802063,0.24635128676891327,0.17609669268131256,0.256337434053421,0.15895697474479675,0.22823582589626312,0.21758337318897247,0.24635128676891327,0.2507743537425995,0.12707965075969696
make,0.3792211413383484,0.3331545889377594,0.3146495521068573,0.18075424432754517,0.1620692014694214,0.37677720189094543,0.497876912355423,0.2938087284564972,0.3146495521068573,0.18652935326099396,0.2912110388278961,0.19074860215187073,0.39503780007362366,0.20198746025562286,0.20866121351718903,0.211237370967865,0.2912110388278961,0.2832360565662384,0.28314751386642456
a,0.3320399522781372,0.658733606338501,0.5829201340675354,0.3549305498600006,0.2889547646045685,0.3864384889602661,0.45503583550453186,0.24170121550559998,0.5829201340675354,0.3092372417449951,0.5052502155303955,0.21237695217132568,0.3783375024795532,0.25624775886535645,0.2021981179714203,0.26907843351364136,0.5052502155303955,0.3292340338230133,0.23916715383529663
statement,0.39422667026519775,0.24378558993339539,0.20954233407974243,0.2597256302833557,0.37490394711494446,0.20254507660865784,0.29286426305770874,0.2817363739013672,0.20954233407974243,0.3021261990070343,0.1980573982000351,0.2911111116409302,0.17604300379753113,0.21581386029720306,0.2355867475271225,0.3179064691066742,0.1980573982000351,0.2216722071170807,0.28978636860847473
about,0.47976887226104736,0.3532065451145172,0.37995871901512146,0.16827470064163208,0.15949836373329163,0.2304701954126358,0.391953706741333,0.21369004249572754,0.37995871901512146,0.28883424401283264,0.40939709544181824,0.15694019198417664,0.3347385823726654,0.16842040419578552,0.18333853781223297,0.27109596133232117,0.40939709544181824,0.305572509765625,0.302409827709198
all,0.41981086134910583,0.2553904056549072,0.4860881567001343,0.12089284509420395,0.2083187848329544,0.2536942958831787,0.42520734667778015,0.24675165116786957,0.4860881567001343,0.3032597601413727,0.42798417806625366,0.19908522069454193,0.3876307010650635,0.32274556159973145,0.2881937026977539,0.34677615761756897,0.42798417806625366,0.4175976812839508,0.29575422406196594
possible,0.3281886577606201,0.2872174084186554,0.32701125741004944,0.2987719178199768,0.21219193935394287,0.4361850917339325,0.4506641626358032,0.2653127908706665,0.32701125741004944,0.35491475462913513,0.3314395844936371,0.3520033061504364,0.2800780236721039,0.26609766483306885,0.3566283881664276,0.2692590355873108,0.3314395844936371,0.3436918258666992,0.3059970438480377
algorithms,0.25635042786598206,0.24730736017227173,0.167828768491745,0.2736937403678894,0.26794931292533875,0.28042757511138916,0.2158832848072052,0.1780991107225418,0.167828768491745,0.3344442546367645,0.22317801415920258,0.9999999403953552,0.11621308326721191,0.20696166157722473,0.3244558572769165,0.1881885975599289,0.22317801415920258,0.2521068751811981,0.186949223279953
that,0.6297725439071655,0.3995479643344879,0.5473989248275757,0.25922900438308716,0.301104873418808,0.37621384859085083,0.5436353087425232,0.29189321398735046,0.5473989248275757,0.35771191120147705,0.41498205065727234,0.2668388783931732,0.4154358208179474,0.30465105175971985,0.2913311719894409,0.3449765145778656,0.41498205065727234,0.388528436422348,0.32716336846351624
solve,0.3072938323020935,0.21876689791679382,0.16557666659355164,0.14958180487155914,0.1613677591085434,0.24460241198539734,0.2640334367752075,0.20333103835582733,0.16557666659355164,0.2810644507408142,0.15426263213157654,0.49159330129623413,0.22379647195339203,0.18119820952415466,0.20494581758975983,0.2014233022928238,0.15426263213157654,0.27471593022346497,0.27457404136657715
a,0.3320399522781372,0.658733606338501,0.5829201340675354,0.3549305498600006,0.2889547646045685,0.3864384889602661,0.45503583550453186,0.24170121550559998,0.5829201340675354,0.3092372417449951,0.5052502155303955,0.21237695217132568,0.3783375024795532,0.25624775886535645,0.2021981179714203,0.26907843351364136,0.5052502155303955,0.3292340338230133,0.23916715383529663
given,0.21883496642112732,0.249215230345726,0.37508252263069153,0.23576004803180695,0.16462303698062897,0.3641626238822937,0.3428947925567627,0.2132808119058609,0.37508252263069153,0.20742174983024597,0.39388060569763184,0.1979406177997589,0.29518163204193115,0.2391883134841919,0.2697852849960327,0.2932308316230774,0.39388060569763184,0.317789226770401,0.2570464313030243
problem,0.42183366417884827,0.23238427937030792,0.24928659200668335,0.23603519797325134,0.29394927620887756,0.3019697070121765,0.2502208352088928,0.27027028799057007,0.24928659200668335,0.30869224667549133,0.20464475452899933,0.40899839997291565,0.2717578709125519,0.24567578732967377,0.3564654290676117,0.23400582373142242,0.20464475452899933,0.3373833894729614,0.3762950301170349
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.16660191118717194,0.22462844848632812,0.33111312985420227,0.4645031690597534,0.17205049097537994,0.5934505462646484,0.2795509994029999,0.5352458953857422,0.1675408035516739,0.4446153938770294,0.16698512434959412,0.2656152546405792,0.28905510902404785,0.5352458953857422,0.371569961309433,0.4130953550338745
,what,is,the,colloquial,phrase,used,to,convey,the,continuum,of,algorithms,with,unlimited,availability,irrespective,of,time,?
the,0.42745697498321533,0.5823672413825989,1.0,0.23629699647426605,0.25180333852767944,0.3718377649784088,0.535392165184021,0.2232111245393753,1.0,0.32961103320121765,0.733189046382904,0.167828768491745,0.4223487675189972,0.22426779568195343,0.23529793322086334,0.32915493845939636,0.733189046382904,0.43061500787734985,0.22068053483963013
phrase,0.31149473786354065,0.2389402985572815,0.25180333852767944,0.42033466696739197,0.9999998807907104,0.3554611802101135,0.24900448322296143,0.27896425127983093,0.25180333852767944,0.21665911376476288,0.17365479469299316,0.26794931292533875,0.18384966254234314,0.18477371335029602,0.21312618255615234,0.23130296170711517,0.17365479469299316,0.23599429428577423,0.32636284828186035
``,0.008517155423760414,0.058766357600688934,0.029072100296616554,0.1469784379005432,0.07400007545948029,0.08103004097938538,0.06720756739377975,0.01713660918176174,0.029072100296616554,0.09394942969083786,0.06780257821083069,0.1665310114622116,0.08974023163318634,-0.011892352253198624,-0.005433470010757446,0.10564903169870377,0.06780257821083069,0.041467953473329544,0.0685480609536171
all,0.41981086134910583,0.2553904056549072,0.4860881567001343,0.12089284509420395,0.2083187848329544,0.2536942958831787,0.42520734667778015,0.24675165116786957,0.4860881567001343,0.3032597601413727,0.42798417806625366,0.19908522069454193,0.3876307010650635,0.32274556159973145,0.2881937026977539,0.34677615761756897,0.42798417806625366,0.4175976812839508,0.29575422406196594
possible,0.3281886577606201,0.2872174084186554,0.32701125741004944,0.2987719178199768,0.21219193935394287,0.4361850917339325,0.4506641626358032,0.2653127908706665,0.32701125741004944,0.35491475462913513,0.3314395844936371,0.3520033061504364,0.2800780236721039,0.26609766483306885,0.3566283881664276,0.2692590355873108,0.3314395844936371,0.3436918258666992,0.3059970438480377
algorithms,0.25635042786598206,0.24730736017227173,0.167828768491745,0.2736937403678894,0.26794931292533875,0.28042757511138916,0.2158832848072052,0.1780991107225418,0.167828768491745,0.3344442546367645,0.22317801415920258,0.9999999403953552,0.11621308326721191,0.20696166157722473,0.3244558572769165,0.1881885975599289,0.22317801415920258,0.2521068751811981,0.186949223279953
'',0.08143015950918198,0.0793738141655922,0.041273195296525955,0.11152484267950058,0.04934220016002655,0.050410956144332886,-0.009905828163027763,0.14344631135463715,0.041273195296525955,0.009024536237120628,0.13035868108272552,0.06846507638692856,0.07907696813344955,0.03959037363529205,-0.027602331712841988,0.17085592448711395,0.13035868108272552,-0.01899585872888565,0.018684765323996544
includes,0.17138352990150452,0.4033885896205902,0.3388250470161438,0.2066364586353302,0.10702243447303772,0.2994908094406128,0.19327151775360107,0.13159188628196716,0.3388250470161438,0.21902401745319366,0.4359378218650818,0.1734882891178131,0.2859180271625519,0.1899673193693161,0.22170285880565643,0.22776976227760315,0.4359378218650818,0.1437414288520813,0.14011523127555847
not,0.5449194312095642,0.3776007890701294,0.4310511648654938,0.28894948959350586,0.29560959339141846,0.358921617269516,0.5149973034858704,0.299427330493927,0.4310511648654938,0.28874605894088745,0.3307090103626251,0.1642848253250122,0.3409014642238617,0.30423468351364136,0.25048431754112244,0.37567660212516785,0.3307090103626251,0.3786478340625763,0.41942933201789856
just,0.5854880809783936,0.369599312543869,0.40061673521995544,0.29475200176239014,0.27089375257492065,0.28185296058654785,0.5153104066848755,0.3183841109275818,0.40061673521995544,0.2999313175678253,0.35124439001083374,0.21277190744876862,0.30194807052612305,0.22865691781044006,0.18431785702705383,0.24962584674358368,0.35124439001083374,0.33381739258766174,0.4144178032875061
the,0.42745697498321533,0.5823672413825989,1.0,0.23629699647426605,0.25180333852767944,0.3718377649784088,0.535392165184021,0.2232111245393753,1.0,0.32961103320121765,0.733189046382904,0.167828768491745,0.4223487675189972,0.22426779568195343,0.23529793322086334,0.32915493845939636,0.733189046382904,0.43061500787734985,0.22068053483963013
algorithms,0.25635042786598206,0.24730736017227173,0.167828768491745,0.2736937403678894,0.26794931292533875,0.28042757511138916,0.2158832848072052,0.1780991107225418,0.167828768491745,0.3344442546367645,0.22317801415920258,0.9999999403953552,0.11621308326721191,0.20696166157722473,0.3244558572769165,0.1881885975599289,0.22317801415920258,0.2521068751811981,0.186949223279953
known,0.20381177961826324,0.41921812295913696,0.3624623417854309,0.3738732635974884,0.17189869284629822,0.37155357003211975,0.14337651431560516,0.11915279924869537,0.3624623417854309,0.23467668890953064,0.35814476013183594,0.22406485676765442,0.23440474271774292,0.10686840862035751,0.13455703854560852,0.22832249104976654,0.35814476013183594,0.23656317591667175,0.18314571678638458
today,0.3814660608768463,0.3404538929462433,0.35740926861763,0.2620150148868561,0.22878551483154297,0.381777286529541,0.3122048079967499,0.11897952109575272,0.35740926861763,0.29699429869651794,0.3291318118572235,0.22426936030387878,0.22647687792778015,0.1392846554517746,0.19292132556438446,0.1729760318994522,0.3291318118572235,0.2613614499568939,0.17338968813419342
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.272344708442688,0.1876024752855301,0.3120402991771698,0.44245919585227966,0.1674049198627472,0.4933079481124878,0.3240966200828552,0.4946078956127167,0.22988320887088776,0.4120737314224243,0.21213458478450775,0.182151660323143,0.3400544822216034,0.4946078956127167,0.3029961884021759,0.31091248989105225
