,when,did,luther,travel,to,mansfeld,twice,?
luther,0.14516782760620117,0.23667675256729126,1.0,0.07230611145496368,0.18029534816741943,0.29925280809402466,0.09621664881706238,0.1732746809720993
journeyed,0.22248795628547668,0.220799058675766,0.17946267127990723,0.4508047103881836,0.3017386794090271,0.19637349247932434,0.11422602087259293,0.043394725769758224
to,0.5423505902290344,0.4452643394470215,0.18029534816741943,0.324314147233963,1.0,0.22356681525707245,0.28163591027259827,0.29463258385658264
mansfeld,0.19568145275115967,0.15186379849910736,0.29925280809402466,0.16396589577198029,0.22356681525707245,1.0000001192092896,0.1666582077741623,0.17363522946834564
twice,0.37843289971351624,0.2345123291015625,0.09621664881706238,0.13710254430770874,0.28163591027259827,0.1666582077741623,1.0,0.16248004138469696
in,0.4431333839893341,0.2593238651752472,0.20523880422115326,0.22463937103748322,0.45010748505592346,0.2820907533168793,0.2796696126461029,0.20430970191955566
late,0.29498016834259033,0.27609187364578247,0.14947126805782318,0.11292848736047745,0.25809016823768616,0.17925235629081726,0.19055888056755066,0.11339222639799118
1545,-0.008832449093461037,0.026592779904603958,0.04201095178723335,-0.038256313651800156,-0.05818259343504906,-0.012908709235489368,0.012372099794447422,0.07005058974027634
to,0.5423505902290344,0.4452643394470215,0.18029534816741943,0.324314147233963,1.0,0.22356681525707245,0.28163591027259827,0.29463258385658264
participate,0.19980613887310028,0.2887232303619385,0.0875774621963501,0.2219620645046234,0.319547563791275,0.19578510522842407,0.22777140140533447,0.2079276293516159
in,0.4431333839893341,0.2593238651752472,0.20523880422115326,0.22463937103748322,0.45010748505592346,0.2820907533168793,0.2796696126461029,0.20430970191955566
the,0.5091903209686279,0.34736719727516174,0.1759674996137619,0.2857808768749237,0.535392165184021,0.22619470953941345,0.3638015687465668,0.22068053483963013
negotiations,0.20567582547664642,0.2745211124420166,0.2402063012123108,0.2745699882507324,0.2914547026157379,0.2909994423389435,0.16854682564735413,0.12190581113100052
for,0.43402108550071716,0.318512886762619,0.12958186864852905,0.23101238906383514,0.4451248347759247,0.17065034806728363,0.3137311041355133,0.264628142118454
a,0.44397395849227905,0.2552328109741211,0.17967689037322998,0.2213185727596283,0.45503583550453186,0.23208288848400116,0.3332133889198303,0.23916715383529663
settlement,0.20788389444351196,0.11278556287288666,0.10773926973342896,0.18815484642982483,0.2762512266635895,0.2619051933288574,0.1185230165719986,0.12535437941551208
",",0.36674630641937256,0.3015086054801941,0.23255878686904907,0.2159072756767273,0.44245919585227966,0.29032179713249207,0.32801246643066406,0.31091248989105225
and,0.4716290831565857,0.34479495882987976,0.20796556770801544,0.24324584007263184,0.48971283435821533,0.27113181352615356,0.2709411084651947,0.20544172823429108
a,0.44397395849227905,0.2552328109741211,0.17967689037322998,0.2213185727596283,0.45503583550453186,0.23208288848400116,0.3332133889198303,0.23916715383529663
third,0.23858320713043213,0.19128914177417755,0.11620480567216873,0.13551822304725647,0.2795414924621582,0.1643482744693756,0.2854821979999542,0.15394791960716248
visit,0.27095118165016174,0.24501757323741913,0.11508796364068985,0.4546312391757965,0.3528536260128021,0.1793564409017563,0.13741561770439148,0.1747637540102005
was,0.37326499819755554,0.41399896144866943,0.19185513257980347,0.1548587530851364,0.3636345863342285,0.25422683358192444,0.32907354831695557,0.18412111699581146
needed,0.3670521080493927,0.40049824118614197,0.14529508352279663,0.2188463658094406,0.45002421736717224,0.19788938760757446,0.21333587169647217,0.2863257825374603
in,0.4431333839893341,0.2593238651752472,0.20523880422115326,0.22463937103748322,0.45010748505592346,0.2820907533168793,0.2796696126461029,0.20430970191955566
early,0.32107013463974,0.32047218084335327,0.20602326095104218,0.16245539486408234,0.24557004868984222,0.13978703320026398,0.14396904408931732,0.15272949635982513
1546,0.01270752027630806,0.0356486514210701,0.03921762481331825,0.05349726602435112,0.04448734596371651,0.2486136108636856,-0.011670369654893875,-0.004786801990121603
for,0.43402108550071716,0.318512886762619,0.12958186864852905,0.23101238906383514,0.4451248347759247,0.17065034806728363,0.3137311041355133,0.264628142118454
their,0.3682888448238373,0.38078752160072327,0.1988239735364914,0.20371203124523163,0.44619059562683105,0.10495760291814804,0.2206926792860031,0.1898253709077835
completion,0.22595025599002838,0.24044543504714966,0.07665582746267319,0.19453544914722443,0.3465783894062042,0.22252123057842255,0.2344953864812851,0.08032544702291489
.,0.475719153881073,0.35288307070732117,0.24907569587230682,0.22954578697681427,0.4645031690597534,0.26983198523521423,0.3201225996017456,0.4130953550338745
