,what,was,the,yuan,dynasty,called,in,mongolian,?
the,0.42745697498321533,0.48711544275283813,1.0,0.2548272907733917,0.26267939805984497,0.489897221326828,0.6662389636039734,0.2657795250415802,0.22068053483963013
counterpart,0.20289170742034912,0.24021214246749878,0.2672640383243561,0.10056423395872116,0.11975222080945969,0.22318479418754578,0.16275577247142792,0.15774688124656677,0.12628091871738434
in,0.30808621644973755,0.45514053106307983,0.6662389636039734,0.14850552380084991,0.15246383845806122,0.40847352147102356,1.0,0.1663515418767929,0.20430970191955566
mongolian,0.15557456016540527,0.11424200981855392,0.2657795250415802,0.4689459800720215,0.40221554040908813,0.2104295939207077,0.1663515418767929,0.9999999403953552,0.13122369349002838
language,0.28220435976982117,0.20423492789268494,0.30198320746421814,0.13306279480457306,0.18728846311569214,0.22905318439006805,0.23268210887908936,0.26692408323287964,0.25349316000938416
was,0.22111038863658905,1.0000001192092896,0.48711544275283813,0.19482262432575226,0.24324211478233337,0.33927658200263977,0.45514053106307983,0.11424200981855392,0.18412111699581146
dai,0.0910559594631195,0.1591780036687851,0.1360853612422943,0.37768054008483887,0.26197943091392517,0.14158648252487183,0.09260904788970947,0.3286342918872833,0.12014257162809372
ön,0.3027259111404419,0.008724476210772991,0.2820693850517273,0.09643249958753586,0.10854491591453552,0.25524020195007324,0.22380207479000092,0.24353979527950287,0.14698120951652527
ulus,0.08866755664348602,0.10792352259159088,0.09236661344766617,0.21019956469535828,0.23556432127952576,0.14022111892700195,0.09906274080276489,0.19266767799854279,0.04654638096690178
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.20958951115608215,0.1976536363363266,0.26549121737480164,0.5201468467712402,0.22636307775974274,0.31091248989105225
also,0.42747777700424194,0.4032125174999237,0.6021018624305725,0.19582009315490723,0.219948872923851,0.5140911936759949,0.5073733329772949,0.26170778274536133,0.21848613023757935
rendered,0.12213308364152908,0.1889466494321823,0.2096201479434967,0.1584680825471878,0.14176560938358307,0.1528722047805786,0.15463772416114807,0.12641499936580658,0.12893229722976685
as,0.31749409437179565,0.3677520453929901,0.48381632566452026,0.2132488638162613,0.1805962324142456,0.2827680706977844,0.3887844979763031,0.19792908430099487,0.27043893933296204
ikh,0.17602427303791046,0.1803065687417984,0.18611209094524384,0.36151987314224243,0.3307323157787323,0.15655860304832458,0.15969127416610718,0.32306721806526184,0.19104276597499847
yuan,0.13503028452396393,0.19482262432575226,0.2548272907733917,1.0,0.49336904287338257,0.10073821246623993,0.14850552380084991,0.4689459800720215,0.12871281802654266
üls,0.1236591786146164,0.06735865771770477,0.24706709384918213,0.12265529483556747,0.16253367066383362,0.2282189279794693,0.153287872672081,0.11556930840015411,0.1414659470319748
or,0.33867141604423523,0.2330796718597412,0.4174870550632477,0.2459961175918579,0.16377557814121246,0.4293559193611145,0.3586423695087433,0.26400884985923767,0.32389625906944275
yekhe,0.3343079090118408,0.3802863359451294,0.32474035024642944,0.4345736801624298,0.5282304883003235,0.19888582825660706,0.2470901906490326,0.3571237027645111,0.28058987855911255
yuan,0.13503028452396393,0.19482262432575226,0.2548272907733917,1.0,0.49336904287338257,0.10073821246623993,0.14850552380084991,0.4689459800720215,0.12871281802654266
ulus,0.08866755664348602,0.10792352259159088,0.09236661344766617,0.21019956469535828,0.23556432127952576,0.14022111892700195,0.09906274080276489,0.19266767799854279,0.04654638096690178
.,0.3567904531955719,0.40146201848983765,0.5934505462646484,0.17233723402023315,0.20616187155246735,0.300344854593277,0.5591574311256409,0.18073968589305878,0.4130953550338745
