,what,type,of,math,was,advanced,during,the,yuan,?
advances,0.2105628252029419,0.09775768220424652,0.27895745635032654,0.19938574731349945,0.18223260343074799,0.7087223529815674,0.30168619751930237,0.29882919788360596,0.18174171447753906,0.12414493411779404
in,0.30808621644973755,0.20604541897773743,0.5696388483047485,0.17477427423000336,0.45514053106307983,0.2200557142496109,0.4627237319946289,0.6662389636039734,0.14850552380084991,0.20430970191955566
polynomial,0.265341192483902,0.15097057819366455,0.23810522258281708,0.5033899545669556,0.12357953190803528,0.2718183696269989,0.12145417928695679,0.1902180016040802,0.20545536279678345,0.255467027425766
algebra,0.21067312359809875,0.18488411605358124,0.2065851092338562,0.5694293975830078,0.11714313924312592,0.24702580273151398,0.0952705517411232,0.1551244705915451,0.1683633029460907,0.2129010409116745
were,0.22298263013362885,0.09534358233213425,0.34038281440734863,0.1309162825345993,0.590133786201477,0.1871768683195114,0.4064035415649414,0.3906462490558624,0.19657303392887115,0.17890112102031708
made,0.23419176042079926,0.2166324257850647,0.33167365193367004,0.16112260520458221,0.3433256447315216,0.1710698902606964,0.2681747078895569,0.3885267674922943,0.12799260020256042,0.17218779027462006
by,0.2455483376979828,0.15232881903648376,0.3646814823150635,0.1268162727355957,0.4752357602119446,0.20619893074035645,0.3220438063144684,0.4408751428127289,0.19831176102161407,0.17966607213020325
mathematicians,0.24199780821800232,0.07428216189146042,0.1896788328886032,0.524185299873352,0.195259228348732,0.20080077648162842,0.14710788428783417,0.17344136536121368,0.08232331275939941,0.13791853189468384
during,0.24137552082538605,0.1538453847169876,0.3869180977344513,0.06733093410730362,0.4470829963684082,0.14327333867549896,1.0,0.4838213622570038,0.18615633249282837,0.1325719803571701
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.15668486058712006,0.48711544275283813,0.2635994255542755,0.4838213622570038,1.0,0.2548272907733917,0.22068053483963013
yuan,0.13503028452396393,0.10084673017263412,0.22696353495121002,0.12625913321971893,0.19482262432575226,0.16108821332454681,0.18615633249282837,0.2548272907733917,1.0,0.12871281802654266
era,0.18199029564857483,0.1341303139925003,0.20396220684051514,0.06533364951610565,0.24523797631263733,0.1794954240322113,0.42847543954849243,0.266272634267807,0.17384901642799377,0.14369545876979828
.,0.3567904531955719,0.23195341229438782,0.5352458953857422,0.2877960801124573,0.40146201848983765,0.2461739033460617,0.3485563397407532,0.5934505462646484,0.17233723402023315,0.4130953550338745
