,which,three,doctors,were,in,the,sirens,of,time,?
additionally,0.4309332072734833,0.3363303542137146,0.19754451513290405,0.2628662586212158,0.3179662823677063,0.34359288215637207,0.16609922051429749,0.2477567195892334,0.2722935378551483,0.24129506945610046
",",0.3658004403114319,0.3347506821155548,0.18616431951522827,0.36755475401878357,0.5201468467712402,0.4933079481124878,0.26225680112838745,0.4946078956127167,0.3029961884021759,0.31091248989105225
multiple,0.29593557119369507,0.29956117272377014,0.19543997943401337,0.24463318288326263,0.18657618761062622,0.20022359490394592,0.1181749552488327,0.20745883882045746,0.2597702741622925,0.1591399908065796
doctors,0.21964778006076813,0.2024066150188446,1.0,0.2462945580482483,0.1817551702260971,0.24499839544296265,0.21160410344600677,0.18925178050994873,0.2065565437078476,0.19305896759033203
have,0.49652695655822754,0.3712083399295807,0.29020634293556213,0.5193349123001099,0.36843645572662354,0.40389683842658997,0.2851217985153198,0.3802283704280853,0.3659670352935791,0.32991164922714233
returned,0.16953375935554504,0.2332366406917572,0.1859012097120285,0.3187520503997803,0.341925710439682,0.32857778668403625,0.056999340653419495,0.28002414107322693,0.31328001618385315,0.07695316523313522
in,0.4840516746044159,0.34828072786331177,0.1817551702260971,0.3815755248069763,1.0,0.6662389636039734,0.22221192717552185,0.5696388483047485,0.3431483507156372,0.20430970191955566
new,0.33739399909973145,0.22607795894145966,0.11667230725288391,0.21711495518684387,0.3758552670478821,0.3845241069793701,0.16469840705394745,0.343457967042923,0.2320125252008438,0.14782847464084625
adventures,0.1760132759809494,0.1751609742641449,0.15956459939479828,0.1218729317188263,0.14939865469932556,0.2034815400838852,0.26681026816368103,0.2105356603860855,0.22170624136924744,0.15214234590530396
together,0.3194063603878021,0.3149068057537079,0.16829261183738708,0.2806561589241028,0.3252169191837311,0.26662585139274597,0.14435218274593353,0.26678720116615295,0.22052262723445892,0.1690303236246109
in,0.4840516746044159,0.34828072786331177,0.1817551702260971,0.3815755248069763,1.0,0.6662389636039734,0.22221192717552185,0.5696388483047485,0.3431483507156372,0.20430970191955566
audio,0.22437843680381775,0.09776856005191803,0.1659821718931198,0.134166419506073,0.12252579629421234,0.19614098966121674,0.2117609679698944,0.17128776013851166,0.2064722329378128,0.14977853000164032
dramas,0.24358050525188446,0.2218581885099411,0.1863831877708435,0.2600649893283844,0.25813794136047363,0.25984838604927063,0.22841186821460724,0.21965396404266357,0.251324325799942,0.18286573886871338
based,0.3473800718784332,0.23026733100414276,0.11599142849445343,0.2693869471549988,0.3070422410964966,0.29860720038414,0.125505268573761,0.3033197224140167,0.22609136998653412,0.134929820895195
on,0.4245251417160034,0.2742598354816437,0.1926962286233902,0.2774328887462616,0.46853652596473694,0.5107308030128479,0.1791408509016037,0.3966929316520691,0.30044233798980713,0.2714994251728058
the,0.6521818041801453,0.43452659249305725,0.24499839544296265,0.3906462490558624,0.6662389636039734,1.0,0.26811349391937256,0.733189046382904,0.43061500787734985,0.22068053483963013
series,0.2484029233455658,0.2951010465621948,0.1435336321592331,0.264431357383728,0.2914260923862457,0.31376904249191284,0.13826416432857513,0.22268271446228027,0.2359362095594406,0.1709602326154709
.,0.45942068099975586,0.34968629479408264,0.1993139684200287,0.3378238379955292,0.5591574311256409,0.5934505462646484,0.27649563550949097,0.5352458953857422,0.371569961309433,0.4130953550338745
