,what,disease,did,tesla,contract,in,1873,?
shortly,0.16521772742271423,0.08021268993616104,0.24022521078586578,0.12589584290981293,0.15882539749145508,0.34036749601364136,0.10313890874385834,0.13327454030513763
after,0.21973377466201782,0.1415853202342987,0.30330467224121094,0.0752151682972908,0.2146516591310501,0.44050168991088867,0.03832158446311951,0.16608688235282898
he,0.3114890456199646,0.2768293619155884,0.3292143940925598,0.12373391538858414,0.29008108377456665,0.41690486669540405,0.10686551034450531,0.2089974731206894
arrived,0.25085949897766113,0.21228916943073273,0.32213419675827026,0.10046279430389404,0.15661032497882843,0.2573651373386383,0.04956416040658951,0.1681029200553894
",",0.3087472915649414,0.29627472162246704,0.3015086054801941,0.20599327981472015,0.20806868374347687,0.5201468467712402,0.043582335114479065,0.31091248989105225
tesla,0.23221199214458466,0.07175422459840775,0.09757418930530548,0.9999999403953552,0.2158079296350479,0.17097744345664978,0.03536037728190422,0.10250775516033173
contracted,0.18012547492980957,0.32150015234947205,0.25558561086654663,0.16741234064102173,0.8080815076828003,0.20521874725818634,0.024564998224377632,0.09855229407548904
cholera,0.24963721632957458,0.5570065379142761,0.2383522093296051,0.08909805119037628,0.14415457844734192,0.29541411995887756,-0.04530039429664612,0.19678184390068054
;,0.10986888408660889,0.047928713262081146,0.10727239400148392,-0.03835732489824295,0.04735759645700455,0.092739537358284,-0.03005817160010338,0.10349778085947037
he,0.3114890456199646,0.2768293619155884,0.3292143940925598,0.12373391538858414,0.29008108377456665,0.41690486669540405,0.10686551034450531,0.2089974731206894
was,0.22111038863658905,0.1844245046377182,0.41399896144866943,0.16455206274986267,0.23490020632743835,0.45514053106307983,-0.06682974845170975,0.18412111699581146
bedridden,0.2961525321006775,0.304613322019577,0.24595017731189728,0.24443134665489197,0.22370216250419617,0.3293919563293457,0.07121306657791138,0.27357012033462524
for,0.3017193675041199,0.21683698892593384,0.318512886762619,0.13983871042728424,0.23557060956954956,0.4322226941585541,-0.1712961047887802,0.264628142118454
nine,0.11931172013282776,0.17031174898147583,0.16091835498809814,0.09774413704872131,0.12393733859062195,0.303353875875473,-0.011441702023148537,0.13964155316352844
months,0.24954822659492493,0.17016424238681793,0.29584890604019165,0.07674213498830795,0.2238157093524933,0.27186378836631775,-0.02276635356247425,0.2804218530654907
and,0.31309178471565247,0.19961869716644287,0.34479495882987976,0.19560420513153076,0.1687537431716919,0.4954058527946472,-0.030325215309858322,0.20544172823429108
was,0.22111038863658905,0.1844245046377182,0.41399896144866943,0.16455206274986267,0.23490020632743835,0.45514053106307983,-0.06682974845170975,0.18412111699581146
near,0.19414293766021729,0.185074120759964,0.08748484402894974,0.08963809162378311,0.11177439242601395,0.40211278200149536,0.06874284148216248,0.10734958201646805
death,0.2267695665359497,0.32730063796043396,0.2252790331840515,0.11229380965232849,0.16369746625423431,0.18743370473384857,0.0834362581372261,0.21149799227714539
multiple,0.19839626550674438,0.16081440448760986,0.13390448689460754,0.2186899334192276,0.16582398116588593,0.18657618761062622,-0.11308712512254715,0.1591399908065796
times,0.21414996683597565,0.15684731304645538,0.23068773746490479,0.0734986811876297,0.20190386474132538,0.2427823841571808,-0.11352221667766571,0.18880689144134521
.,0.3567904531955719,0.25074082612991333,0.35288307070732117,0.17949827015399933,0.18996715545654297,0.5591574311256409,-0.03756923973560333,0.4130953550338745
