,who,was,assigned,to,design,a,second,master,plan,?
in,0.2792111933231354,0.45514053106307983,0.227752685546875,0.45010748505592346,0.21856798231601715,0.539380669593811,0.34510284662246704,0.17882928252220154,0.23924663662910461,0.20430970191955566
1955,-0.0015354491770267487,0.04744935780763626,-0.037401214241981506,-0.031606126576662064,-0.07900932431221008,-0.05906926840543747,0.0005273523274809122,0.024274615570902824,-0.02036265656352043,-0.2837269604206085
",",0.3365725874900818,0.45456063747406006,0.21129485964775085,0.44245919585227966,0.19350415468215942,0.427140474319458,0.29927265644073486,0.21451058983802795,0.21265573799610138,0.31091248989105225
eero,0.23887260258197784,0.25306016206741333,0.14175769686698914,0.19749687612056732,0.383981317281723,0.20542511343955994,0.10954582691192627,0.25873756408691406,0.19588275253772736,0.1973666101694107
saarinen,0.20023149251937866,0.19466757774353027,0.17362400889396667,0.1331302374601364,0.3635143041610718,0.18496161699295044,0.0938064306974411,0.2326943576335907,0.1647055447101593,0.10681578516960144
was,0.3318818509578705,1.0000001192092896,0.21324557065963745,0.3636345863342285,0.2780803442001343,0.4508470594882965,0.3858029544353485,0.20155122876167297,0.2407723069190979,0.18412111699581146
contracted,0.26375800371170044,0.23928777873516083,0.2948588728904724,0.2570163309574127,0.1618172973394394,0.21134980022907257,0.2540126442909241,0.1632026582956314,0.16531874239444733,0.09855229407548904
to,0.42656609416007996,0.3636345863342285,0.33200594782829285,1.0,0.26415011286735535,0.45503583550453186,0.3098561465740204,0.20949430763721466,0.36421895027160645,0.29463258385658264
develop,0.1715451180934906,0.1536230444908142,0.22617651522159576,0.3375980854034424,0.29703816771507263,0.27134326100349426,0.030722063034772873,0.17726074159145355,0.23852622509002686,0.15784582495689392
a,0.36608949303627014,0.4508470594882965,0.2863364815711975,0.45503583550453186,0.25211480259895325,1.0,0.3655064105987549,0.2078990340232849,0.27156999707221985,0.23916715383529663
