,which,city,is,planned,to,be,a,part,of,the,california,high,speed,rail,?
the,0.6521818041801453,0.35769423842430115,0.5823672413825989,0.3010992109775543,0.535392165184021,0.4248143136501312,0.5829201340675354,0.527681291103363,0.733189046382904,1.0,0.2750805914402008,0.28034812211990356,0.2310667634010315,0.2306264042854309,0.22068053483963013
city,0.22264601290225983,1.0,0.3186660706996918,0.22615547478199005,0.20300441980361938,0.11616156995296478,0.2349124401807785,0.3513805866241455,0.32503411173820496,0.35769423842430115,0.2801341712474823,0.19180640578269958,0.13353818655014038,0.2671070098876953,0.13423943519592285
of,0.5011631846427917,0.32503411173820496,0.4854315221309662,0.2487981617450714,0.41548454761505127,0.33904364705085754,0.5052502155303955,0.452393114566803,1.0,0.733189046382904,0.24929828941822052,0.2803038954734802,0.1947416365146637,0.18577207624912262,0.1826142966747284
fresno,0.14756552875041962,0.2780216634273529,0.2127077877521515,0.2027672529220581,0.22500741481781006,0.1127391830086708,0.22242428362369537,0.19812233746051788,0.1875009983778,0.22571885585784912,0.5836333632469177,0.19340389966964722,0.07297731190919876,0.18568335473537445,0.13224096596240997
is,0.4457404911518097,0.3186660706996918,1.0,0.17169371247291565,0.42745086550712585,0.4819129705429077,0.658733606338501,0.4582172930240631,0.4854315221309662,0.5823672413825989,0.20727038383483887,0.2383800595998764,0.21955357491970062,0.20201268792152405,0.22961433231830597
planned,0.22419503331184387,0.22615547478199005,0.17169371247291565,1.0000001192092896,0.309917151927948,0.2403009980916977,0.23569394648075104,0.21126261353492737,0.2487981617450714,0.3010992109775543,0.1422484815120697,0.08034226298332214,0.1931595355272293,0.1671292930841446,0.16188396513462067
to,0.5345056653022766,0.20300441980361938,0.42745086550712585,0.309917151927948,1.0,0.4972836375236511,0.45503583550453186,0.2875264883041382,0.41548454761505127,0.535392165184021,0.20697450637817383,0.28947713971138,0.2900872230529785,0.21482926607131958,0.29463258385658264
serve,0.23360483348369598,0.12632587552070618,0.22737301886081696,0.22752612829208374,0.3411368131637573,0.343167245388031,0.22927480936050415,0.13947531580924988,0.2656401991844177,0.2749462425708771,0.165414959192276,0.12323418259620667,0.1132454201579094,0.19183693826198578,0.19925682246685028
the,0.6521818041801453,0.35769423842430115,0.5823672413825989,0.3010992109775543,0.535392165184021,0.4248143136501312,0.5829201340675354,0.527681291103363,0.733189046382904,1.0,0.2750805914402008,0.28034812211990356,0.2310667634010315,0.2306264042854309,0.22068053483963013
future,0.2278342843055725,0.13187392055988312,0.1601216346025467,0.3595983386039734,0.3191963732242584,0.32757890224456787,0.16284751892089844,0.12459921091794968,0.25455814599990845,0.2337762415409088,0.17928758263587952,0.12553809583187103,0.23511630296707153,0.11157480627298355,0.3367180824279785
california,0.17128102481365204,0.2801341712474823,0.20727038383483887,0.1422484815120697,0.20697450637817383,0.17179958522319794,0.2426064908504486,0.14441202580928802,0.24929828941822052,0.2750805914402008,1.0,0.21608760952949524,0.20170974731445312,0.10080119222402573,0.1409905105829239
high,0.25426656007766724,0.19180640578269958,0.2383800595998764,0.08034226298332214,0.28947713971138,0.1991795301437378,0.22865821421146393,0.1728636920452118,0.2803038954734802,0.28034812211990356,0.21608760952949524,1.0,0.3039379417896271,0.178186297416687,0.11137914657592773
speed,0.2855447232723236,0.13353818655014038,0.21955357491970062,0.1931595355272293,0.2900872230529785,0.24981968104839325,0.2531464993953705,0.15687234699726105,0.1947416365146637,0.2310667634010315,0.20170974731445312,0.3039379417896271,0.9999999403953552,0.2667333781719208,0.17392314970493317
rail,0.22425106167793274,0.2671070098876953,0.20201268792152405,0.1671292930841446,0.21482926607131958,0.18355721235275269,0.24957029521465302,0.1911701112985611,0.18577207624912262,0.2306264042854309,0.10080119222402573,0.178186297416687,0.2667333781719208,1.0,0.1349031925201416
.,0.45942068099975586,0.29856356978416443,0.4569662809371948,0.2560844421386719,0.4645031690597534,0.4383580684661865,0.50484299659729,0.32817673683166504,0.5352458953857422,0.5934505462646484,0.2870451807975769,0.24301011860370636,0.20181311666965485,0.1775164008140564,0.4130953550338745
