,what,followed,the,late,local,programming,after,super,bowl,50,?
following,0.2506418824195862,0.5081803798675537,0.39779382944107056,0.2062212973833084,0.19977807998657227,0.2139524221420288,0.39623188972473145,0.12383386492729187,0.14499105513095856,0.025637440383434296,0.1555173695087433
a,0.3320399522781372,0.2840714454650879,0.5829201340675354,0.22989967465400696,0.2435571700334549,0.20890353620052338,0.3831600844860077,0.26005712151527405,0.19533146917819977,0.034183140844106674,0.23916715383529663
break,0.2858539819717407,0.3319281339645386,0.28229501843452454,0.2282770723104477,0.11622892320156097,0.2111257016658783,0.328538179397583,0.1945110261440277,0.22458502650260925,0.044223714619874954,0.19753244519233704
for,0.3017193675041199,0.2623760402202606,0.4739971458911896,0.2018979787826538,0.23619583249092102,0.24722188711166382,0.3650246858596802,0.22938419878482819,0.24430087208747864,0.029183456674218178,0.264628142118454
late,0.1576872020959854,0.3148308992385864,0.31481194496154785,1.0,0.12034059315919876,0.18134087324142456,0.32546740770339966,0.12748323380947113,0.11694638431072235,-0.038068849593400955,0.11339222639799118
local,0.18981902301311493,0.15088288486003876,0.2130540907382965,0.12034059315919876,1.0,0.1872871369123459,0.18020685017108917,0.08448050171136856,0.12165422737598419,0.11730309575796127,0.15022775530815125
programming,0.22725710272789001,0.158406063914299,0.17869283258914948,0.18134087324142456,0.1872871369123459,0.9999999403953552,0.12044191360473633,0.13321512937545776,0.11020594835281372,-0.06566856801509857,0.22249025106430054
",",0.3087472915649414,0.3097211718559265,0.4933079481124878,0.3051932752132416,0.20673875510692596,0.255766898393631,0.38860568404197693,0.22322475910186768,0.1810409277677536,-0.025195008143782616,0.31091248989105225
cbs,0.1950361132621765,0.18501600623130798,0.2283918708562851,0.2876780033111572,0.1919681578874588,0.337468683719635,0.17707926034927368,0.23111854493618011,0.2528696060180664,-0.030295440927147865,0.14594407379627228
also,0.42747777700424194,0.23531989753246307,0.6021018624305725,0.296752393245697,0.3284290134906769,0.23027054965496063,0.33205533027648926,0.27527010440826416,0.2647361755371094,0.024839751422405243,0.21848613023757935
aired,0.1692323386669159,0.22748471796512604,0.2525516450405121,0.2827969789505005,0.1279505342245102,0.3687805235385895,0.24781332910060883,0.22168377041816711,0.1768631637096405,0.025258932262659073,0.22283338010311127
a,0.3320399522781372,0.2840714454650879,0.5829201340675354,0.22989967465400696,0.2435571700334549,0.20890353620052338,0.3831600844860077,0.26005712151527405,0.19533146917819977,0.034183140844106674,0.23916715383529663
special,0.24134232103824615,0.09626791626214981,0.3027077615261078,0.10394775867462158,0.25123438239097595,0.2700044512748718,0.16394950449466705,0.2675681412220001,0.188632994890213,0.010398488491773605,0.29623302817344666
episode,0.1919318586587906,0.20162226259708405,0.25342556834220886,0.22552569210529327,0.07280656695365906,0.2547909617424011,0.2562639117240906,0.20732815563678741,0.15485282242298126,0.06819570809602737,0.23978739976882935
of,0.33290785551071167,0.3060508966445923,0.733189046382904,0.21690747141838074,0.20668989419937134,0.14286333322525024,0.3867455720901489,0.14718765020370483,0.2243070751428604,0.006577443331480026,0.1826142966747284
the,0.42745697498321533,0.3567860722541809,1.0,0.31481194496154785,0.2130540907382965,0.17869283258914948,0.4565047025680542,0.21959073841571808,0.21576224267482758,0.03602437674999237,0.22068053483963013
late,0.1576872020959854,0.3148308992385864,0.31481194496154785,1.0,0.12034059315919876,0.18134087324142456,0.32546740770339966,0.12748323380947113,0.11694638431072235,-0.038068849593400955,0.11339222639799118
late,0.1576872020959854,0.3148308992385864,0.31481194496154785,1.0,0.12034059315919876,0.18134087324142456,0.32546740770339966,0.12748323380947113,0.11694638431072235,-0.038068849593400955,0.11339222639799118
show,0.29653704166412354,0.26399073004722595,0.319829523563385,0.296935498714447,0.20184364914894104,0.2944575250148773,0.21172942221164703,0.16737808287143707,0.19135026633739471,0.13040520250797272,0.2520138621330261
with,0.2464839518070221,0.35106009244918823,0.4223487675189972,0.2326577752828598,0.16601361334323883,0.17035330832004547,0.33843478560447693,0.1518537551164627,0.18353787064552307,0.08371289074420929,0.2433311939239502
james,0.20536290109157562,0.11337833106517792,0.22481533885002136,0.18667662143707275,0.09028737246990204,0.17296341061592102,0.21556003391742706,0.1383729726076126,0.09522265940904617,-0.06515784561634064,0.12139993160963058
corden,0.09480065107345581,0.11546076089143753,0.19905635714530945,0.16196192800998688,0.1349363923072815,0.20994825661182404,0.1688326895236969,0.06388650834560394,0.09176411479711533,0.027535103261470795,0.150565043091774
.,0.3567904531955719,0.3200787305831909,0.5934505462646484,0.3287466764450073,0.26217252016067505,0.1874377578496933,0.35870397090911865,0.2757420241832733,0.21516893804073334,0.04325474053621292,0.4130953550338745
