,who,funded,the,new,jewelry,gallery,that,opened,in,2008,?
a,0.36608949303627014,0.13728104531764984,0.5829201340675354,0.3214259147644043,0.22867701947689056,0.13071094453334808,0.47537946701049805,0.20146222412586212,0.539380669593811,-0.08630643039941788,0.23916715383529663
new,0.2378052920103073,0.12482073158025742,0.3845241069793701,0.9999999403953552,0.18031330406665802,0.1649806797504425,0.29177987575531006,0.24727210402488708,0.3758552670478821,0.050614748150110245,0.14782847464084625
jewellery,0.2185792475938797,0.14740733802318573,0.19773870706558228,0.12073575705289841,0.7499158978462219,0.48682600259780884,0.21017223596572876,0.16093412041664124,0.2104388326406479,-0.04519905894994736,0.15173175930976868
gallery,0.16549232602119446,0.21576625108718872,0.19251246750354767,0.1649806797504425,0.20612305402755737,1.0,0.19456695020198822,0.249263733625412,0.21665531396865845,0.01613641157746315,0.18202216923236847
",",0.3365725874900818,0.18915624916553497,0.4933079481124878,0.36073189973831177,0.27014440298080444,0.21593497693538666,0.4137537479400635,0.24598844349384308,0.5201468467712402,-0.008566685020923615,0.31091248989105225
funded,0.22812816500663757,1.0,0.21102139353752136,0.12482073158025742,0.13322694599628448,0.21576625108718872,0.23283135890960693,0.3254621922969818,0.21351924538612366,-0.053961485624313354,0.14043596386909485
by,0.39727845788002014,0.30712053179740906,0.4408751428127289,0.25394493341445923,0.09309522807598114,0.17317011952400208,0.37496164441108704,0.17930090427398682,0.370934396982193,-0.05826305225491524,0.17966607213020325
william,0.32068803906440735,0.12962044775485992,0.21537061035633087,0.20427052676677704,0.12052410840988159,0.13879352807998657,0.20143915712833405,0.1562853306531906,0.21605195105075836,0.03428923338651657,0.14462219178676605
and,0.41279885172843933,0.2441575825214386,0.5171257257461548,0.31402453780174255,0.3292202055454254,0.20957361161708832,0.4731321930885315,0.22545495629310608,0.4954058527946472,-0.05681091174483299,0.20544172823429108
judith,0.22910501062870026,0.10404708236455917,0.1553809940814972,0.1992453634738922,0.13415244221687317,0.2136971354484558,0.17791013419628143,0.10858993232250214,0.16647613048553467,0.04041386768221855,0.1926697939634323
bollinger,0.30328261852264404,0.1548546403646469,0.21225079894065857,0.21322111785411835,0.20048663020133972,0.21577446162700653,0.1694013476371765,0.21360482275485992,0.26006901264190674,0.24107827246189117,0.21303662657737732
",",0.3365725874900818,0.18915624916553497,0.4933079481124878,0.36073189973831177,0.27014440298080444,0.21593497693538666,0.4137537479400635,0.24598844349384308,0.5201468467712402,-0.008566685020923615,0.31091248989105225
opened,0.1488369107246399,0.3254621922969818,0.28544309735298157,0.24727210402488708,0.14795072376728058,0.249263733625412,0.18032540380954742,1.0,0.2972770035266876,0.020887676626443863,0.1934700310230255
on,0.2340552806854248,0.22472649812698364,0.5107308030128479,0.31106263399124146,0.14493270218372345,0.1865847259759903,0.42569106817245483,0.2514764964580536,0.46853652596473694,-0.0002816536871250719,0.2714994251728058
24,-0.03541684150695801,-0.09782415628433228,0.009148004464805126,0.01795644313097,-0.03801075369119644,-0.0042603034526109695,-0.03737577795982361,-0.11320699751377106,-0.0006371065974235535,0.051107682287693024,0.016154835000634193
may,0.23082798719406128,0.13779893517494202,0.2694292366504669,0.19349534809589386,0.1302490532398224,0.17828968167304993,0.4234136641025543,0.17838600277900696,0.3424151837825775,0.012719699181616306,0.2768254578113556
2008,0.0393119752407074,-0.053961485624313354,-0.06530369818210602,0.050614748150110245,-0.01839643530547619,0.01613641157746315,-0.2374892234802246,0.020887676626443863,-0.0422978475689888,1.0,-0.09852470457553864
.,0.3541337847709656,0.21904520690441132,0.5934505462646484,0.35031336545944214,0.1859520673751831,0.21326512098312378,0.4460422694683075,0.26111578941345215,0.5591574311256409,-0.01312112994492054,0.4130953550338745
