,what,does,the,electrolysis,of,water,produce,?
oxygen,0.16781960427761078,0.2380215972661972,0.20428593456745148,0.5979270339012146,0.16848602890968323,0.4692627191543579,0.2946869134902954,0.16786395013332367
gas,0.20887799561023712,0.1792042851448059,0.2339978665113449,0.4695912003517151,0.21246914565563202,0.35038265585899353,0.27898111939430237,0.1582372784614563
can,0.34502777457237244,0.5156301856040955,0.312528520822525,0.3690987229347229,0.2603091299533844,0.33822447061538696,0.3511185944080353,0.3226337134838104
also,0.42747777700424194,0.4118025600910187,0.6021018624305725,0.30627313256263733,0.4924938678741455,0.30968138575553894,0.31644847989082336,0.21848613023757935
be,0.3929833769798279,0.28696945309638977,0.4248143136501312,0.3632202446460724,0.33904364705085754,0.3042290508747101,0.35276663303375244,0.3324260413646698
produced,0.1393624097108841,0.13402628898620605,0.22045251727104187,0.28300154209136963,0.18961067497730255,0.16940979659557343,0.657219648361206,0.1623450517654419
through,0.23167094588279724,0.21495459973812103,0.44071322679519653,0.32532998919487,0.3647414743900299,0.3048591613769531,0.2263251394033432,0.16913433372974396
electrolysis,0.2560740113258362,0.27220210433006287,0.2335086166858673,0.9999999403953552,0.2370264232158661,0.46951234340667725,0.42348092794418335,0.19298255443572998
of,0.33290785551071167,0.3119818866252899,0.733189046382904,0.2370264232158661,1.0,0.2741255462169647,0.19541172683238983,0.1826142966747284
water,0.17456887662410736,0.29202038049697876,0.297396719455719,0.46951234340667725,0.2741255462169647,0.9999998807907104,0.30732572078704834,0.14731885492801666
into,0.2180619090795517,0.22312942147254944,0.39493247866630554,0.23867391049861908,0.32255905866622925,0.2901814877986908,0.22096818685531616,0.15662476420402527
molecular,0.20577901601791382,0.13434258103370667,0.23136529326438904,0.4675588607788086,0.28562790155410767,0.2173731029033661,0.208359032869339,0.1327144205570221
oxygen,0.16781960427761078,0.2380215972661972,0.20428593456745148,0.5979270339012146,0.16848602890968323,0.4692627191543579,0.2946869134902954,0.16786395013332367
and,0.31309178471565247,0.3461615741252899,0.5171257257461548,0.2530307471752167,0.5116966962814331,0.3054247498512268,0.2701570689678192,0.20544172823429108
hydrogen,0.19052310287952423,0.2498556524515152,0.20406323671340942,0.6438571214675903,0.2024032324552536,0.42553505301475525,0.3419506549835205,0.14590126276016235
.,0.3567904531955719,0.3022993505001068,0.5934505462646484,0.2660292983055115,0.5352458953857422,0.26634910702705383,0.2587496340274811,0.4130953550338745
