,what,was,kublai,khan,'s,relation,to,ogedei,khan,?
ögedei,0.23134218156337738,0.3649882376194,0.5543127059936523,0.43523725867271423,-0.005691892933100462,0.24360588192939758,0.2247658520936966,0.9002277851104736,0.43523725867271423,0.20177854597568512
offered,0.1662205457687378,0.39858749508857727,0.20577417314052582,0.14009636640548706,0.008031184785068035,0.1969280242919922,0.28788384795188904,0.16499286890029907,0.14009636640548706,0.22244536876678467
his,0.26976513862609863,0.4405253231525421,0.3874718248844147,0.26570460200309753,0.047556519508361816,0.19047030806541443,0.3715193271636963,0.3351588547229767,0.26570460200309753,0.18075084686279297
nephew,0.1471434384584427,0.2694432735443115,0.34176120162010193,0.2469797432422638,-0.05431913584470749,0.19614587724208832,0.23952393233776093,0.3577249348163605,0.2469797432422638,0.15075847506523132
kublai,0.24627302587032318,0.3139400780200958,0.9999999403953552,0.5925762057304382,-0.017352506518363953,0.15156535804271698,0.2918815314769745,0.4682755172252655,0.5925762057304382,0.14562560617923737
a,0.3320399522781372,0.4508470594882965,0.1659851223230362,0.1743650734424591,0.04866964742541313,0.3077252209186554,0.45503583550453186,0.285025954246521,0.1743650734424591,0.23916715383529663
position,0.22031237185001373,0.23203803598880768,0.18311460316181183,0.14742031693458557,-0.02956485003232956,0.27935534715652466,0.2374807894229889,0.2754908502101898,0.14742031693458557,0.15529610216617584
in,0.30808621644973755,0.45514053106307983,0.2070179283618927,0.1527150720357895,-0.037580832839012146,0.22537265717983246,0.45010748505592346,0.29063159227371216,0.1527150720357895,0.20430970191955566
xingzhou,0.09462505578994751,0.21875226497650146,0.47159868478775024,0.36751294136047363,0.024643680080771446,0.1292148381471634,0.11302054673433304,0.35440129041671753,0.36751294136047363,0.16362562775611877
",",0.3087472915649414,0.45456063747406006,0.2569756805896759,0.19700400531291962,-0.0016132977325469255,0.2668071985244751,0.44245919585227966,0.36148595809936523,0.19700400531291962,0.31091248989105225
hebei,0.13428783416748047,0.22051939368247986,0.4379090964794159,0.3166998326778412,0.05460229143500328,0.19737674295902252,0.1646621972322464,0.5290380716323853,0.3166998326778412,0.09178882837295532
.,0.3567904531955719,0.40146201848983765,0.2311694622039795,0.19819748401641846,-0.003708066651597619,0.23840641975402832,0.4645031690597534,0.30704283714294434,0.19819748401641846,0.4130953550338745
