,the,black,plague,ravaged,europe,for,three,years,followed,by,what,country,?
the,1.0,0.28466513752937317,0.2537761330604553,0.2522768974304199,0.34463706612586975,0.4739971458911896,0.43452659249305725,0.2912273406982422,0.3567860722541809,0.4408751428127289,0.42745697498321533,0.30432501435279846,0.22068053483963013
black,0.28466513752937317,1.0,0.2843790054321289,0.16706395149230957,0.21574854850769043,0.2090286761522293,0.16705605387687683,0.14420558512210846,0.09555895626544952,0.1966358721256256,0.12054000794887543,0.14400731027126312,0.15159966051578522
death,0.21438048779964447,0.1932034194469452,0.2767121493816376,0.2359887659549713,0.13585270941257477,0.19869662821292877,0.1778189092874527,0.3068992495536804,0.19356602430343628,0.23285827040672302,0.2267695665359497,0.17983315885066986,0.21149799227714539
ravaged,0.2522768974304199,0.16706395149230957,0.32626473903656006,1.0000001192092896,0.25078263878822327,0.11174604296684265,0.20423391461372375,0.191853329539299,0.2936394512653351,0.30949077010154724,0.1888231635093689,0.17176061868667603,0.0958469808101654
europe,0.34463706612586975,0.21574854850769043,0.26059749722480774,0.25078263878822327,1.0000001192092896,0.26120877265930176,0.19768020510673523,0.26117831468582153,0.2550450265407562,0.2368858903646469,0.17179538309574127,0.3741563558578491,0.18278923630714417
for,0.4739971458911896,0.2090286761522293,0.1471073478460312,0.11174604296684265,0.26120877265930176,0.9999999403953552,0.3032672107219696,0.2878222167491913,0.2623760402202606,0.3248702883720398,0.3017193675041199,0.2644098401069641,0.264628142118454
three,0.43452659249305725,0.16705605387687683,0.16884605586528778,0.20423391461372375,0.19768020510673523,0.3032672107219696,1.0,0.32563796639442444,0.29040637612342834,0.28754812479019165,0.24888746440410614,0.1821238249540329,0.20928427577018738
years,0.2912273406982422,0.14420558512210846,0.22512836754322052,0.191853329539299,0.26117831468582153,0.2878222167491913,0.32563796639442444,1.0,0.22997774183750153,0.19883383810520172,0.1981470286846161,0.20189806818962097,0.1914375126361847
before,0.45900648832321167,0.1321302354335785,0.20913517475128174,0.20886003971099854,0.18900907039642334,0.44347289204597473,0.2563847005367279,0.3794313073158264,0.3371070623397827,0.37709173560142517,0.3801657259464264,0.15698480606079102,0.2507109045982361
it,0.6251175999641418,0.2078537493944168,0.28122323751449585,0.2023211270570755,0.2849960923194885,0.32171204686164856,0.27537038922309875,0.21688692271709442,0.24461886286735535,0.40926623344421387,0.45803478360176086,0.2677888870239258,0.25732165575027466
continued,0.29953038692474365,0.08814622461795807,0.1521400362253189,0.3850415349006653,0.20519480109214783,0.2205924689769745,0.22186358273029327,0.3053097724914551,0.34163692593574524,0.20265081524848938,0.17878234386444092,0.23943403363227844,0.10404038429260254
on,0.5107308030128479,0.18663345277309418,0.16606301069259644,0.1880996823310852,0.250590980052948,0.36199691891670227,0.2742598354816437,0.2152649462223053,0.28835389018058777,0.33887791633605957,0.34226128458976746,0.21584933996200562,0.2714994251728058
into,0.39493247866630554,0.0980280339717865,0.15895147621631622,0.24442267417907715,0.1373959183692932,0.231735959649086,0.30367451906204224,0.16104477643966675,0.23005980253219604,0.30473223328590393,0.2180619090795517,0.17958055436611176,0.15662476420402527
russia,0.2746676802635193,0.15889357030391693,0.2084101289510727,0.1840631514787674,0.3975349962711334,0.2200813591480255,0.10610873997211456,0.20719672739505768,0.11844871938228607,0.16236120462417603,0.1695178896188736,0.3537156283855438,0.13907001912593842
