,what,did,paul,baran,develop,in,the,late,1950,'s
starting,0.25271084904670715,0.22911779582500458,0.12910541892051697,0.04551410302519798,0.23135694861412048,0.3013272285461426,0.37272053956985474,0.3262486159801483,-0.006786270532757044,-0.013342699967324734
in,0.30808621644973755,0.2593238651752472,0.21331322193145752,0.20557019114494324,0.22882415354251862,1.0,0.6662389636039734,0.3439198434352875,-0.03321470692753792,-0.037580832839012146
the,0.42745697498321533,0.34736719727516174,0.19191958010196686,0.20225991308689117,0.26276466250419617,0.6662389636039734,1.0,0.31481194496154785,-0.046802785247564316,-0.01540423184633255
late,0.1576872020959854,0.27609187364578247,0.16050758957862854,0.18171417713165283,0.22991779446601868,0.3439198434352875,0.31481194496154785,1.0,0.04929419234395027,0.013811700977385044
1950s,0.2998310923576355,0.3492051362991333,0.08204768598079681,0.1480177789926529,0.29472386837005615,0.26312577724456787,0.3424292504787445,0.2251698523759842,0.43434226512908936,-0.019477833062410355
",",0.3087472915649414,0.3015086054801941,0.3070785701274872,0.25993672013282776,0.17652153968811035,0.5201468467712402,0.4933079481124878,0.3051932752132416,0.032923124730587006,-0.0016132977325469255
american,0.1909721940755844,0.21486236155033112,0.22999535501003265,0.1770395189523697,0.16795329749584198,0.22871561348438263,0.24562937021255493,0.24083136022090912,0.27775838971138,0.01565130427479744
computer,0.26911869645118713,0.1818549484014511,0.0949171707034111,0.26956063508987427,0.21339890360832214,0.18321871757507324,0.19781450927257538,0.1657380759716034,0.024921013042330742,0.04363146424293518
scientist,0.19887776672840118,0.15091316401958466,0.17412026226520538,0.2978304922580719,0.22861477732658386,0.16458964347839355,0.16244260966777802,0.16066797077655792,0.06991270929574966,-0.003612953471019864
paul,0.11217030137777328,0.16905230283737183,1.0000001192092896,0.14907748997211456,0.04536578431725502,0.21331322193145752,0.19191958010196686,0.16050758957862854,0.07912223786115646,-0.028859924525022507
baran,0.11883194744586945,0.048253823071718216,0.14907748997211456,1.0,0.09724517911672592,0.20557019114494324,0.20225991308689117,0.18171417713165283,0.0028255630750209093,-0.02861100248992443
developed,0.15555569529533386,0.24445466697216034,0.053292952477931976,0.137728750705719,0.6529664397239685,0.2498214840888977,0.24490751326084137,0.3318570554256439,0.024557027965784073,0.04590931162238121
the,0.42745697498321533,0.34736719727516174,0.19191958010196686,0.20225991308689117,0.26276466250419617,0.6662389636039734,1.0,0.31481194496154785,-0.046802785247564316,-0.01540423184633255
concept,0.28724339604377747,0.2316831350326538,0.0929277166724205,0.07234027236700058,0.2570488750934601,0.21857000887393951,0.2355310022830963,0.16677746176719666,-0.0356074795126915,0.011523659341037273
distributed,0.12753748893737793,0.15478676557540894,0.047164514660835266,0.16691161692142487,0.2605593800544739,0.2443390041589737,0.28740596771240234,0.1873903125524521,-0.01809951849281788,0.07900772243738174
adaptive,0.22806508839130402,0.16779272258281708,0.1189541220664978,0.22060956060886383,0.3176173269748688,0.22990182042121887,0.25968632102012634,0.21049772202968597,-0.09765985608100891,0.012918678112328053
message,0.35757336020469666,0.1851978302001953,0.1556989848613739,0.21445982158184052,0.057516828179359436,0.17689135670661926,0.2559654116630554,0.1315179318189621,-0.023085778579115868,0.01708148419857025
block,0.33229514956474304,0.17439137399196625,0.10435524582862854,0.11995917558670044,0.09988933056592941,0.1659933477640152,0.20056472718715668,0.1326412707567215,-0.05393504723906517,0.02706337347626686
switching,0.24737738072872162,0.17849217355251312,0.10246413946151733,0.1476963311433792,0.2960894703865051,0.2414494752883911,0.2702193558216095,0.2002711147069931,0.013019761070609093,-0.010338276624679565
with,0.2464839518070221,0.25472134351730347,0.19302357733249664,0.17205913364887238,0.2685096859931946,0.4080928862094879,0.4223487675189972,0.2326577752828598,0.004476343281567097,-0.04624466598033905
the,0.42745697498321533,0.34736719727516174,0.19191958010196686,0.20225991308689117,0.26276466250419617,0.6662389636039734,1.0,0.31481194496154785,-0.046802785247564316,-0.01540423184633255
goal,0.2571476101875305,0.23877869546413422,0.10482185333967209,0.11531885713338852,0.17608000338077545,0.2241991013288498,0.2443244755268097,0.08812900632619858,-0.06005540117621422,0.0441170372068882
to,0.455847829580307,0.4452643394470215,0.16250576078891754,0.19148242473602295,0.3375980854034424,0.45010748505592346,0.535392165184021,0.25809016823768616,-0.030956817790865898,0.03782717138528824
provide,0.27049049735069275,0.2528877258300781,0.06795994192361832,0.07182622700929642,0.3293642997741699,0.1910654902458191,0.26373472809791565,0.10553950071334839,-0.07673356682062149,-0.017295444384217262
a,0.3320399522781372,0.2552328109741211,0.13667120039463043,0.19735346734523773,0.27134326100349426,0.539380669593811,0.5829201340675354,0.22989967465400696,0.059626732021570206,0.04866964742541313
fault-tolerant,0.40556225180625916,0.2654038667678833,0.10552290827035904,0.19703131914138794,0.3239608108997345,0.24262362718582153,0.32161715626716614,0.26806551218032837,-0.1788196861743927,-0.027271544560790062
",",0.3087472915649414,0.3015086054801941,0.3070785701274872,0.25993672013282776,0.17652153968811035,0.5201468467712402,0.4933079481124878,0.3051932752132416,0.032923124730587006,-0.0016132977325469255
efficient,0.22662539780139923,0.22738628089427948,0.12175972759723663,0.15271106362342834,0.3171803653240204,0.1738889366388321,0.22032952308654785,0.1708991825580597,-0.13610856235027313,0.08796707540750504
routing,0.29352641105651855,0.18212033808231354,0.04845168814063072,0.16593225300312042,0.20956413447856903,0.17121122777462006,0.2927027940750122,0.1105271503329277,-0.024380909278988838,-0.03926422819495201
method,0.25476205348968506,0.21537424623966217,0.10348742455244064,0.09395677596330643,0.2481250762939453,0.13883966207504272,0.21624743938446045,0.17678189277648926,-0.03691141679883003,0.008591505698859692
for,0.3017193675041199,0.318512886762619,0.18398262560367584,0.1477230191230774,0.2540854215621948,0.4322226941585541,0.4739971458911896,0.2018979787826538,0.07070333510637283,-0.07241261005401611
telecommunication,0.2281339168548584,0.14696580171585083,0.11849603801965714,0.24469316005706787,0.187021866440773,0.19492244720458984,0.27452901005744934,0.12665437161922455,-0.0695134624838829,0.05740303546190262
