,what,types,of,engines,are,steam,engines,?
steam,0.15672586858272552,0.17610354721546173,0.20239725708961487,0.4903687536716461,0.14139318466186523,1.0000001192092896,0.4903687536716461,0.113324373960495
engines,0.1634974628686905,0.22764047980308533,0.17593856155872345,1.0000001192092896,0.21946673095226288,0.4903687536716461,1.0000001192092896,0.18940703570842743
are,0.29724663496017456,0.4691450595855713,0.39081433415412903,0.21946673095226288,1.0,0.14139318466186523,0.21946673095226288,0.24591213464736938
external,0.2436257004737854,0.2338264435529709,0.23313403129577637,0.30251991748809814,0.25311222672462463,0.16408121585845947,0.30251991748809814,0.18867096304893494
combustion,0.2678600549697876,0.33137959241867065,0.25126782059669495,0.5888161063194275,0.25038084387779236,0.5523067712783813,0.5888161063194275,0.2177530825138092
engines,0.1634974628686905,0.22764047980308533,0.17593856155872345,1.0000001192092896,0.21946673095226288,0.4903687536716461,1.0000001192092896,0.18940703570842743
",",0.3087472915649414,0.24108222126960754,0.4946078956127167,0.20245449244976044,0.4062570035457611,0.2264556586742401,0.20245449244976044,0.31091248989105225
where,0.4457937180995941,0.23438596725463867,0.38066378235816956,0.14921875298023224,0.32389864325523376,0.18907299637794495,0.14921875298023224,0.24793872237205505
the,0.42745697498321533,0.23509301245212555,0.733189046382904,0.2245008647441864,0.40399202704429626,0.23105813562870026,0.2245008647441864,0.22068053483963013
working,0.2846863269805908,0.16724957525730133,0.19986772537231445,0.14905445277690887,0.23492206633090973,0.20605218410491943,0.14905445277690887,0.17154020071029663
fluid,0.20682886242866516,0.20883500576019287,0.217294842004776,0.25643453001976013,0.2184925675392151,0.31744375824928284,0.25643453001976013,0.18212400376796722
is,0.28837618231773376,0.21496213972568512,0.4854315221309662,0.1648903638124466,0.5330929756164551,0.13029660284519196,0.1648903638124466,0.22961433231830597
separate,0.33215096592903137,0.3111897110939026,0.33388569951057434,0.1868705451488495,0.3865315318107605,0.19511428475379944,0.1868705451488495,0.16835719347000122
from,0.2737620174884796,0.22118957340717316,0.4249346852302551,0.19347095489501953,0.2674213647842407,0.2270648181438446,0.19347095489501953,0.19969791173934937
the,0.42745697498321533,0.23509301245212555,0.733189046382904,0.2245008647441864,0.40399202704429626,0.23105813562870026,0.2245008647441864,0.22068053483963013
combustion,0.2678600549697876,0.33137959241867065,0.25126782059669495,0.5888161063194275,0.25038084387779236,0.5523067712783813,0.5888161063194275,0.2177530825138092
products,0.2088814079761505,0.3223922550678253,0.21450084447860718,0.2892827093601227,0.34028032422065735,0.3061866760253906,0.2892827093601227,0.20429900288581848
.,0.3567904531955719,0.2097296416759491,0.5352458953857422,0.24894580245018005,0.3452940285205841,0.22855372726917267,0.24894580245018005,0.4130953550338745
