,who,was,the,number,two,draft,pick,for,2011,?
the,0.3733934462070465,0.48711544275283813,1.0,0.35145696997642517,0.43858039379119873,0.2136591076850891,0.23948721587657928,0.4739971458911896,0.07811610400676727,0.22068053483963013
matchup,0.11010952293872833,0.1367867887020111,0.1685979664325714,0.23245441913604736,0.20347867906093597,0.33546704053878784,0.35571640729904175,0.2810746431350708,0.04088417440652847,0.2271731048822403
also,0.47919341921806335,0.4032125174999237,0.6021018624305725,0.36623433232307434,0.4511464238166809,0.21483387053012848,0.22670209407806396,0.5373267531394958,0.11980807781219482,0.21848613023757935
pits,0.16741257905960083,0.17941325902938843,0.2675149440765381,0.18690960109233856,0.2252907007932663,0.11850344389677048,0.278502881526947,0.20809434354305267,0.08057191222906113,0.07225832343101501
the,0.3733934462070465,0.48711544275283813,1.0,0.35145696997642517,0.43858039379119873,0.2136591076850891,0.23948721587657928,0.4739971458911896,0.07811610400676727,0.22068053483963013
top,0.170939639210701,0.1381647288799286,0.31754136085510254,0.3634265661239624,0.22993095219135284,0.17006032168865204,0.2135060876607895,0.2343461513519287,0.008571372367441654,0.17265194654464722
two,0.2791741192340851,0.27166637778282166,0.43858039379119873,0.4088359773159027,1.0000001192092896,0.13318826258182526,0.19996127486228943,0.34734001755714417,0.10795892775058746,0.19645625352859497
picks,0.25932320952415466,0.1559520959854126,0.31046998500823975,0.2210754156112671,0.2795748710632324,0.4408959448337555,0.6399866342544556,0.31561174988746643,0.10876186937093735,0.17305614054203033
of,0.2827862501144409,0.4069072902202606,0.733189046382904,0.2778518795967102,0.37726253271102905,0.1597527265548706,0.18354400992393494,0.4185989499092102,0.09709474444389343,0.1826142966747284
the,0.3733934462070465,0.48711544275283813,1.0,0.35145696997642517,0.43858039379119873,0.2136591076850891,0.23948721587657928,0.4739971458911896,0.07811610400676727,0.22068053483963013
2011,0.023839345201849937,-0.022202642634510994,0.07811610400676727,0.13312749564647675,0.10795892775058746,-0.0938880667090416,-0.0029847442638128996,0.10438573360443115,1.0,0.005212190095335245
draft,0.2113700658082962,0.22196774184703827,0.2136591076850891,0.17173275351524353,0.13318826258182526,0.9999999403953552,0.6203356981277466,0.28584563732147217,-0.0938880667090416,0.1941390335559845
against,0.2942115366458893,0.22972732782363892,0.3090755045413971,0.12714537978172302,0.2102174013853073,0.22602050006389618,0.21417836844921112,0.3262052536010742,0.0930638313293457,0.18095137178897858
each,0.27337536215782166,0.14424845576286316,0.470844566822052,0.3657607138156891,0.524709939956665,0.12692220509052277,0.19462373852729797,0.3044290542602539,0.11615043878555298,0.21173812448978424
other,0.3612329661846161,0.14651623368263245,0.44152235984802246,0.3754757344722748,0.46609029173851013,0.14852383732795715,0.24699577689170837,0.3273986279964447,0.16462388634681702,0.24682199954986572
:,-0.0025186005514115095,0.002802103292196989,-0.03403344005346298,0.028673168271780014,0.016365518793463707,0.05486631020903587,0.035003095865249634,-0.02522280067205429,-0.178302600979805,-0.07156077772378922
newton,0.19243690371513367,0.25264593958854675,0.1876603662967682,0.1838543862104416,0.18733219802379608,0.19785626232624054,0.08410073071718216,0.18168501555919647,-0.01159194577485323,0.09645649790763855
for,0.37110671401023865,0.3863949179649353,0.4739971458911896,0.2861633002758026,0.34734001755714417,0.28584563732147217,0.2712850868701935,0.9999999403953552,0.10438573360443115,0.264628142118454
carolina,0.1409980058670044,0.26687008142471313,0.24749229848384857,0.14444567263126373,0.17674210667610168,0.20644451677799225,0.23111344873905182,0.17749637365341187,-0.10136570036411285,0.11847445368766785
and,0.41279885172843933,0.3740963041782379,0.5171257257461548,0.28545793890953064,0.4671151638031006,0.2078089863061905,0.24736127257347107,0.5064792633056641,0.0998905599117279,0.20544172823429108
von,0.1834137886762619,0.2042967826128006,0.21817399561405182,0.11608805507421494,0.1465245485305786,0.11139488965272903,0.05282781645655632,0.10186543315649033,-0.04347594454884529,0.13907472789287567
miller,0.2093905359506607,0.23326176404953003,0.21601076424121857,0.1401725858449936,0.19982647895812988,0.22872373461723328,0.18372400104999542,0.21116214990615845,-0.025348028168082237,0.1295081228017807
for,0.37110671401023865,0.3863949179649353,0.4739971458911896,0.2861633002758026,0.34734001755714417,0.28584563732147217,0.2712850868701935,0.9999999403953552,0.10438573360443115,0.264628142118454
denver,0.20955970883369446,0.2766761779785156,0.2052404284477234,0.1493568867444992,0.14121489226818085,0.25372564792633057,0.24643608927726746,0.22017966210842133,0.02014845795929432,0.1520889848470688
.,0.3541337847709656,0.40146201848983765,0.5934505462646484,0.3256329298019409,0.3524959683418274,0.22211715579032898,0.23959746956825256,0.4726039469242096,0.10024500638246536,0.4130953550338745
