,when,did,tesla,first,show,off,the,turbine,?
on,0.37706470489501953,0.2670976221561432,0.16159376502037048,0.3120559751987457,0.3708709180355072,0.46575701236724854,0.5107308030128479,0.1482713669538498,0.2714994251728058
his,0.37120407819747925,0.3546801507472992,0.1580733060836792,0.3241460621356964,0.22677335143089294,0.22733530402183533,0.4394008219242096,0.07583784312009811,0.18075084686279297
50th,0.07009349763393402,0.04507705196738243,0.1690409630537033,0.22508347034454346,0.13593152165412903,0.1606033593416214,0.19595111906528473,0.15602082014083862,0.004919986240565777
birthday,0.24593885242938995,0.2158898115158081,0.15068478882312775,0.2201172560453415,0.17082422971725464,0.15945285558700562,0.1861504316329956,0.007234352175146341,0.22143252193927765
in,0.4431333839893341,0.2593238651752472,0.17097744345664978,0.4127444326877594,0.27595704793930054,0.25627145171165466,0.6662389636039734,0.19420358538627625,0.20430970191955566
1906,0.08821111917495728,0.00024033099180087447,-0.017711229622364044,0.07798577100038528,0.054563071578741074,0.07176285982131958,0.0538046732544899,0.04657668247818947,0.010789075866341591
",",0.36674630641937256,0.3015086054801941,0.20599327981472015,0.34503069519996643,0.31928569078445435,0.26180344820022583,0.4933079481124878,0.21183495223522186,0.31091248989105225
tesla,0.1504557579755783,0.09757418930530548,0.9999999403953552,0.17383763194084167,0.1518956422805786,0.06122659519314766,0.1324402391910553,0.34648242592811584,0.10250775516033173
demonstrated,0.2665591835975647,0.2299390286207199,0.28413429856300354,0.26193469762802124,0.2977546453475952,0.09859392046928406,0.2412586510181427,0.23341311514377594,0.1947716772556305
his,0.37120407819747925,0.3546801507472992,0.1580733060836792,0.3241460621356964,0.22677335143089294,0.22733530402183533,0.4394008219242096,0.07583784312009811,0.18075084686279297
200,-0.30056026577949524,-0.20726703107357025,-0.26731228828430176,-0.10401453077793121,-0.12845884263515472,-0.03764050453901291,-0.23840995132923126,-0.26918837428092957,-0.22913911938667297
horsepower,0.23358698189258575,0.21618662774562836,0.42120325565338135,0.2459193915128708,0.17323635518550873,0.21248114109039307,0.22541259229183197,0.6025349497795105,0.2179865539073944
(,0.2459595799446106,0.18979617953300476,0.2156914919614792,0.2450505793094635,0.21963447332382202,0.15256637334823608,0.33289089798927307,0.1862340271472931,0.40561532974243164
150,0.048997920006513596,0.0738314539194107,0.10484128445386887,0.015356045216321945,0.006395256612449884,-0.004794311709702015,-0.08971958607435226,0.0060453470796346664,0.13918475806713104
kilowatts,0.22429487109184265,0.14419306814670563,0.3864075541496277,0.21888919174671173,0.177442267537117,0.194376140832901,0.24929918348789215,0.4889097213745117,0.2282012701034546
),0.2538422644138336,0.18584993481636047,0.22692398726940155,0.27228695154190063,0.22110877931118011,0.17601662874221802,0.3456730246543884,0.17438945174217224,0.42300865054130554
"16,000",0.048416975885629654,0.04203864932060242,0.1020875945687294,0.08831403404474258,0.17679931223392487,-0.00817209854722023,0.052542198449373245,0.11240056157112122,0.22946134209632874
rpm,0.1374920904636383,0.0719265341758728,0.40046387910842896,0.180074080824852,0.1706753820180893,0.19270059466362,0.1466367542743683,0.4350120425224304,0.13234180212020874
bladeless,0.30266687273979187,0.2116953432559967,0.23886945843696594,0.26104530692100525,0.23213839530944824,0.22035354375839233,0.2553631365299225,0.3921068012714386,0.26046502590179443
