,what,was,the,percentage,of,non-hispanic,whites,in,2010,?
non-hispanic,0.21761424839496613,0.23092463612556458,0.282532662153244,0.29832568764686584,0.2628316283226013,0.9999998807907104,0.4305954873561859,0.1936674267053604,0.23898153007030487,0.29196813702583313
whites,0.19313547015190125,0.14432130753993988,0.23723150789737701,0.2397579699754715,0.16725845634937286,0.4305954873561859,1.0,0.1734902262687683,0.26799920201301575,0.13461332023143768
were,0.22298263013362885,0.590133786201477,0.3906462490558624,0.2134767770767212,0.34038281440734863,0.25581082701683044,0.3068486154079437,0.3815755248069763,0.3102222681045532,0.17890112102031708
30.0,-0.11503381282091141,-0.06249696761369705,-0.03182318061590195,0.005371639039367437,-0.07277887314558029,0.07398827373981476,-0.0664609745144844,0.025201819837093353,-0.14222599565982819,-0.026490680873394012
%,0.20738190412521362,0.11743833869695663,0.21490740776062012,0.5639340281486511,0.19953428208827972,0.358460932970047,0.2981094419956207,0.19465309381484985,0.26349833607673645,0.21441808342933655
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.24724560976028442,1.0,0.2628316283226013,0.16725845634937286,0.5696388483047485,0.26419875025749207,0.1826142966747284
the,0.42745697498321533,0.48711544275283813,1.0,0.2736506462097168,0.733189046382904,0.282532662153244,0.23723150789737701,0.6662389636039734,0.31722962856292725,0.22068053483963013
population,0.2000674307346344,0.1935066133737564,0.32044094800949097,0.35606327652931213,0.3060894012451172,0.28485289216041565,0.20155616104602814,0.3268454372882843,0.27324092388153076,0.14449454843997955
in,0.30808621644973755,0.45514053106307983,0.6662389636039734,0.18874377012252808,0.5696388483047485,0.1936674267053604,0.1734902262687683,1.0,0.2692960798740387,0.20430970191955566
2010,0.2741409242153168,0.23825319111347198,0.31722962856292725,0.18620933592319489,0.26419875025749207,0.23898153007030487,0.26799920201301575,0.2692960798740387,1.0000001192092896,0.21232788264751434
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.21945469081401825,0.4946078956127167,0.2600969672203064,0.21540050208568573,0.5201468467712402,0.24006164073944092,0.31091248989105225
down,0.26226112246513367,0.19277216494083405,0.3325848877429962,0.17173650860786438,0.23279321193695068,0.15877194702625275,0.14952507615089417,0.2321847528219223,0.129121333360672,0.13836295902729034
from,0.2737620174884796,0.31171464920043945,0.40150508284568787,0.18376870453357697,0.4249346852302551,0.19680655002593994,0.15444393455982208,0.4274188280105591,0.21823202073574066,0.19969791173934937
72.6,-0.03911440819501877,-0.018192430958151817,-0.03166031092405319,0.08153306692838669,0.013991215266287327,-0.07669500261545181,-0.03228220343589783,-0.017970789223909378,0.04185476899147034,-0.006888506934046745
%,0.20738190412521362,0.11743833869695663,0.21490740776062012,0.5639340281486511,0.19953428208827972,0.358460932970047,0.2981094419956207,0.19465309381484985,0.26349833607673645,0.21441808342933655
in,0.30808621644973755,0.45514053106307983,0.6662389636039734,0.18874377012252808,0.5696388483047485,0.1936674267053604,0.1734902262687683,1.0,0.2692960798740387,0.20430970191955566
1970,-0.04533620923757553,0.08790356665849686,0.013761552982032299,-0.018317557871341705,0.12830553948879242,0.14215287566184998,0.04132447764277458,0.052265819162130356,0.09833626449108124,-0.007446378003805876
.,0.3567904531955719,0.40146201848983765,0.5934505462646484,0.28866735100746155,0.5352458953857422,0.30039969086647034,0.22953660786151886,0.5591574311256409,0.26320725679397583,0.4130953550338745
