,who,proposed,that,innate,intertial,is,the,natural,state,of,objects,?
this,0.3345087468624115,0.34555110335350037,0.6909449696540833,0.2680673897266388,0.34693846106529236,0.480927973985672,0.6274310946464539,0.2164631187915802,0.24571897089481354,0.45148900151252747,0.29637277126312256,0.3155723512172699
law,0.21111567318439484,0.2606116533279419,0.23277728259563446,0.1636577695608139,0.23088915646076202,0.18597714602947235,0.24548950791358948,0.22862334549427032,0.2642555832862854,0.2816956341266632,0.15823568403720856,0.1528988480567932
is,0.24293622374534607,0.1440325230360031,0.3995479643344879,0.1780463606119156,0.2622268795967102,1.0,0.5823672413825989,0.24589021503925323,0.2627358138561249,0.4854315221309662,0.23756065964698792,0.22961433231830597
an,0.2848317325115204,0.15246838331222534,0.365763783454895,0.26858779788017273,0.224329873919487,0.4654068350791931,0.4207492768764496,0.17104031145572662,0.2181641161441803,0.32280945777893066,0.1756676435470581,0.19793890416622162
extension,0.09699306637048721,0.30739542841911316,0.34149959683418274,0.23437771201133728,0.283283531665802,0.2743138372898102,0.3090997040271759,0.11443823575973511,0.16552908718585968,0.20317310094833374,0.10476792603731155,0.24237069487571716
of,0.2827862501144409,0.26188141107559204,0.41498205065727234,0.255485475063324,0.3034816384315491,0.4854315221309662,0.733189046382904,0.2963479459285736,0.34253445267677307,1.0,0.23814009130001068,0.1826142966747284
galileo,0.20970220863819122,0.16801157593727112,0.285929411649704,0.18503083288669586,0.20556285977363586,0.14211519062519073,0.21531248092651367,0.12376882135868073,0.11033987253904343,0.20429757237434387,0.36588457226753235,0.1773405522108078
's,0.05599616840481758,-0.011876605451107025,0.04397977516055107,-0.04566813260316849,-0.024122048169374466,0.02396530658006668,-0.01540423184633255,-0.049410052597522736,0.038451772183179855,-0.03817026689648628,0.013840041123330593,-0.023395681753754616
insight,0.15126928687095642,0.21037635207176208,0.2801051139831543,0.3600623607635498,0.2584843039512634,0.1315934807062149,0.15509411692619324,0.20431086421012878,0.12053422629833221,0.12511052191257477,0.23899301886558533,0.34185463190078735
that,0.45444270968437195,0.3023551106452942,1.0,0.3320786952972412,0.3177633285522461,0.3995479643344879,0.5473989248275757,0.23673862218856812,0.24252457916736603,0.41498205065727234,0.33961281180381775,0.32716336846351624
constant,0.17127257585525513,0.1814294159412384,0.2775205373764038,0.23536133766174316,0.3414469361305237,0.1972285658121109,0.2037150114774704,0.1789027750492096,0.1031765416264534,0.25393494963645935,0.2708791196346283,0.14516431093215942
velocity,0.11243568360805511,0.19421587884426117,0.2781139016151428,0.24468915164470673,0.36303502321243286,0.18647955358028412,0.22094543278217316,0.21516911685466766,0.13775326311588287,0.15038157999515533,0.3547598123550415,0.20807628333568573
was,0.3318818509578705,0.2461901754140854,0.33670201897621155,0.16803036630153656,0.12767666578292847,0.5810302495956421,0.48711544275283813,0.16573187708854675,0.22072885930538177,0.4069072902202606,0.12351071834564209,0.18412111699581146
associated,0.1752842664718628,0.12180667370557785,0.2675568461418152,0.23003554344177246,0.3035087585449219,0.2300606518983841,0.2742886245250702,0.09424067288637161,0.20491674542427063,0.3077163100242615,0.19085171818733215,0.1453326791524887
with,0.3282766342163086,0.2002548724412918,0.4154358208179474,0.2289522886276245,0.2582137882709503,0.3250955045223236,0.4223487675189972,0.09072273224592209,0.2062043994665146,0.41827285289764404,0.21321995556354523,0.2433311939239502
a,0.36608949303627014,0.2374454140663147,0.47537946701049805,0.22946256399154663,0.35091763734817505,0.658733606338501,0.5829201340675354,0.19475746154785156,0.25097307562828064,0.5052502155303955,0.24898670613765717,0.23916715383529663
lack,0.15387365221977234,0.1971951723098755,0.3709861636161804,0.34275150299072266,0.41664236783981323,0.21955184638500214,0.2674623131752014,0.2138625979423523,0.13825640082359314,0.2861039936542511,0.2107892632484436,0.16953514516353607
of,0.2827862501144409,0.26188141107559204,0.41498205065727234,0.255485475063324,0.3034816384315491,0.4854315221309662,0.733189046382904,0.2963479459285736,0.34253445267677307,1.0,0.23814009130001068,0.1826142966747284
net,0.09990201890468597,0.06034966930747032,0.19583798944950104,0.11923875659704208,0.15924519300460815,0.11006560176610947,0.17559128999710083,0.09326707571744919,0.060033414512872696,0.15895754098892212,0.13392457365989685,0.20179778337478638
