,where,were,persians,more,successful,compared,to,chinese,in,the,yuan,?
in,0.5344807505607605,0.3815755248069763,0.1948194056749344,0.32563260197639465,0.2864660918712616,0.2479310929775238,0.45010748505592346,0.20821347832679749,1.0,0.6662389636039734,0.14850552380084991,0.20430970191955566
general,0.20537003874778748,0.16518442332744598,0.16870525479316711,0.2037004828453064,0.17342481017112732,0.10816863179206848,0.24755197763442993,0.1937723606824875,0.259066641330719,0.28634732961654663,0.2522415518760681,0.1972234547138214
there,0.5016061663627625,0.4359818994998932,0.19817118346691132,0.4164280891418457,0.21037329733371735,0.26308494806289673,0.40669289231300354,0.1856411248445511,0.5361666083335876,0.47025805711746216,0.15268465876579285,0.29405656456947327
were,0.2363632768392563,1.0000001192092896,0.31761670112609863,0.33779072761535645,0.24574939906597137,0.3065771758556366,0.31913647055625916,0.22925853729248047,0.3815755248069763,0.3906462490558624,0.19657303392887115,0.17890112102031708
very,0.36831510066986084,0.3175065517425537,0.18037275969982147,0.5183659195899963,0.33918002247810364,0.4105266034603119,0.3902553617954254,0.14940901100635529,0.3209688663482666,0.34171217679977417,0.1212136521935463,0.20864155888557434
few,0.30374065041542053,0.36065220832824707,0.20512859523296356,0.45440322160720825,0.22055509686470032,0.3246504068374634,0.36415213346481323,0.14513041079044342,0.3588411808013916,0.34660017490386963,0.154178187251091,0.2334265559911728
north,0.23586879670619965,0.22497540712356567,0.18937255442142487,0.1508691906929016,0.18976354598999023,0.16718727350234985,0.2743184268474579,0.1527920365333557,0.39050599932670593,0.36298373341560364,0.081980399787426,0.11829731613397598
chinese,0.1990201771259308,0.22925853729248047,0.29359158873558044,0.2357940971851349,0.14212608337402344,0.1467847377061844,0.17416036128997803,1.0000001192092896,0.20821347832679749,0.2785343527793884,0.5665212273597717,0.20843194425106049
or,0.3651050925254822,0.3389680087566376,0.2501135468482971,0.41612157225608826,0.15061403810977936,0.25897541642189026,0.38921234011650085,0.285908579826355,0.3586423695087433,0.4174870550632477,0.2459961175918579,0.32389625906944275
southerners,0.2616373896598816,0.4124862253665924,0.32833966612815857,0.2845816910266876,0.184141606092453,0.20479241013526917,0.30489084124565125,0.26814717054367065,0.27232271432876587,0.32932883501052856,0.2118503302335739,0.18071049451828003
reaching,0.2653081715106964,0.2126501202583313,0.20732729136943817,0.2870977222919464,0.2780068516731262,0.30273953080177307,0.3080388903617859,0.18481409549713135,0.2730024755001068,0.3691650927066803,0.1554824858903885,0.13075216114521027
the,0.5003893971443176,0.3906462490558624,0.2948695123195648,0.39758381247520447,0.31354787945747375,0.28685078024864197,0.535392165184021,0.2785343527793884,0.6662389636039734,1.0,0.2548272907733917,0.22068053483963013
highest-post,0.2758195996284485,0.2159893661737442,0.1331140398979187,0.23867176473140717,0.2513074576854706,0.21622945368289948,0.2946909964084625,0.1275288164615631,0.3752211034297943,0.40526819229125977,0.16301897168159485,0.2485833466053009
in,0.5344807505607605,0.3815755248069763,0.1948194056749344,0.32563260197639465,0.2864660918712616,0.2479310929775238,0.45010748505592346,0.20821347832679749,1.0,0.6662389636039734,0.14850552380084991,0.20430970191955566
the,0.5003893971443176,0.3906462490558624,0.2948695123195648,0.39758381247520447,0.31354787945747375,0.28685078024864197,0.535392165184021,0.2785343527793884,0.6662389636039734,1.0,0.2548272907733917,0.22068053483963013
government,0.16681428253650665,0.27806493639945984,0.1933593899011612,0.22208929061889648,0.14110806584358215,0.1205720379948616,0.28343796730041504,0.28498339653015137,0.3066793978214264,0.31798112392425537,0.3044860064983368,0.18851417303085327
compared,0.18051397800445557,0.3065771758556366,0.12613439559936523,0.40463414788246155,0.2272312194108963,1.0000001192092896,0.2345995306968689,0.1467847377061844,0.2479310929775238,0.28685078024864197,0.14631398022174835,0.21399109065532684
