,what,has,caused,china,to,suspend,their,railway,project,?
china,0.13832437992095947,0.20189198851585388,0.16837675869464874,1.0000001192092896,0.1938052773475647,0.12068835645914078,0.1637296825647354,0.16536623239517212,0.13779008388519287,0.18007943034172058
has,0.20338068902492523,1.0,0.1852779984474182,0.20189198851585388,0.3619994819164276,0.08542460203170776,0.2814009487628937,0.15227782726287842,0.1983335018157959,0.15994466841220856
been,0.2567804455757141,0.6162750124931335,0.2684411406517029,0.26163211464881897,0.34945759177207947,0.17694343626499176,0.25529929995536804,0.1456293761730194,0.2192811518907547,0.24354910850524902
causing,0.24770919978618622,0.2203073501586914,0.7221462726593018,0.16294270753860474,0.32551613450050354,0.14902552962303162,0.2528553903102875,0.1639699786901474,0.19438780844211578,0.1852436512708664
environmental,0.16198831796646118,0.20370084047317505,0.2945757210254669,0.24941295385360718,0.22996102273464203,0.16307221353054047,0.21799293160438538,0.14745159447193146,0.2753702700138092,0.19728143513202667
and,0.31309178471565247,0.43716782331466675,0.2892237603664398,0.27966102957725525,0.48971283435821533,0.18201695382595062,0.45114588737487793,0.19695477187633514,0.23249590396881104,0.20544172823429108
social,0.22217629849910736,0.13508737087249756,0.1536676436662674,0.16173869371414185,0.19684761762619019,0.02880101092159748,0.26644018292427063,0.1279192417860031,0.15325568616390228,0.1615191102027893
problems,0.3306994140148163,0.20163418352603912,0.4320113956928253,0.23569355905056,0.28989166021347046,0.14867012202739716,0.28772616386413574,0.16062113642692566,0.2505049407482147,0.2638136148452759
that,0.6297725439071655,0.41272613406181335,0.33201703429222107,0.27188003063201904,0.5436353087425232,0.2931242883205414,0.4266771972179413,0.1867009401321411,0.29938963055610657,0.32716336846351624
include,0.1535889357328415,0.2623153328895569,0.2167237251996994,0.1617754101753235,0.1820748895406723,0.14805074036121368,0.26231658458709717,0.13741299510002136,0.11245526373386383,0.14925788342952728
the,0.42745697498321533,0.4177538752555847,0.24990202486515045,0.3110525608062744,0.535392165184021,0.24104753136634827,0.516537070274353,0.2692219316959381,0.2027820199728012,0.22068053483963013
recent,0.24256184697151184,0.3722807466983795,0.24919238686561584,0.21028728783130646,0.31205716729164124,0.08665692806243896,0.2775653600692749,0.1697894036769867,0.20928627252578735,0.2544887959957123
suspension,0.1873469054698944,0.13353769481182098,0.20203813910484314,0.1391422301530838,0.22713440656661987,0.7135266065597534,0.17353467643260956,0.19564303755760193,0.21927118301391602,0.16699327528476715
of,0.33290785551071167,0.3909035325050354,0.29665443301200867,0.27699828147888184,0.41548454761505127,0.2224370688199997,0.4329940676689148,0.21322962641716003,0.17578177154064178,0.1826142966747284
the,0.42745697498321533,0.4177538752555847,0.24990202486515045,0.3110525608062744,0.535392165184021,0.24104753136634827,0.516537070274353,0.2692219316959381,0.2027820199728012,0.22068053483963013
railway,0.16704553365707397,0.15227782726287842,0.1486481875181198,0.16536623239517212,0.20460735261440277,0.0884549617767334,0.1460282951593399,1.0,0.17333664000034332,0.07994066178798676
project,0.27033838629722595,0.1983335018157959,0.159905344247818,0.13779008388519287,0.28750085830688477,0.17102548480033875,0.16536840796470642,0.17333664000034332,1.0,0.30569031834602356
.,0.3567904531955719,0.4105546176433563,0.2413787543773651,0.2979343831539154,0.4645031690597534,0.1890481412410736,0.34427863359451294,0.20848026871681213,0.23938670754432678,0.4130953550338745
