,what,did,saudi,arabia,try,to,repress,to,compensate,for,its,loss,of,stature,?
saudi,0.2167188823223114,0.12426625192165375,0.9999999403953552,0.8742286562919617,0.13459083437919617,0.21921516954898834,0.07996438443660736,0.21921516954898834,0.22431762516498566,0.213758185505867,0.20131619274616241,0.18763801455497742,0.26511111855506897,0.16304941475391388,0.1627861112356186
arabia,0.21449115872383118,0.10498837381601334,0.8742286562919617,1.0000001192092896,0.13081087172031403,0.20961588621139526,0.07681500166654587,0.20961588621139526,0.2052515149116516,0.20103362202644348,0.14220494031906128,0.13893626630306244,0.24046780169010162,0.13539180159568787,0.14747555553913116
attempted,0.16848506033420563,0.3748961389064789,0.1006852462887764,0.14253239333629608,0.4214205741882324,0.4076770544052124,0.23864738643169403,0.4076770544052124,0.25902611017227173,0.15942461788654327,0.07988320291042328,0.14763331413269043,0.2567136883735657,0.13458672165870667,0.11123745888471603
to,0.455847829580307,0.4452643394470215,0.21921516954898834,0.20961588621139526,0.5391331911087036,1.0,0.20142070949077606,1.0,0.3709917664527893,0.4451248347759247,0.3691340684890747,0.2457711398601532,0.41548454761505127,0.2838200032711029,0.29463258385658264
compensate,0.3213008940219879,0.2713029980659485,0.22431762516498566,0.2052515149116516,0.30767473578453064,0.3709917664527893,0.2563997805118561,0.3709917664527893,1.0,0.28790560364723206,0.2143375128507614,0.33463186025619507,0.2828839123249054,0.2536872923374176,0.20590907335281372
for,0.3017193675041199,0.318512886762619,0.213758185505867,0.20103362202644348,0.27246251702308655,0.4451248347759247,0.11089645326137543,0.4451248347759247,0.28790560364723206,0.9999999403953552,0.2992613911628723,0.24238932132720947,0.4185989499092102,0.27070730924606323,0.264628142118454
its,0.30393704771995544,0.19922670722007751,0.20131619274616241,0.14220494031906128,0.1292683184146881,0.3691340684890747,0.16332615911960602,0.3691340684890747,0.2143375128507614,0.2992613911628723,1.0,0.1874016374349594,0.48690423369407654,0.29057514667510986,0.15103481709957123
loss,0.21803489327430725,0.17676638066768646,0.18763801455497742,0.13893626630306244,0.18534064292907715,0.2457711398601532,0.24508552253246307,0.2457711398601532,0.33463186025619507,0.24238932132720947,0.1874016374349594,0.9999999403953552,0.26357072591781616,0.19643862545490265,0.1312553584575653
of,0.33290785551071167,0.2513895630836487,0.26511111855506897,0.24046780169010162,0.23224306106567383,0.41548454761505127,0.2993447780609131,0.41548454761505127,0.2828839123249054,0.4185989499092102,0.48690423369407654,0.26357072591781616,1.0,0.28069326281547546,0.1826142966747284
prestige,0.12985387444496155,0.1740143597126007,0.153416708111763,0.18425416946411133,0.1261460930109024,0.15078945457935333,0.13497614860534668,0.15078945457935333,0.16993717849254608,0.20509524643421173,0.23739971220493317,0.19132736325263977,0.19719675183296204,0.1885261833667755,0.10047686100006104
among,0.21154822409152985,0.2415449470281601,0.16090719401836395,0.17559413611888885,0.16879531741142273,0.26594701409339905,0.24060985445976257,0.26594701409339905,0.21598313748836517,0.2832789719104767,0.2030593305826187,0.1642553210258484,0.3679063022136688,0.2339666485786438,0.14343059062957764
these,0.4164220690727234,0.38755595684051514,0.15481770038604736,0.14567500352859497,0.33919548988342285,0.46852558851242065,0.2651568353176117,0.46852558851242065,0.300995796918869,0.41566818952560425,0.3528665602207184,0.22897179424762726,0.42684608697891235,0.3009326756000519,0.2571668326854706
groups,0.23137421905994415,0.1589982509613037,0.16778875887393951,0.12531036138534546,0.2084776908159256,0.24181967973709106,0.24354472756385803,0.24181967973709106,0.16956980526447296,0.21627482771873474,0.16035817563533783,0.09495709091424942,0.24723079800605774,0.17855048179626465,0.14349548518657684
by,0.2455483376979828,0.18574509024620056,0.15848882496356964,0.17554740607738495,0.22694142162799835,0.33534231781959534,0.11952582746744156,0.33534231781959534,0.23053959012031555,0.3248702883720398,0.24398943781852722,0.19461268186569214,0.3646814823150635,0.20436768233776093,0.17966607213020325
repressing,0.2434442639350891,0.18966038525104523,0.13787469267845154,0.13688883185386658,0.27546027302742004,0.2516789138317108,0.8024777770042419,0.2516789138317108,0.28160393238067627,0.22137899696826935,0.1884632557630539,0.30462348461151123,0.2819852828979492,0.28967878222465515,0.14122411608695984
those,0.44466671347618103,0.38519078493118286,0.21557645499706268,0.20060917735099792,0.36819446086883545,0.47350940108299255,0.20047421753406525,0.47350940108299255,0.31933581829071045,0.3446582555770874,0.2666689157485962,0.19266058504581451,0.37935635447502136,0.2898738384246826,0.3328189253807068
domestic,0.11560896784067154,0.23469406366348267,0.2572191059589386,0.27596181631088257,0.14622487127780914,0.22657187283039093,0.17706532776355743,0.22657187283039093,0.18103468418121338,0.2511804401874542,0.18341659009456635,0.18546508252620697,0.1528376340866089,0.20999786257743835,0.1850636899471283
islamists,0.26342982053756714,0.27991756796836853,0.47935137152671814,0.4380291998386383,0.303295761346817,0.28735893964767456,0.2575908601284027,0.28735893964767456,0.28637486696243286,0.1905992031097412,0.2106299251317978,0.1262139081954956,0.22912132740020752,0.19196610152721405,0.17165705561637878
who,0.40942975878715515,0.34038686752319336,0.20040974020957947,0.18190979957580566,0.32706883549690247,0.42656609416007996,0.15862517058849335,0.42656609416007996,0.18939054012298584,0.37110671401023865,0.1326070874929428,0.10800512880086899,0.2827862501144409,0.24876505136489868,0.26220351457595825
attacked,0.1623094528913498,0.2515815198421478,0.14048922061920166,0.10920224338769913,0.23405463993549347,0.1893170177936554,0.24941089749336243,0.1893170177936554,0.11492515355348587,0.14750653505325317,0.12933816015720367,0.23380224406719208,0.1974567323923111,0.07687888294458389,0.08601678907871246
it,0.45803478360176086,0.2993364930152893,0.13281653821468353,0.13435618579387665,0.2668941915035248,0.513711154460907,0.16246069967746735,0.513711154460907,0.21087917685508728,0.32171204686164856,0.5786119699478149,0.20344236493110657,0.38761502504348755,0.2866785228252411,0.25732165575027466
