,when,did,tesla,graduate,?
he,0.39115971326828003,0.3292143940925598,0.12373391538858414,0.280520498752594,0.2089974731206894
finished,0.2407779097557068,0.34182655811309814,0.11797337234020233,0.25319287180900574,0.14789283275604248
a,0.44397395849227905,0.2552328109741211,0.2211925983428955,0.21107926964759827,0.23916715383529663
four-year,0.2582017779350281,0.1687355935573578,0.24603495001792908,0.26919275522232056,0.3371509909629822
term,0.2727346122264862,0.18552188575267792,0.13398443162441254,0.1701977252960205,0.1901002675294876
in,0.4431333839893341,0.2593238651752472,0.17097744345664978,0.2576194703578949,0.20430970191955566
three,0.2820437252521515,0.2043166607618332,0.12387315183877945,0.18890143930912018,0.20928427577018738
years,0.3409145474433899,0.2695724070072174,0.11282773315906525,0.18950819969177246,0.1914375126361847
",",0.36674630641937256,0.3015086054801941,0.20599327981472015,0.2738925516605377,0.31091248989105225
graduating,0.2796950042247772,0.22833351790905,0.18950283527374268,0.7892334461212158,0.08642052114009857
in,0.4431333839893341,0.2593238651752472,0.17097744345664978,0.2576194703578949,0.20430970191955566
1873.:33,0.05425885692238808,-0.002473202534019947,-0.030847860500216484,0.0460219644010067,-0.09563573449850082
