,where,do,juvenile,platyctenids,live,?
in,0.5344807505607605,0.23402775824069977,0.20077736675739288,0.2267540991306305,0.3068392276763916,0.20430970191955566
some,0.39480453729629517,0.4725562036037445,0.25311779975891113,0.37333017587661743,0.310779869556427,0.2562315762042999
groups,0.18735745549201965,0.22382022440433502,0.2191459834575653,0.31460270285606384,0.23637934029102325,0.14349548518657684
",",0.3149496018886566,0.3283645510673523,0.19538520276546478,0.2663584351539612,0.29754534363746643,0.31091248989105225
such,0.3198639750480652,0.337398886680603,0.12638691067695618,0.2631862163543701,0.1543065756559372,0.17851735651493073
as,0.35409465432167053,0.38329678773880005,0.12766706943511963,0.19725194573402405,0.1558578610420227,0.27043893933296204
the,0.5003893971443176,0.30239659547805786,0.223813995718956,0.2612636685371399,0.2995128035545349,0.22068053483963013
flat,0.22931011021137238,0.14341960847377777,0.13312117755413055,0.34374380111694336,0.1977660357952118,0.10332070291042328
",",0.3149496018886566,0.3283645510673523,0.19538520276546478,0.2663584351539612,0.29754534363746643,0.31091248989105225
bottom-dwelling,0.3051615357398987,0.2645184099674225,0.27081573009490967,0.5137273669242859,0.2642357647418976,0.27381062507629395
platyctenids,0.18989919126033783,0.2775275409221649,0.38060182332992554,1.0,0.31423863768577576,0.1917940229177475
",",0.3149496018886566,0.3283645510673523,0.19538520276546478,0.2663584351539612,0.29754534363746643,0.31091248989105225
the,0.5003893971443176,0.30239659547805786,0.223813995718956,0.2612636685371399,0.2995128035545349,0.22068053483963013
juveniles,0.16879819333553314,0.27694761753082275,0.9334461688995361,0.457389771938324,0.23354972898960114,0.20202435553073883
behave,0.2843528985977173,0.37855109572410583,0.16967841982841492,0.2609427869319916,0.2155052125453949,0.25641992688179016
more,0.29405033588409424,0.3514035940170288,0.2015705704689026,0.2603857219219208,0.2108772248029709,0.27894994616508484
like,0.3468869626522064,0.4615015685558319,0.15346072614192963,0.34655433893203735,0.270088791847229,0.3268813192844391
true,0.20970335602760315,0.304707407951355,0.17468445003032684,0.302386611700058,0.14081822335720062,0.22515304386615753
larvae,0.15867727994918823,0.26230326294898987,0.3381502628326416,0.5613868236541748,0.23798266053199768,0.18174287676811218
