,what,instrument,became,a,national,instrument,in,germany,?
he,0.3114890456199646,0.25770607590675354,0.4161640405654907,0.4393508732318878,0.3107358515262604,0.25770607590675354,0.41690486669540405,0.3080921769142151,0.2089974731206894
often,0.3849453330039978,0.22469289600849152,0.22337526082992554,0.3930865228176117,0.18881629407405853,0.22469289600849152,0.3380797803401947,0.2183302491903305,0.23748154938220978
accompanied,0.16123847663402557,0.346230149269104,0.16644670069217682,0.20501543581485748,0.12394335120916367,0.346230149269104,0.18386249244213104,0.14246976375579834,0.14135776460170746
the,0.42745697498321533,0.2132672667503357,0.36325156688690186,0.5829201340675354,0.32739606499671936,0.2132672667503357,0.6662389636039734,0.3181285262107849,0.22068053483963013
sung,0.201679527759552,0.3236261308193207,0.16675563156604767,0.17065836489200592,0.18628765642642975,0.3236261308193207,0.1852787286043167,0.17347250878810883,0.15781855583190918
hymns,0.17175553739070892,0.27356305718421936,0.1568589210510254,0.13568030297756195,0.15741747617721558,0.27356305718421936,0.1669730842113495,0.13417436182498932,0.17695237696170807
with,0.2464839518070221,0.18980436027050018,0.23679126799106598,0.3783375024795532,0.15206176042556763,0.18980436027050018,0.4080928862094879,0.19588488340377808,0.2433311939239502
a,0.3320399522781372,0.2471286803483963,0.28774285316467285,1.0,0.27889734506607056,0.2471286803483963,0.539380669593811,0.2606942057609558,0.23916715383529663
lute,0.19592536985874176,0.5407265424728394,0.16056500375270844,0.20885084569454193,0.1756644994020462,0.5407265424728394,0.23029343783855438,0.24890322983264923,0.14386817812919617
",",0.3087472915649414,0.2600042521953583,0.2798398435115814,0.427140474319458,0.23933029174804688,0.2600042521953583,0.5201468467712402,0.2898865044116974,0.31091248989105225
later,0.2517229914665222,0.10751757770776749,0.4831738770008087,0.34254932403564453,0.18527713418006897,0.10751757770776749,0.40857815742492676,0.2568788528442383,0.1417175978422165
recreated,0.20902615785598755,0.09943390637636185,0.14883215725421906,0.24807162582874298,0.17528365552425385,0.09943390637636185,0.18794725835323334,0.14006265997886658,0.25615641474723816
as,0.31749409437179565,0.2015579342842102,0.3482101261615753,0.39550232887268066,0.21661384403705597,0.2015579342842102,0.3887844979763031,0.17682115733623505,0.27043893933296204
the,0.42745697498321533,0.2132672667503357,0.36325156688690186,0.5829201340675354,0.32739606499671936,0.2132672667503357,0.6662389636039734,0.3181285262107849,0.22068053483963013
waldzither,0.30736207962036133,0.3012745976448059,0.24686594307422638,0.4175628423690796,0.21994777023792267,0.3012745976448059,0.3568166494369507,0.4043334722518921,0.2933182418346405
that,0.6297725439071655,0.21961307525634766,0.1675340086221695,0.47537946701049805,0.20268747210502625,0.21961307525634766,0.435920387506485,0.22514168918132782,0.32716336846351624
became,0.1434093862771988,0.15409380197525024,1.0,0.28774285316467285,0.23738786578178406,0.15409380197525024,0.31047213077545166,0.21627181768417358,0.11374033987522125
a,0.3320399522781372,0.2471286803483963,0.28774285316467285,1.0,0.27889734506607056,0.2471286803483963,0.539380669593811,0.2606942057609558,0.23916715383529663
national,0.16882304847240448,0.1507108211517334,0.23738786578178406,0.27889734506607056,1.0000001192092896,0.1507108211517334,0.28915393352508545,0.26014241576194763,0.15643028914928436
instrument,0.26433292031288147,1.0000001192092896,0.15409380197525024,0.2471286803483963,0.1507108211517334,1.0000001192092896,0.13018330931663513,0.19294677674770355,0.14794185757637024
of,0.33290785551071167,0.2250969111919403,0.3638904094696045,0.5052502155303955,0.3314673602581024,0.2250969111919403,0.5696388483047485,0.2942050099372864,0.1826142966747284
germany,0.21690446138381958,0.19294677674770355,0.21627181768417358,0.2606942057609558,0.26014241576194763,0.19294677674770355,0.3642844259738922,1.0,0.1388660967350006
in,0.30808621644973755,0.13018330931663513,0.31047213077545166,0.539380669593811,0.28915393352508545,0.13018330931663513,1.0,0.3642844259738922,0.20430970191955566
the,0.42745697498321533,0.2132672667503357,0.36325156688690186,0.5829201340675354,0.32739606499671936,0.2132672667503357,0.6662389636039734,0.3181285262107849,0.22068053483963013
20th,0.1850772649049759,0.15619057416915894,0.17939957976341248,0.24495378136634827,0.12922929227352142,0.15619057416915894,0.20743919909000397,0.14666171371936798,0.14985637366771698
century,0.20422613620758057,0.22453077137470245,0.3329561948776245,0.19417014718055725,0.151450976729393,0.22453077137470245,0.3174034655094147,0.20095540583133698,0.1026201918721199
.,0.3567904531955719,0.17175766825675964,0.2806840240955353,0.50484299659729,0.29436907172203064,0.17175766825675964,0.5591574311256409,0.28498756885528564,0.4130953550338745
