,what,responses,protect,the,lungs,by,mechanically,ejecting,pathogens,from,the,respiratory,system,?
in,0.30808621644973755,0.1903737336397171,0.17026682198047638,0.6662389636039734,0.18644560873508453,0.370934396982193,0.19205455482006073,0.1798037737607956,0.17208784818649292,0.4274188280105591,0.6662389636039734,0.27020397782325745,0.21978288888931274,0.20430970191955566
the,0.42745697498321533,0.25337323546409607,0.2559677064418793,1.0,0.26414886116981506,0.4408751428127289,0.32439124584198,0.2851615846157074,0.23115308582782745,0.40150508284568787,1.0,0.22238017618656158,0.3233085572719574,0.22068053483963013
lungs,0.2058555632829666,0.27211251854896545,0.19245891273021698,0.26414886116981506,1.0,0.14969351887702942,0.22745129466056824,0.34694984555244446,0.48253133893013,0.22235430777072906,0.26414886116981506,0.5439478158950806,0.20683303475379944,0.19047874212265015
",",0.3087472915649414,0.23269818723201752,0.22548046708106995,0.4933079481124878,0.200288787484169,0.3680937886238098,0.18322549760341644,0.1975715011358261,0.20320750772953033,0.39760664105415344,0.4933079481124878,0.34671691060066223,0.18439900875091553,0.31091248989105225
coughing,0.22540684044361115,0.3186368942260742,0.21147021651268005,0.16565777361392975,0.5034789443016052,0.1389971524477005,0.21234729886054993,0.3427063524723053,0.42391663789749146,0.15257012844085693,0.16565777361392975,0.419783353805542,0.16453272104263306,0.2601340115070343
and,0.31309178471565247,0.2616673409938812,0.283433735370636,0.5171257257461548,0.271153062582016,0.4289871156215668,0.2148643136024475,0.20645110309123993,0.21800068020820618,0.3601827025413513,0.5171257257461548,0.2606266140937805,0.231138214468956,0.20544172823429108
sneezing,0.3405575454235077,0.32503023743629456,0.27629515528678894,0.24616190791130066,0.4903552532196045,0.2384815663099289,0.2815341353416443,0.40146809816360474,0.38744232058525085,0.24834784865379333,0.24616190791130066,0.3675762116909027,0.17139169573783875,0.28325679898262024
mechanically,0.2510342001914978,0.2931949496269226,0.21771200001239777,0.32439124584198,0.22745129466056824,0.3107474744319916,1.0,0.34267833828926086,0.2787884473800659,0.15522992610931396,0.32439124584198,0.27035027742385864,0.21828263998031616,0.1182527095079422
eject,0.17691399157047272,0.11151490360498428,0.25819602608680725,0.19247564673423767,0.3809240460395813,0.1317979395389557,0.31983405351638794,0.8097950220108032,0.3281596899032593,0.21412773430347443,0.19247564673423767,0.26269304752349854,0.26603591442108154,0.17958971858024597
pathogens,0.24503889679908752,0.4436391592025757,0.2888329327106476,0.23115308582782745,0.48253133893013,0.20554135739803314,0.2787884473800659,0.32637664675712585,1.0,0.20573127269744873,0.23115308582782745,0.42906245589256287,0.29995468258857727,0.21364152431488037
and,0.31309178471565247,0.2616673409938812,0.283433735370636,0.5171257257461548,0.271153062582016,0.4289871156215668,0.2148643136024475,0.20645110309123993,0.21800068020820618,0.3601827025413513,0.5171257257461548,0.2606266140937805,0.231138214468956,0.20544172823429108
other,0.341873437166214,0.23752549290657043,0.29961317777633667,0.44152235984802246,0.26232653856277466,0.3321913778781891,0.26282116770744324,0.2474145144224167,0.3170585632324219,0.30141791701316833,0.44152235984802246,0.17263655364513397,0.20899327099323273,0.24682199954986572
irritants,0.22422519326210022,0.37924906611442566,0.2590305805206299,0.2115899622440338,0.4713676869869232,0.26084965467453003,0.24627016484737396,0.35193344950675964,0.46532368659973145,0.19499464333057404,0.2115899622440338,0.38773059844970703,0.265887051820755,0.2289825975894928
from,0.2737620174884796,0.20491421222686768,0.20659200847148895,0.40150508284568787,0.22235430777072906,0.3373257517814636,0.15522992610931396,0.24034887552261353,0.20573127269744873,1.0,0.40150508284568787,0.28266429901123047,0.22092437744140625,0.19969791173934937
the,0.42745697498321533,0.25337323546409607,0.2559677064418793,1.0,0.26414886116981506,0.4408751428127289,0.32439124584198,0.2851615846157074,0.23115308582782745,0.40150508284568787,1.0,0.22238017618656158,0.3233085572719574,0.22068053483963013
respiratory,0.11584015935659409,0.32520970702171326,0.20394039154052734,0.22238017618656158,0.5439478158950806,0.1549837440252304,0.27035027742385864,0.33308708667755127,0.42906245589256287,0.28266429901123047,0.22238017618656158,1.0000001192092896,0.2872348427772522,0.10154426842927933
tract,0.23493309319019318,0.22637096047401428,0.23276539146900177,0.2717020511627197,0.4040544033050537,0.21239453554153442,0.2647745609283447,0.26081815361976624,0.4035767614841461,0.25547346472740173,0.2717020511627197,0.4376336932182312,0.2554188072681427,0.1459975689649582
.,0.3567904531955719,0.2605404257774353,0.2567919194698334,0.5934505462646484,0.21882636845111847,0.3936232924461365,0.1920042335987091,0.2331269383430481,0.2375609129667282,0.41536515951156616,0.5934505462646484,0.2651328146457672,0.2277725487947464,0.4130953550338745
