,what,can,a,teacher,use,to,help,students,learn,?
teachers,0.2526462972164154,0.1946156919002533,0.2509842813014984,0.7334206104278564,0.18399788439273834,0.2668606638908386,0.3310721218585968,0.7183375358581543,0.45826107263565063,0.19522249698638916
may,0.25739946961402893,0.43584567308425903,0.29255667328834534,0.15417979657649994,0.2739541530609131,0.391582727432251,0.28016674518585205,0.2131241261959076,0.21921943128108978,0.2768254578113556
use,0.3453877568244934,0.5362023711204529,0.30793872475624084,0.12330242246389389,1.0,0.47261837124824524,0.44175291061401367,0.17801861464977264,0.40045925974845886,0.32795652747154236
a,0.3320399522781372,0.3915780484676361,1.0,0.31202319264411926,0.30793872475624084,0.45503583550453186,0.23381464183330536,0.2676560878753662,0.2111419141292572,0.23916715383529663
lesson,0.3164811134338379,0.19793005287647247,0.26171454787254333,0.450711190700531,0.2584283649921417,0.2447107881307602,0.2828971743583679,0.3696715533733368,0.492572158575058,0.24912706017494202
plan,0.2947953939437866,0.19475018978118896,0.27156999707221985,0.20603163540363312,0.27004703879356384,0.36421895027160645,0.39389944076538086,0.21137940883636475,0.2591431140899658,0.1961054503917694
to,0.455847829580307,0.4979398250579834,0.45503583550453186,0.1991342306137085,0.47261837124824524,1.0,0.46191298961639404,0.2905822694301605,0.3487244248390198,0.29463258385658264
facilitate,0.2072707712650299,0.2840490937232971,0.23787109553813934,0.08816186338663101,0.38826194405555725,0.3323230743408203,0.36997151374816895,0.26418188214302063,0.2659851908683777,0.255449503660202
student,0.20548318326473236,0.1071997582912445,0.3207114636898041,0.5754092335700989,0.09160313755273819,0.21220189332962036,0.21770836412906647,0.7746244072914124,0.3862043023109436,0.13282090425491333
learning,0.29806870222091675,0.26453647017478943,0.23662391304969788,0.4099653959274292,0.3039403557777405,0.2609867453575134,0.3546825647354126,0.4564066231250763,0.7226426005363464,0.25810256600379944
",",0.3087472915649414,0.3139454126358032,0.427140474319458,0.2884024977684021,0.3276674151420593,0.44245919585227966,0.2855570912361145,0.26501646637916565,0.21191197633743286,0.31091248989105225
providing,0.21766136586666107,0.365329384803772,0.2715930938720703,0.1700018346309662,0.4213847517967224,0.3326144516468048,0.42262181639671326,0.23267726600170135,0.2262837141752243,0.1936793476343155
a,0.3320399522781372,0.3915780484676361,1.0,0.31202319264411926,0.30793872475624084,0.45503583550453186,0.23381464183330536,0.2676560878753662,0.2111419141292572,0.23916715383529663
course,0.3412042260169983,0.31218257546424866,0.2895289659500122,0.3196853995323181,0.2645997405052185,0.30525898933410645,0.223983496427536,0.38257765769958496,0.3238455057144165,0.28826573491096497
of,0.33290785551071167,0.2603091299533844,0.5052502155303955,0.19968076050281525,0.2750902473926544,0.41548454761505127,0.22745388746261597,0.25513339042663574,0.16631516814231873,0.1826142966747284
study,0.3123835027217865,0.2065870612859726,0.2268155962228775,0.3525848984718323,0.20468193292617798,0.3326032757759094,0.26537978649139404,0.4047432243824005,0.37708041071891785,0.15902167558670044
which,0.5261979103088379,0.41132649779319763,0.56894451379776,0.1306145042181015,0.39254313707351685,0.5345056653022766,0.2722613513469696,0.23087917268276215,0.26757124066352844,0.25814583897590637
is,0.28837618231773376,0.44256699085235596,0.658733606338501,0.2001669555902481,0.3357410430908203,0.42745086550712585,0.152378648519516,0.2124544233083725,0.207429438829422,0.22961433231830597
called,0.3235960602760315,0.306973397731781,0.4868806302547455,0.14227896928787231,0.30098897218704224,0.2987143397331238,0.1937929391860962,0.1514655500650406,0.25155916810035706,0.18963319063186646
the,0.42745697498321533,0.312528520822525,0.5829201340675354,0.17760860919952393,0.34342584013938904,0.535392165184021,0.30064165592193604,0.25268980860710144,0.2269158810377121,0.22068053483963013
curriculum,0.21728472411632538,0.19216813147068024,0.19520382583141327,0.3921257257461548,0.1969410479068756,0.2018750011920929,0.22568851709365845,0.5521286725997925,0.34828507900238037,0.24092517793178558
.,0.3567904531955719,0.35783761739730835,0.50484299659729,0.225234717130661,0.3711656630039215,0.4645031690597534,0.32205137610435486,0.2607303857803345,0.2426602691411972,0.4130953550338745
