,who,discussed,twigg,'s,study,in,2002,?
in,0.2792111933231354,0.26130932569503784,0.21276359260082245,-0.037580832839012146,0.2875489294528961,1.0,-0.15852214395999908,0.20430970191955566
1984,-0.04009602591395378,0.03022286295890808,0.142195463180542,0.06487888097763062,0.01301615871489048,0.006334475241601467,-0.19640317559242249,0.07765956968069077
zoologist,0.2630446255207062,0.2287278026342392,0.2257867455482483,0.030248241499066353,0.30026790499687195,0.2203589379787445,-0.11440099775791168,0.14744341373443604
graham,0.2680679261684418,0.09872423857450485,0.2621676027774811,0.06598549336194992,0.2039365917444229,0.18576331436634064,-0.14122474193572998,0.11933253705501556
twigg,0.21774764358997345,0.16970069706439972,0.9999999403953552,0.015403024852275848,0.08275982737541199,0.21276359260082245,0.06748121231794357,0.2193375676870346
produced,0.12907662987709045,0.18581867218017578,0.27480167150497437,-0.03862787038087845,0.18843480944633484,0.2542861998081207,-0.05753383785486221,0.1623450517654419
the,0.3733934462070465,0.277193546295166,0.2632475197315216,-0.01540423184633255,0.2533665597438812,0.6662389636039734,-0.07970229536294937,0.22068053483963013
first,0.39065709710121155,0.2533789575099945,0.23628726601600647,-0.014458609744906425,0.2038448303937912,0.4127444326877594,-0.012128324247896671,0.18701928853988647
major,0.17810054123401642,0.25135138630867004,0.07740223407745361,-0.010959804058074951,0.17093795537948608,0.3249945342540741,-0.09923264384269714,0.19788557291030884
work,0.3146236836910248,0.3474842607975006,0.14932547509670258,-0.03332063928246498,0.33125606179237366,0.2753349542617798,0.007151601370424032,0.2621155381202698
to,0.42656609416007996,0.26728174090385437,0.2052803635597229,0.03782717138528824,0.3326032757759094,0.45010748505592346,-0.043290942907333374,0.29463258385658264
challenge,0.2724786400794983,0.18868008255958557,0.2079497128725052,-0.03546872362494469,0.09631334245204926,0.2110528200864792,-0.013714499771595001,0.2207598239183426
the,0.3733934462070465,0.277193546295166,0.2632475197315216,-0.01540423184633255,0.2533665597438812,0.6662389636039734,-0.07970229536294937,0.22068053483963013
bubonic,0.2813127040863037,0.22996236383914948,0.18273036181926727,-0.02581542730331421,0.23817738890647888,0.3032926917076111,-0.1639004349708557,0.21706949174404144
plague,0.22886906564235687,0.10044047236442566,0.11465906351804733,-0.0006555641302838922,0.27523523569107056,0.2488756626844406,-0.06522534042596817,0.11872942000627518
theory,0.19210977852344513,0.3138323426246643,0.1882743388414383,-0.0025054612196981907,0.44104549288749695,0.16955126821994781,-0.06727831065654755,0.1387292891740799
directly,0.2773066759109497,0.2561298608779907,0.15558426082134247,-0.014331134036183357,0.15336407721042633,0.25104159116744995,-0.08419778198003769,0.2187996357679367
",",0.3365725874900818,0.28613337874412537,0.31409451365470886,-0.0016132977325469255,0.26425549387931824,0.5201468467712402,-0.08979252725839615,0.31091248989105225
and,0.41279885172843933,0.22636206448078156,0.2821139693260193,0.06895173341035843,0.300253301858902,0.4954058527946472,-0.025821788236498833,0.20544172823429108
his,0.44966956973075867,0.2028045654296875,0.2878037393093109,0.047556519508361816,0.21320384740829468,0.3598145842552185,0.02871769294142723,0.18075084686279297
doubts,0.292222797870636,0.41019710898399353,0.1891743391752243,0.057183291763067245,0.17080923914909363,0.19462288916110992,0.11004465073347092,0.30609560012817383
about,0.3477841317653656,0.3822369873523712,0.16285917162895203,-0.020936643704771996,0.31766602396965027,0.39797019958496094,0.05708250775933266,0.302409827709198
the,0.3733934462070465,0.277193546295166,0.2632475197315216,-0.01540423184633255,0.2533665597438812,0.6662389636039734,-0.07970229536294937,0.22068053483963013
identity,0.30720454454421997,0.238244891166687,0.23693612217903137,-0.05894738435745239,0.2341543585062027,0.19517956674098969,0.024203434586524963,0.1520950198173523
of,0.2827862501144409,0.23115433752536774,0.22761499881744385,-0.03817026689648628,0.29377859830856323,0.5696388483047485,-0.05071645230054855,0.1826142966747284
the,0.3733934462070465,0.277193546295166,0.2632475197315216,-0.01540423184633255,0.2533665597438812,0.6662389636039734,-0.07970229536294937,0.22068053483963013
black,0.22539480030536652,0.1376437395811081,0.14040163159370422,0.07187972962856293,0.08499815315008163,0.20407067239284515,-0.07515689730644226,0.15159966051578522
death,0.20302973687648773,0.10897918790578842,0.16548913717269897,0.07207932323217392,0.11223351210355759,0.18743370473384857,0.006774452514946461,0.21149799227714539
have,0.39246654510498047,0.3995392918586731,0.2116669863462448,-0.02807004563510418,0.262853741645813,0.36843645572662354,0.007662374060600996,0.32991164922714233
been,0.3295723795890808,0.4000638723373413,0.21759548783302307,-0.10734795778989792,0.1617983877658844,0.3515113592147827,-0.022576069459319115,0.24354910850524902
taken,0.23395919799804688,0.2881363332271576,0.15082481503486633,0.00031501424382440746,0.17118388414382935,0.2500644326210022,-0.06421278417110443,0.17662954330444336
up,0.26056501269340515,0.21941803395748138,0.26352426409721375,-0.08862818777561188,0.1260751187801361,0.3120773434638977,-0.02735406532883644,0.1819818764925003
by,0.39727845788002014,0.25621017813682556,0.2615986466407776,-0.010884488001465797,0.1623244434595108,0.370934396982193,-0.02366175502538681,0.17966607213020325
a,0.36608949303627014,0.20171397924423218,0.26934510469436646,0.04866964742541313,0.2268155962228775,0.539380669593811,-0.04267120361328125,0.23916715383529663
number,0.21304799616336823,0.19678276777267456,0.18927617371082306,0.033178191632032394,0.19786886870861053,0.3024539053440094,-0.008557216264307499,0.19256845116615295
of,0.2827862501144409,0.23115433752536774,0.22761499881744385,-0.03817026689648628,0.29377859830856323,0.5696388483047485,-0.05071645230054855,0.1826142966747284
