,what,are,muroplasts,?
for,0.3017193675041199,0.3895993232727051,0.24086257815361023,0.264628142118454
this,0.5489566326141357,0.35762670636177063,0.3401998281478882,0.3155723512172699
reason,0.3762516975402832,0.28053200244903564,0.2161235511302948,0.3403966724872589
",",0.3087472915649414,0.4062570035457611,0.23105467855930328,0.31091248989105225
glaucophyte,0.24588492512702942,0.3433919847011566,0.6064587235450745,0.21570050716400146
chloroplasts,0.2524593770503998,0.3103833794593811,0.8434793949127197,0.13049766421318054
are,0.29724663496017456,1.0,0.3579237461090088,0.24591213464736938
also,0.42747777700424194,0.4565894305706024,0.275376558303833,0.21848613023757935
known,0.20381177961826324,0.26720109581947327,0.25054123997688293,0.18314571678638458
as,0.31749409437179565,0.3826591968536377,0.22467747330665588,0.27043893933296204
muroplasts,0.2375272661447525,0.3579237461090088,1.0,0.15596938133239746
.,0.3567904531955719,0.3452940285205841,0.27726155519485474,0.4130953550338745
