,where,can,you,see,greyhound,racing,in,newcastle,?
the,0.5003893971443176,0.312528520822525,0.30037742853164673,0.3770301640033722,0.31292617321014404,0.20835168659687042,0.6662389636039734,0.2253497689962387,0.22068053483963013
city,0.2686662971973419,0.11363761872053146,0.1567085087299347,0.17818070948123932,0.20891399681568146,0.16289182007312775,0.3911624252796173,0.32860881090164185,0.13423943519592285
's,0.0007701900321990252,-0.02075597457587719,0.03899187967181206,-0.010140474885702133,0.09413471817970276,0.12443334609270096,-0.037580832839012146,-0.017262522131204605,-0.023395681753754616
speedway,0.16363918781280518,0.13246046006679535,0.1509372889995575,0.1334410160779953,0.3483465611934662,0.5937398076057434,0.22026832401752472,0.2591201961040497,0.11641530692577362
team,0.24755612015724182,0.09247605502605438,0.16805875301361084,0.16874971985816956,0.20078401267528534,0.3406248688697815,0.18841172754764557,0.23102349042892456,0.11243411153554916
newcastle,0.1576872318983078,0.19167253375053406,0.15043139457702637,0.12204934656620026,0.276988685131073,0.2878974378108978,0.19270820915699005,1.0000001192092896,0.0902252271771431
diamonds,0.21002550423145294,0.2002813071012497,0.20749349892139435,0.15473626554012299,0.1960858553647995,0.22168026864528656,0.18315871059894562,0.2654065191745758,0.1804962158203125
are,0.32389864325523376,0.5408529043197632,0.3272087574005127,0.3773394227027893,0.273860365152359,0.13275988399982452,0.3841303884983063,0.1428472399711609,0.24591213464736938
based,0.20940464735031128,0.2220543473958969,0.21857133507728577,0.19212916493415833,0.21449396014213562,0.20199760794639587,0.3070422410964966,0.18891511857509613,0.134929820895195
at,0.4402937591075897,0.16641086339950562,0.23357704281806946,0.2837929129600525,0.2555096447467804,0.14703652262687683,0.4374977946281433,0.18403437733650208,0.21978627145290375
brough,0.2508223056793213,0.16208721697330475,0.19448107481002808,0.20635953545570374,0.3259330093860626,0.16409853100776672,0.22987720370292664,0.3491065800189972,0.22305208444595337
park,0.1767059862613678,0.09515729546546936,0.10680122673511505,0.09371837228536606,0.2475275695323944,0.21944448351860046,0.22758090496063232,0.1992185264825821,0.13508929312229156
in,0.5344807505607605,0.26527702808380127,0.21252386271953583,0.2973747253417969,0.29858022928237915,0.20000547170639038,1.0,0.19270820915699005,0.20430970191955566
byker,0.23148947954177856,0.2629235088825226,0.3394622504711151,0.28009679913520813,0.3158577084541321,0.3336031436920166,0.29076987504959106,0.2520172595977783,0.2685128450393677
",",0.3149496018886566,0.3139454126358032,0.3199685513973236,0.35306161642074585,0.2998163402080536,0.26517999172210693,0.5201468467712402,0.251589834690094,0.31091248989105225
a,0.40997210144996643,0.3915780484676361,0.334549218416214,0.3039536476135254,0.30235379934310913,0.23862580955028534,0.539380669593811,0.21405641734600067,0.23916715383529663
venue,0.2513101100921631,0.060018379241228104,0.15734049677848816,0.11082261800765991,0.18152959644794464,0.32435762882232666,0.24086345732212067,0.19880224764347076,0.12291393429040909
that,0.4876193106174469,0.4522190988063812,0.4862920045852661,0.4087662696838379,0.24826881289482117,0.1908901333808899,0.435920387506485,0.18880853056907654,0.32716336846351624
is,0.3586711287498474,0.44256699085235596,0.27113574743270874,0.30759111046791077,0.23099097609519958,0.18750838935375214,0.5394441485404968,0.1841045320034027,0.22961433231830597
also,0.5413004159927368,0.4861826002597809,0.350807785987854,0.36217638850212097,0.377927303314209,0.1647137850522995,0.5073733329772949,0.20407575368881226,0.21848613023757935
home,0.2877289652824402,0.14063408970832825,0.14034394919872284,0.19004705548286438,0.2341061383485794,0.2208259105682373,0.30467477440834045,0.28202661871910095,0.0757145956158638
to,0.47735077142715454,0.4979398250579834,0.4194425344467163,0.3792734146118164,0.28059953451156616,0.16896657645702362,0.45010748505592346,0.23559264838695526,0.29463258385658264
greyhound,0.26969873905181885,0.22806385159492493,0.1646503359079361,0.26844000816345215,1.0000001192092896,0.3602469563484192,0.29858022928237915,0.276988685131073,0.14190621674060822
racing,0.16324226558208466,0.11788622289896011,0.13902799785137177,0.14124424755573273,0.3602469563484192,1.0000001192092896,0.20000547170639038,0.2878974378108978,0.07538153231143951
.,0.41390106081962585,0.35783761739730835,0.31283900141716003,0.3851161599159241,0.31337180733680725,0.22644630074501038,0.5591574311256409,0.2714749276638031,0.4130953550338745
