,construction,takes,place,on,location,for,who,?
construction,1.0,0.13890820741653442,0.24269641935825348,0.23722872138023376,0.2280721813440323,0.2193669229745865,0.08125896006822586,0.13494056463241577
differs,0.221241295337677,0.26879197359085083,0.19669033586978912,0.22846314311027527,0.23689627647399902,0.22407512366771698,0.05695486441254616,0.1135924756526947
from,0.15699175000190735,0.22145387530326843,0.31214648485183716,0.36926645040512085,0.3039056956768036,0.314039945602417,0.27839982509613037,0.19969791173934937
manufacturing,0.46693384647369385,0.14672483503818512,0.16783183813095093,0.20294159650802612,0.1973070502281189,0.26200976967811584,0.08808956295251846,0.11596895009279251
in,0.3031303882598877,0.2945663630962372,0.38128477334976196,0.46853652596473694,0.3397608697414398,0.4322226941585541,0.2792111933231354,0.20430970191955566
that,0.2251325249671936,0.22034741938114166,0.32320237159729004,0.42569106817245483,0.1944330334663391,0.4137635827064514,0.45444270968437195,0.32716336846351624
manufacturing,0.46693384647369385,0.14672483503818512,0.16783183813095093,0.20294159650802612,0.1973070502281189,0.26200976967811584,0.08808956295251846,0.11596895009279251
typically,0.2502332627773285,0.24935506284236908,0.15078452229499817,0.22215910255908966,0.12457986921072006,0.3479194939136505,0.2390000820159912,0.14485043287277222
involves,0.1520182341337204,0.4253416359424591,0.23796378076076508,0.1868361383676529,0.10158071666955948,0.3458130657672882,0.18526870012283325,0.14038428664207458
mass,0.17921249568462372,0.13573136925697327,0.20138879120349884,0.18456357717514038,0.17197170853614807,0.18664062023162842,0.12856706976890564,0.2076406031847
production,0.4035132825374603,0.1674310564994812,0.1871313601732254,0.19293728470802307,0.1837046891450882,0.26936712861061096,0.11406747996807098,0.19318072497844696
of,0.2815735340118408,0.3277401030063629,0.2685627043247223,0.3966929316520691,0.28702232241630554,0.4185989499092102,0.2827862501144409,0.1826142966747284
similar,0.21447475254535675,0.14797385036945343,0.18067136406898499,0.23418132960796356,0.14875297248363495,0.2594558596611023,0.20777717232704163,0.23309361934661865
items,0.21293030679225922,0.1533953994512558,0.21799036860466003,0.20476584136486053,0.1731853485107422,0.31808599829673767,0.21601051092147827,0.19807128608226776
without,0.15337960422039032,0.171228289604187,0.21081653237342834,0.26243290305137634,0.17821471393108368,0.4273005723953247,0.2402247190475464,0.2928665280342102
a,0.25036895275115967,0.3491862416267395,0.3079278767108917,0.3848365545272827,0.22079749405384064,0.44038116931915283,0.36608949303627014,0.23916715383529663
designated,0.2442348301410675,0.1866120845079422,0.2659856975078583,0.2070607841014862,0.2275383174419403,0.23363377153873444,0.08669188618659973,0.1318070888519287
purchaser,0.25851771235466003,0.1476570963859558,0.13342145085334778,0.2520758807659149,0.13714420795440674,0.22645409405231476,0.22948117554187775,0.10528716444969177
",",0.23704268038272858,0.2755669057369232,0.34068408608436584,0.49057599902153015,0.25077858567237854,0.4464869201183319,0.3365725874900818,0.31091248989105225
while,0.20581965148448944,0.2512095868587494,0.312160462141037,0.44084006547927856,0.17122337222099304,0.4232339859008789,0.4068111777305603,0.21076419949531555
construction,1.0,0.13890820741653442,0.24269641935825348,0.23722872138023376,0.2280721813440323,0.2193669229745865,0.08125896006822586,0.13494056463241577
typically,0.2502332627773285,0.24935506284236908,0.15078452229499817,0.22215910255908966,0.12457986921072006,0.3479194939136505,0.2390000820159912,0.14485043287277222
takes,0.13890820741653442,1.0,0.4506075382232666,0.20189763605594635,0.1515141725540161,0.2826521694660187,0.16409184038639069,0.10935472697019577
place,0.24269641935825348,0.4506075382232666,1.0,0.32431602478027344,0.35725605487823486,0.3033463954925537,0.22742493450641632,0.2455766350030899
on,0.23722872138023376,0.20189763605594635,0.32431602478027344,0.9999999403953552,0.23113425076007843,0.36199691891670227,0.2340552806854248,0.2714994251728058
location,0.2280721813440323,0.1515141725540161,0.35725605487823486,0.23113425076007843,1.0000001192092896,0.23991359770298004,0.10714887082576752,0.15759775042533875
for,0.2193669229745865,0.2826521694660187,0.3033463954925537,0.36199691891670227,0.23991359770298004,0.9999999403953552,0.37110671401023865,0.264628142118454
a,0.25036895275115967,0.3491862416267395,0.3079278767108917,0.3848365545272827,0.22079749405384064,0.44038116931915283,0.36608949303627014,0.23916715383529663
known,0.16321557760238647,0.1695782095193863,0.1887165904045105,0.19541868567466736,0.14335663616657257,0.363901823759079,0.24757125973701477,0.18314571678638458
client,0.12370080500841141,0.12359564006328583,0.08011530339717865,0.21334192156791687,0.13751818239688873,0.2184782177209854,0.2563980221748352,0.20958182215690613
.,0.23682771623134613,0.23161891102790833,0.2844318151473999,0.49257001280784607,0.27818506956100464,0.4726039469242096,0.3541337847709656,0.4130953550338745
