,who,commissioned,the,tapestry,?
it,0.2868398427963257,0.22350144386291504,0.6251175999641418,0.26854580640792847,0.25732165575027466
was,0.3318818509578705,0.38598689436912537,0.48711544275283813,0.3019234836101532,0.18412111699581146
commissioned,0.21646440029144287,1.0000001192092896,0.2864282727241516,0.3482324779033661,0.13426002860069275
by,0.39727845788002014,0.3104458749294281,0.4408751428127289,0.22819288074970245,0.17966607213020325
odo,0.26933664083480835,0.19786132872104645,0.23559783399105072,0.29877209663391113,0.17908714711666107
",",0.3365725874900818,0.22128435969352722,0.4933079481124878,0.23794302344322205,0.31091248989105225
the,0.3733934462070465,0.2864282727241516,1.0,0.32432854175567627,0.22068053483963013
bishop,0.19501325488090515,0.23116347193717957,0.2112889289855957,0.26892802119255066,0.19730713963508606
of,0.2827862501144409,0.27537038922309875,0.733189046382904,0.3338794708251953,0.1826142966747284
bayeux,0.17399819195270538,0.2966979146003723,0.32717660069465637,0.4985324442386627,0.1535405069589615
and,0.41279885172843933,0.24769723415374756,0.5171257257461548,0.2545706629753113,0.20544172823429108
first,0.39065709710121155,0.35161706805229187,0.49448907375335693,0.29569366574287415,0.18701928853988647
earl,0.2134564220905304,0.1946297585964203,0.19712300598621368,0.2498130351305008,0.13325046002864838
of,0.2827862501144409,0.27537038922309875,0.733189046382904,0.3338794708251953,0.1826142966747284
kent,0.20225593447685242,0.1810365915298462,0.20858485996723175,0.2575516104698181,0.14343582093715668
",",0.3365725874900818,0.22128435969352722,0.4933079481124878,0.23794302344322205,0.31091248989105225
employing,0.2631421983242035,0.25888434052467346,0.2282872349023819,0.28111007809638977,0.162472665309906
natives,0.2833910882472992,0.11529504507780075,0.2204582393169403,0.12937644124031067,0.15079757571220398
from,0.27839982509613037,0.17259134352207184,0.40150508284568787,0.1960076242685318,0.19969791173934937
kent,0.20225593447685242,0.1810365915298462,0.20858485996723175,0.2575516104698181,0.14343582093715668
who,0.9999998807907104,0.21646440029144287,0.3733934462070465,0.1838521808385849,0.26220351457595825
were,0.3188014328479767,0.3000352084636688,0.3906462490558624,0.2454269677400589,0.17890112102031708
learned,0.31839245557785034,0.17124111950397491,0.2019677460193634,0.23058854043483734,0.23222841322422028
in,0.2792111933231354,0.2544098198413849,0.6662389636039734,0.26853466033935547,0.20430970191955566
the,0.3733934462070465,0.2864282727241516,1.0,0.32432854175567627,0.22068053483963013
nordic,0.26255398988723755,0.1295580118894577,0.25349947810173035,0.23135721683502197,0.07242292910814285
traditions,0.28564631938934326,0.19339396059513092,0.26193809509277344,0.23737110197544098,0.18007412552833557
imported,0.17824861407279968,0.1777758002281189,0.2233143448829651,0.24890431761741638,0.2793850898742676
in,0.2792111933231354,0.2544098198413849,0.6662389636039734,0.26853466033935547,0.20430970191955566
the,0.3733934462070465,0.2864282727241516,1.0,0.32432854175567627,0.22068053483963013
previous,0.1923418641090393,0.17718881368637085,0.34706559777259827,0.15302810072898865,0.16724538803100586
half,0.2674400806427002,0.08697003126144409,0.3189295828342438,0.18147984147071838,0.07471233606338501
century,0.2990973889827728,0.24706563353538513,0.3617299497127533,0.3458518981933594,0.1026201918721199
by,0.39727845788002014,0.3104458749294281,0.4408751428127289,0.22819288074970245,0.17966607213020325
the,0.3733934462070465,0.2864282727241516,1.0,0.32432854175567627,0.22068053483963013
danish,0.272081583738327,0.16178303956985474,0.15316766500473022,0.21019279956817627,0.09872670471668243
vikings,0.24115361273288727,0.14650878310203552,0.26650679111480713,0.2739492952823639,0.10219103842973709
.,0.3541337847709656,0.243389293551445,0.5934505462646484,0.28270503878593445,0.4130953550338745
