,in,what,year,did,abc,agree,to,finance,disneyland,?
around,0.41294145584106445,0.27475327253341675,0.28177201747894287,0.1658935695886612,0.14110837876796722,0.18398064374923706,0.3591267168521881,0.12549908459186554,0.25617265701293945,0.14729668200016022
1954,0.06289621442556381,-0.028202006593346596,0.045460913330316544,-0.09083899110555649,0.01942364126443863,-0.020063355565071106,0.0212570670992136,0.006381273735314608,0.03653910011053085,-0.028866952285170555
",",0.5201468467712402,0.3087472915649414,0.28560417890548706,0.3015086054801941,0.2097204476594925,0.26245203614234924,0.44245919585227966,0.26938337087631226,0.24836018681526184,0.31091248989105225
abc,0.1697147786617279,0.1317344456911087,0.2373921275138855,0.13353709876537323,1.0000001192092896,0.1395753175020218,0.1762417107820511,0.11127349734306335,0.23635563254356384,0.19065172970294952
agreed,0.18135444819927216,0.3416297733783722,0.23898503184318542,0.47254884243011475,0.1438940167427063,0.6964925527572632,0.35596710443496704,0.25669872760772705,0.19737185537815094,0.21258382499217987
to,0.45010748505592346,0.455847829580307,0.23523004353046417,0.4452643394470215,0.1762417107820511,0.2974206805229187,1.0,0.24419264495372772,0.30942589044570923,0.29463258385658264
finance,0.24185222387313843,0.20704226195812225,0.16015024483203888,0.17958222329616547,0.11127349734306335,0.19239221513271332,0.24419264495372772,1.0,0.24116559326648712,0.1273542046546936
disneyland,0.26357531547546387,0.21946722269058228,0.18736569583415985,0.17775611579418182,0.23635563254356384,0.16438034176826477,0.30942589044570923,0.24116559326648712,1.0000001192092896,0.18708528578281403
in,1.0,0.30808621644973755,0.3359307050704956,0.2593238651752472,0.1697147786617279,0.15189619362354279,0.45010748505592346,0.24185222387313843,0.26357531547546387,0.20430970191955566
exchange,0.21970009803771973,0.11323627829551697,0.15735900402069092,0.07428870350122452,0.11956698447465897,0.1775018721818924,0.20507046580314636,0.2682678699493408,0.18392731249332428,0.048212938010692596
for,0.4322226941585541,0.3017193675041199,0.29294124245643616,0.318512886762619,0.22510288655757904,0.2437044233083725,0.4451248347759247,0.329854279756546,0.22993269562721252,0.264628142118454
the,0.6662389636039734,0.42745697498321533,0.3609684407711029,0.34736719727516174,0.2068762183189392,0.23006735742092133,0.535392165184021,0.26623332500457764,0.3147701323032379,0.22068053483963013
right,0.16096803545951843,0.38502591848373413,0.08422555774450302,0.26817142963409424,0.14572519063949585,0.26020070910453796,0.31834647059440613,0.12427525222301483,0.15517906844615936,0.27135515213012695
to,0.45010748505592346,0.455847829580307,0.23523004353046417,0.4452643394470215,0.1762417107820511,0.2974206805229187,1.0,0.24419264495372772,0.30942589044570923,0.29463258385658264
broadcast,0.26723843812942505,0.17857211828231812,0.23991180956363678,0.17054221034049988,0.4876510202884674,0.1833297461271286,0.2326623648405075,0.1407642662525177,0.2572886049747467,0.15760008990764618
a,0.539380669593811,0.3320399522781372,0.29350247979164124,0.2552328109741211,0.21331243216991425,0.2085130214691162,0.45503583550453186,0.23580783605575562,0.28381532430648804,0.23916715383529663
new,0.3758552670478821,0.2130378633737564,0.25045546889305115,0.227974995970726,0.20663127303123474,0.1850367933511734,0.33159172534942627,0.19511841237545013,0.24091650545597076,0.14782847464084625
sunday,0.20307813584804535,0.2246854603290558,0.37663888931274414,0.15207065641880035,0.29011502861976624,0.0845031589269638,0.18966978788375854,0.09143336862325668,0.21441742777824402,0.23753786087036133
night,0.24847309291362762,0.20251014828681946,0.2650270164012909,0.22770699858665466,0.21145369112491608,0.09432550519704819,0.1691640168428421,0.04304150119423866,0.2163633108139038,0.13794848322868347
program,0.1994907110929489,0.25047802925109863,0.17092710733413696,0.18915289640426636,0.28949791193008423,0.1797187477350235,0.23681028187274933,0.1827353984117508,0.15379586815834045,0.1440187245607376
",",0.5201468467712402,0.3087472915649414,0.28560417890548706,0.3015086054801941,0.2097204476594925,0.26245203614234924,0.44245919585227966,0.26938337087631226,0.24836018681526184,0.31091248989105225
disneyland,0.26357531547546387,0.21946722269058228,0.18736569583415985,0.17775611579418182,0.23635563254356384,0.16438034176826477,0.30942589044570923,0.24116559326648712,1.0000001192092896,0.18708528578281403
",",0.5201468467712402,0.3087472915649414,0.28560417890548706,0.3015086054801941,0.2097204476594925,0.26245203614234924,0.44245919585227966,0.26938337087631226,0.24836018681526184,0.31091248989105225
which,0.4840516746044159,0.5261979103088379,0.242343008518219,0.2750149369239807,0.1991286277770996,0.21721161901950836,0.5345056653022766,0.2023923695087433,0.30426472425460815,0.25814583897590637
debuted,0.25110283493995667,0.08543460816144943,0.30176782608032227,0.19454216957092285,0.27247121930122375,0.10997459292411804,0.17721480131149292,0.20652803778648376,0.20931242406368256,0.12089905142784119
